absolute_path,accepted,digest,methods,panel,participant,producing_job,rows,sessions,tasks,wrong_donors
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/o0_natural/sub-14.csv,1,sha256:0ae0c7a7fc1ed3f0bb8f45fef884459fe0867d82a68cfbf49172f235486d8482,CHANNEL_PERM;GAIN_MATCH;GAIN_POP;GAIN_WRONG;MATCH;NULL;POP;TIME_SHIFT;WRONG,natural,sub-14,934248,14171,3,ERP;SSVEP,15
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/o0_paired/sub-14.csv,1,sha256:ad9cdfc76bc334355ccae1458f0dd90646055c0de7e5720ca30f9dbcd316ae21,CHANNEL_PERM;GAIN_MATCH;GAIN_POP;GAIN_WRONG;MATCH;NULL;POP;QUERY_ORACLE;TIME_SHIFT;WRONG,paired,sub-14,934231,2736,3,ERP;SSVEP,15
