absolute_path,accepted,digest,methods,panel,participant,producing_job,rows,sessions,tasks,wrong_donors
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/o0_natural/sub-15.csv,1,sha256:6b28cd58b01293716bf8dd5bd0525e77039c9e378bce60706009c36cf8c25b0f,CHANNEL_PERM;GAIN_MATCH;GAIN_POP;GAIN_WRONG;MATCH;NULL;POP;TIME_SHIFT;WRONG,natural,sub-15,934248,14578,3,ERP;SSVEP,15
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/o0_paired/sub-15.csv,1,sha256:e96d86682ecc2822a50680f249e23be59848a47be1aa5127ff1f63cfde199b3f,CHANNEL_PERM;GAIN_MATCH;GAIN_POP;GAIN_WRONG;MATCH;NULL;POP;QUERY_ORACLE;TIME_SHIFT;WRONG,paired,sub-15,934231,2736,3,ERP;SSVEP,15
