gradient_norm,loss,mean_min_snr_weight,mean_timestep,model_kind,step,timestep_maximum,timestep_mean,timestep_minimum,v_mse,x0_mse
6.504204750061035,0.6801853179931641,,,deterministic,1,,,,,
5.096121788024902,0.7150582075119019,,,deterministic,2,,,,,
4.165444850921631,0.3950214385986328,,,deterministic,3,,,,,
8.286690711975098,1.125487208366394,,,deterministic,4,,,,,
4.607490539550781,0.26720955967903137,,,deterministic,5,,,,,
3.562288761138916,0.4734085500240326,,,deterministic,6,,,,,
5.434002876281738,0.805206835269928,,,deterministic,7,,,,,
2.876870632171631,0.18309499323368073,,,deterministic,8,,,,,
4.411605358123779,0.826916515827179,,,deterministic,9,,,,,
2.7573776245117188,0.2773982286453247,,,deterministic,10,,,,,
1.5804100036621094,0.2955508530139923,,,deterministic,11,,,,,
2.337867259979248,0.3643702566623688,,,deterministic,12,,,,,
5.842963218688965,1.008658766746521,,,deterministic,13,,,,,
2.08986496925354,0.3007725775241852,,,deterministic,14,,,,,
1.9130347967147827,0.24456417560577393,,,deterministic,15,,,,,
6.526973247528076,1.1387724876403809,,,deterministic,16,,,,,
6.028905391693115,1.4206668138504028,,,deterministic,17,,,,,
1.5957504510879517,0.23571646213531494,,,deterministic,18,,,,,
1.7042902708053589,0.18394418060779572,,,deterministic,19,,,,,
2.068509340286255,0.17308208346366882,,,deterministic,20,,,,,
1.9188660383224487,0.1519770622253418,,,deterministic,21,,,,,
2.7317771911621094,0.5256912708282471,,,deterministic,22,,,,,
4.836234092712402,0.15569938719272614,,,deterministic,23,,,,,
4.098296642303467,0.6121087670326233,,,deterministic,24,,,,,
2.936203718185425,0.4791577458381653,,,deterministic,25,,,,,
2.8008108139038086,0.23304565250873566,,,deterministic,26,,,,,
1.609582543373108,0.20518584549427032,,,deterministic,27,,,,,
1.5646337270736694,0.1453600525856018,,,deterministic,28,,,,,
1.4846320152282715,0.19340182840824127,,,deterministic,29,,,,,
4.044302940368652,0.8431816101074219,,,deterministic,30,,,,,
1.2652643918991089,0.10184141248464584,,,deterministic,31,,,,,
2.55596923828125,0.5465739369392395,,,deterministic,32,,,,,
1.9361971616744995,0.2154402881860733,,,deterministic,33,,,,,
4.348540306091309,0.5222411751747131,,,deterministic,34,,,,,
2.027001142501831,0.15771204233169556,,,deterministic,35,,,,,
2.0345404148101807,0.10626380890607834,,,deterministic,36,,,,,
1.2126959562301636,0.16883128881454468,,,deterministic,37,,,,,
1.1655964851379395,0.1102009043097496,,,deterministic,38,,,,,
2.1389214992523193,0.126002699136734,,,deterministic,39,,,,,
1.8377892971038818,0.1423526406288147,,,deterministic,40,,,,,
5.374138832092285,1.0248016119003296,,,deterministic,41,,,,,
2.7530877590179443,0.11344985663890839,,,deterministic,42,,,,,
2.6772620677948,0.3321934640407562,,,deterministic,43,,,,,
0.9470388889312744,0.14798091351985931,,,deterministic,44,,,,,
2.734215259552002,0.4882434010505676,,,deterministic,45,,,,,
2.984368085861206,0.12840838730335236,,,deterministic,46,,,,,
1.4232608079910278,0.09031551331281662,,,deterministic,47,,,,,
1.0184921026229858,0.09320050477981567,,,deterministic,48,,,,,
1.1441906690597534,0.12740455567836761,,,deterministic,49,,,,,
2.744626998901367,0.09766533225774765,,,deterministic,50,,,,,
0.6857174038887024,0.09073840826749802,,,deterministic,51,,,,,
2.67480206489563,0.3486355245113373,,,deterministic,52,,,,,
1.1639225482940674,0.10689821094274521,,,deterministic,53,,,,,
