algorithmic_seed_count,artifact_attenuation,artifact_normalized_parallel_error,clean_interval_preservation,common_eligibility_status,comparator_supervision,comparison_family,conditional_actual_optimizer_updates,conditional_checkpoint_operator_scope,conditional_development_windows,conditional_model_parameters,conditional_training_objective,conditional_training_walltime_seconds,conditional_training_windows,confirmatory,correlation,cross_scope_models_share_weights,d_perp_y,delta_snr_db,deployable_operator_source,deterministic_actual_training_updates,deterministic_checkpoint_operator_scope,deterministic_development_windows,deterministic_fixed_checkpoint_updates,deterministic_model_parameters,deterministic_training_objective,deterministic_training_walltime_seconds,deterministic_training_windows,e_parallel,e_parallel_artifact_normalized,e_parallel_neural_normalized,e_perp,effective_operator_source,failed_algorithmic_seed_count,fallback_used,fixed_optimizer_updates_each,formal_G1_or_G3_evidence,function_evaluations,function_evaluations_per_seed_per_window,latency_seconds,matched_deterministic_updates,method_id,model_parameters,network_calls_total,network_forward_invocations,operator_role,operator_source,operator_specificity_interpretation_allowed,oracle_or_qy_role,overlap_fraction,parallel_artifact_norm,parallel_clean_norm,parallel_error_norm,parallel_metric_schema_version,partition,peak_memory_mb,planned_total_function_evaluations_per_window,projector_distance,projector_max_angle_degrees,projector_overlap_fraction,psd_distortion,query_clean_target_used_by_method,query_clean_target_used_for_scoring_only,query_oracle_geometry,records_are_participants,rrmse,same_paired_supervision_exposure,same_supervision_G3_comparison,seeds_are_statistical_units,shared_prior_model_parameters,shared_prior_training_history_steps,shared_prior_update_status,source_method_id,source_record,status,successful_algorithmic_seed_count,time_rrmse,total_function_evaluations_per_window,training_model_parameters,training_objectives_equal,training_selected_checkpoint_updates,training_updates,training_updates_completed,training_walltime_seconds
5,6.313851223679281,0.7954944355017456,-0.20184471323864916,included,paired_supervised_epsilon_prediction_operator_conditioned_diffusion,operator_conditioned_diffusion,6000,population_projector,68,4563667,valid_time_masked_epsilon_MSE,686.1026103699987,154,False,0.6572768964891504,False,1.390617429290591,-4.122820467993067,True,6000,,68,6000,4557587,paired_task_loss,881.0162402186543,154,0.9952869956146111,0.7954944355017456,0.9952869956146111,1.390617429242458,population_projector,,False,6000,False,100,100,22.426660061988514,6000,task_matched_multichannel_operator_conditioned_diffusion_DDIM100,4563667,1000,1000,deployable_external_eog_operator,population_projector,False,deployable_or_support_derived_geometry,0.3876868996152973,252.7676730483923,202.02743356508174,201.07527738472064,parallel_error_denominators_v2_side_by_side,development,404.64306640625,,0.025188247321354853,1.872808775362896,0.9993655521968783,0.34171357381444034,False,True,False,False,1.2522549870040174,True,False,False,,,,task_matched_multichannel_operator_conditioned_diffusion_DDIM100,sim31,success,,1.2522549870040174,500,,False,,6000,,686.1026103699987
5,0.7367618487244093,0.9573366217706258,0.8230436626566762,included,clean_prior_sampling,frozen_deterministic_or_current_cgdr_arm,,,,,,,,False,0.8857974903535465,False,0.24929482278580792,0.09129659848390545,True,,,,,,,,,1.1977766877438285,0.9573366217706258,1.1977766877438285,0.24929482279490053,population_projector,0,False,,False,100,100,58.06745660700835,,M1_observation_warm_start_sdedit,,1000,,deployable_external_eog_operator,population_projector,False,deployable_or_support_derived_geometry,0.3876868996152973,252.7676730483923,202.02743356508174,241.98375020896995,parallel_error_denominators_v2_side_by_side,development,1541.650390625,500,0.025188247321354853,1.872808775362896,0.9993655521968783,0.48833923027737147,False,True,False,False,0.7708802454235915,,False,False,4435667,3000,training_history_steps_captured_amp_skips_not_audited,M1_observation_warm_start_sdedit,sim31,success,5,0.7708802454235915,500,,,,,,
5,2.870711049075521,1.3230746426547348,0.02819550044915642,included,clean_prior_sampling,frozen_deterministic_or_current_cgdr_arm,,,,,,,,False,0.8315368279681175,False,0.028798522622574416,-2.433762419161529,True,,,,,,,,,1.6553717126017744,1.3230746426547348,1.6553717126017744,0.0287985223241499,population_projector,0,False,,False,100,100,57.24221409196616,,M2_final_hard_q_consistency,,1000,,deployable_external_eog_operator,population_projector,False,deployable_or_support_derived_geometry,0.3876868996152973,252.7676730483923,202.02743356508174,334.43049869317053,parallel_error_denominators_v2_side_by_side,development,1541.650390625,500,0.025188247321354853,1.872808775362896,0.9993655521968783,0.33775370613184014,False,True,False,False,1.0309553756005647,,False,False,4435667,3000,training_history_steps_captured_amp_skips_not_audited,M2_final_hard_q_consistency,sim31,success,5,1.0309553756005647,500,,,,,,
5,-9.779652201822017,5.028491162432258,-2.25450068673589,included,clean_prior_sampling,frozen_deterministic_or_current_cgdr_arm,,,,,,,,False,0.774771969993728,False,0.07249153229421464,-14.029664382709955,True,,,,,,,,,6.291422841160581,5.028491162432258,6.291422841160581,0.07249153249083672,population_projector,0,False,,False,100,100,57.39798491593683,,M4_per_step_quadratic_proximal_q_consistency,,1000,,deployable_external_eog_operator,population_projector,False,deployable_or_support_derived_geometry,0.3876868996152973,252.7676730483923,202.02743356508174,1271.040010072407,parallel_error_denominators_v2_side_by_side,development,1541.650390625,500,0.025188247321354853,1.872808775362896,0.9993655521968783,18.736395864288934,False,True,False,False,3.9177341805241244,,False,False,4435667,3000,training_history_steps_captured_amp_skips_not_audited,M4_per_step_quadratic_proximal_q_consistency,sim31,success,5,3.9177341805241244,500,,,,,,
,9.6891134959212,0.7973892585796045,0.24567386944896996,included,no_learned_training,frozen_deterministic_or_current_cgdr_arm,,,,,,,,False,0.9299867408031164,False,0.023225582829430783,1.962876503551364,True,,,,,,,,,0.9976577133521826,0.7973892585796045,0.9976577133521826,0.023225582579064555,population_projector,,False,,False,0,0,0.0008885969873517752,,hard_Q_population_projector_y,,0,,deployable_external_eog_operator,population_projector,False,deployable_or_support_derived_geometry,0.3876868996152973,252.7676730483923,202.02743356508174,201.55422740494942,parallel_error_denominators_v2_side_by_side,development,0.0,,0.025188247321354853,1.872808775362896,0.9993655521968783,0.44339223781114817,False,True,False,False,0.6214524740689945,,False,,,,,deterministic_Qy,sim31,success,,0.6214524740689945,0,,,,,,
,5.317759190053755,0.6597601183437055,0.622836934724485,included,no_learned_training,frozen_deterministic_or_current_cgdr_arm,,,,,,,,False,0.9541405403029513,False,0.011612791414715391,3.6109214741067768,True,,,,,,,,,0.8254622995552129,0.6597601183437055,0.8254622995552129,0.01161279116594258,population_projector,,False,,False,0,0,0.000543328991625458,,deterministic_soft_proximal,,0,,deployable_external_eog_operator,population_projector,False,deployable_or_support_derived_geometry,0.3876868996152973,252.7676730483923,202.02743356508174,166.76602988387037,parallel_error_denominators_v2_side_by_side,development,0.0,,0.025188247321354853,1.872808775362896,0.9993655521968783,0.24667775982249235,False,True,False,False,0.514050366121347,,False,,,,,deterministic_soft_proximal,sim31,success,,0.514050366121347,0,,,,,,
,14.502586801811198,0.30012837816184634,0.4552381510961062,included,paired_supervised_clean_target_stronger_differently_supervised_exploratory,frozen_deterministic_or_current_cgdr_arm,,,,,,,,False,0.9905704713841736,False,0.0060582048709545075,10.452073769234133,True,,population_projector,,,,,,,0.3755071795203455,0.30012837816184634,0.3755071795203455,0.006058205096845071,population_projector,,False,,False,1,1,0.7875003039953299,,task_matched_multichannel_deterministic_UNet,,2,2,deployable_external_eog_operator,population_projector,False,deployable_or_support_derived_geometry,0.3876868996152973,252.7676730483923,202.02743356508174,75.86275176375783,parallel_error_denominators_v2_side_by_side,development,256.94140625,,0.025188247321354853,1.872808775362896,0.9993655521968783,0.11174687208083259,False,True,False,False,0.2338557528655371,,False,,,,,task_matched_multichannel_deterministic_UNet,sim31,success,,0.2338557528655371,1,4557587,,6000,,6000,881.0162402186543
5,8.301419891289743,0.7244603465019332,-0.1754427266350569,included,paired_supervised_epsilon_prediction_operator_conditioned_diffusion,operator_conditioned_diffusion,6000,matching_p0,68,4563667,valid_time_masked_epsilon_MSE,691.4832467429806,154,False,0.6521503485150404,False,1.4444291685976745,-4.199381587995493,True,6000,,68,6000,4557587,paired_task_loss,946.5513398670591,154,0.906412326136563,0.7244603465019332,0.906412326136563,1.444429168423588,matching_p0,,False,6000,False,100,100,21.966748398990603,6000,task_matched_multichannel_operator_conditioned_diffusion_DDIM100,4563667,1000,1000,deployable_external_eog_operator,matching_p0,False,deployable_or_support_derived_geometry,0.3876868996152973,252.7676730483923,202.02743356508174,183.12015600112568,parallel_error_denominators_v2_side_by_side,development,404.64306640625,,0.18626353061553377,15.021513752012575,0.9653058971626359,0.3763725563846514,False,True,False,False,1.2633416839150424,True,False,False,,,,task_matched_multichannel_operator_conditioned_diffusion_DDIM100,sim31,success,,1.2633416839150424,500,,False,,6000,,691.4832467429806
5,0.7367616984587724,0.9573366287108526,0.823043663480555,included,clean_prior_sampling,frozen_deterministic_or_current_cgdr_arm,,,,,,,,False,0.8857974862382753,False,0.2492948226404508,0.09129653987199818,True,,,,,,,,,1.1977766964271293,0.9573366287108526,1.1977766964271293,0.24929482264954342,matching_p0,0,False,,False,100,100,54.17914835296688,,M1_observation_warm_start_sdedit,,1000,,deployable_external_eog_operator,matching_p0,False,deployable_or_support_derived_geometry,0.3876868996152973,252.7676730483923,202.02743356508174,241.98375196323494,parallel_error_denominators_v2_side_by_side,development,1541.650390625,500,0.18626353061553377,15.021513752012575,0.9653058971626359,0.488339241775221,False,True,False,False,0.7708802506254493,,False,False,4435667,3000,training_history_steps_captured_amp_skips_not_audited,M1_observation_warm_start_sdedit,sim31,success,5,0.7708802506254493,500,,,,,,
5,2.8946607992889306,1.35423411407997,-0.002632020927280987,included,clean_prior_sampling,frozen_deterministic_or_current_cgdr_arm,,,,,,,,False,0.77302094275979,False,0.2095275886970137,-2.7375219736344816,True,,,,,,,,,1.694357047150596,1.35423411407997,1.694357047150596,0.20952758875473054,matching_p0,0,False,,False,100,100,54.159284313966054,,M2_final_hard_q_consistency,,1000,,deployable_external_eog_operator,matching_p0,False,deployable_or_support_derived_geometry,0.3876868996152973,252.7676730483923,202.02743356508174,342.3066057787451,parallel_error_denominators_v2_side_by_side,development,1541.650390625,500,0.18626353061553377,15.021513752012575,0.9653058971626359,0.35473871457083267,False,True,False,False,1.0676473960986137,,False,False,4435667,3000,training_history_steps_captured_amp_skips_not_audited,M2_final_hard_q_consistency,sim31,success,5,1.0676473960986137,500,,,,,,
