comparison_role,conditional_actual_optimizer_updates,conditional_latency_seconds,conditional_minus_M1_observation_warm_start_sdedit_artifact_attenuation,conditional_minus_M1_observation_warm_start_sdedit_clean_interval_preservation,conditional_minus_M1_observation_warm_start_sdedit_correlation,conditional_minus_M1_observation_warm_start_sdedit_e_parallel,conditional_minus_M1_observation_warm_start_sdedit_e_perp,conditional_minus_M1_observation_warm_start_sdedit_psd_distortion,conditional_minus_M1_observation_warm_start_sdedit_rrmse,conditional_minus_M2_final_hard_q_consistency_artifact_attenuation,conditional_minus_M2_final_hard_q_consistency_clean_interval_preservation,conditional_minus_M2_final_hard_q_consistency_correlation,conditional_minus_M2_final_hard_q_consistency_e_parallel,conditional_minus_M2_final_hard_q_consistency_e_perp,conditional_minus_M2_final_hard_q_consistency_psd_distortion,conditional_minus_M2_final_hard_q_consistency_rrmse,conditional_minus_M4_per_step_quadratic_proximal_q_consistency_artifact_attenuation,conditional_minus_M4_per_step_quadratic_proximal_q_consistency_clean_interval_preservation,conditional_minus_M4_per_step_quadratic_proximal_q_consistency_correlation,conditional_minus_M4_per_step_quadratic_proximal_q_consistency_e_parallel,conditional_minus_M4_per_step_quadratic_proximal_q_consistency_e_perp,conditional_minus_M4_per_step_quadratic_proximal_q_consistency_psd_distortion,conditional_minus_M4_per_step_quadratic_proximal_q_consistency_rrmse,conditional_minus_deterministic_Qy_artifact_attenuation,conditional_minus_deterministic_Qy_clean_interval_preservation,conditional_minus_deterministic_Qy_correlation,conditional_minus_deterministic_Qy_e_parallel,conditional_minus_deterministic_Qy_e_perp,conditional_minus_deterministic_Qy_psd_distortion,conditional_minus_deterministic_Qy_rrmse,conditional_minus_deterministic_soft_proximal_artifact_attenuation,conditional_minus_deterministic_soft_proximal_clean_interval_preservation,conditional_minus_deterministic_soft_proximal_correlation,conditional_minus_deterministic_soft_proximal_e_parallel,conditional_minus_deterministic_soft_proximal_e_perp,conditional_minus_deterministic_soft_proximal_psd_distortion,conditional_minus_deterministic_soft_proximal_rrmse,conditional_minus_task_matched_multichannel_deterministic_UNet_artifact_attenuation,conditional_minus_task_matched_multichannel_deterministic_UNet_clean_interval_preservation,conditional_minus_task_matched_multichannel_deterministic_UNet_correlation,conditional_minus_task_matched_multichannel_deterministic_UNet_e_parallel,conditional_minus_task_matched_multichannel_deterministic_UNet_e_perp,conditional_minus_task_matched_multichannel_deterministic_UNet_psd_distortion,conditional_minus_task_matched_multichannel_deterministic_UNet_rrmse,conditional_parameters,conditional_status,conditional_training_walltime_seconds,confirmatory,deterministic_Qy_is_nondeployable_oracle,deterministic_actual_training_updates,deterministic_fixed_checkpoint_updates,deterministic_latency_seconds,deterministic_parameters,deterministic_training_walltime_seconds,fixed_optimizer_updates_each,formal_G3_evidence,operator_source,operator_specificity_interpretation_allowed,pair_status,query_oracle_geometry,reference_method_family,reference_method_id,reference_status,same_paired_supervision_exposure,source_record,source_reference_method_id,training_objectives_equal
exploratory_exact_record_scope_window_pair,6000,22.426660061988514,5.577089374954872,-1.0248883758953253,-0.22852059386439605,-0.2024896921292174,1.1413226064475575,-0.14662565646293113,0.4813747415804259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4563667,success,686.1026103699987,False,False,,,58.06745660700835,,,N/A,False,population_projector,False,success_paired,False,current_cgdr_diffusion,M1_observation_warm_start_sdedit,success,False,sim31,M1_observation_warm_start_sdedit,N/A
exploratory_exact_record_scope_window_pair,6000,22.426660061988514,,,,,,,,3.44314017460376,-0.23004021368780558,-0.174259931478967,-0.6600847169871633,1.3618189069183082,0.003959867682600204,0.22129961140345267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4563667,success,686.1026103699987,False,False,,,57.24221409196616,,,N/A,False,population_projector,False,success_paired,False,current_cgdr_diffusion,M2_final_hard_q_consistency,success,False,sim31,M2_final_hard_q_consistency,N/A
exploratory_exact_record_scope_window_pair,6000,22.426660061988514,,,,,,,,,,,,,,,16.093503425501297,2.0526559734972407,-0.11749507350457755,-5.29613584554597,1.3181258967516214,-18.394682290474492,-2.665479193520107,,,,,,,,,,,,,,,,,,,,,,4563667,success,686.1026103699987,False,False,,,57.39798491593683,,,N/A,False,population_projector,False,success_paired,False,current_cgdr_diffusion,M4_per_step_quadratic_proximal_q_consistency,success,False,sim31,M4_per_step_quadratic_proximal_q_consistency,N/A
exploratory_exact_record_scope_window_pair,6000,22.426660061988514,,,,,,,,,,,,,,,,,,,,,,-3.375262272241919,-0.4475185826876191,-0.27270984431396594,-0.0023707177375714705,1.3673918466633934,-0.10167866399670783,0.6308025129350229,,,,,,,,,,,,,,,4563667,success,686.1026103699987,False,False,,,0.0008885969873517752,,,N/A,False,population_projector,False,success_paired,False,nonlearned_algebraic,hard_Q_population_projector_y,success,False,sim31,deterministic_Qy,N/A
exploratory_exact_record_scope_window_pair,6000,22.426660061988514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9960920336255263,-0.8246816479631341,-0.2968636438138008,0.1698246960593982,1.3790046380765155,0.09503581399194799,0.7382046208826704,,,,,,,,4563667,success,686.1026103699987,False,False,,,0.000543328991625458,,,N/A,False,population_projector,False,success_paired,False,nonlearned_algebraic,deterministic_soft_proximal,success,False,sim31,deterministic_soft_proximal,N/A
exploratory_exact_record_scope_window_pair,6000,22.426660061988514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.188735578131917,-0.6570828643347554,-0.3332935748950232,0.6197798160942656,1.384559224145613,0.22996670173360775,1.0183992341384802,4563667,success,686.1026103699987,False,False,6000,6000,0.7875003039953299,4557587,881.0162402186543,6000,False,population_projector,False,success_paired,False,task_matched_deterministic,task_matched_multichannel_deterministic_UNet,success,True,sim31,task_matched_multichannel_deterministic_UNet,False
exploratory_exact_record_scope_window_pair,6000,21.966748398990603,7.564658192830971,-0.9984863901156119,-0.23364713772323487,-0.2913643702905663,1.1951343457740444,-0.11196668539056959,0.49246143328959313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4563667,success,691.4832467429806,False,False,,,54.17914835296688,,,N/A,False,matching_p0,False,success_paired,False,current_cgdr_diffusion,M1_observation_warm_start_sdedit,success,False,sim31,M1_observation_warm_start_sdedit,N/A
exploratory_exact_record_scope_window_pair,6000,21.966748398990603,,,,,,,,5.406759092000813,-0.1728107057077759,-0.12087059424474966,-0.787944721014033,1.2349015796688574,0.02163384181381872,0.19569428781642872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4563667,success,691.4832467429806,False,False,,,54.159284313966054,,,N/A,False,matching_p0,False,success_paired,False,current_cgdr_diffusion,M2_final_hard_q_consistency,success,False,sim31,M2_final_hard_q_consistency,N/A
exploratory_exact_record_scope_window_pair,6000,21.966748398990603,,,,,,,,,,,,,,,18.20366356297731,2.0380387643004108,-0.08924409942270128,-5.252753561245717,0.8549300937380722,-18.106468157556424,-2.5992756572279636,,,,,,,,,,,,,,,,,,,,,,4563667,success,691.4832467429806,False,False,,,54.09137359200395,,,N/A,False,matching_p0,False,success_paired,False,current_cgdr_diffusion,M4_per_step_quadratic_proximal_q_consistency,success,False,sim31,M4_per_step_quadratic_proximal_q_consistency,N/A
exploratory_exact_record_scope_window_pair,6000,21.966748398990603,,,,,,,,,,,,,,,,,,,,,,-1.1919853392468909,-0.4160604656290261,-0.24751377989306977,-0.10526827402522276,1.3143639944371146,-0.08088454170058851,0.6252546245411411,,,,,,,,,,,,,,,4563667,success,691.4832467429806,False,False,,,0.0005705200019292533,,,N/A,False,matching_p0,False,success_paired,False,nonlearned_algebraic,hard_Q_matching_p0_y,success,False,sim31,deterministic_Qy,N/A
