algorithmic_seed_count,available_source_records_denominator,common_eligible_source_records,comparison_role,confirmatory,excluded_ineligible_source_records,failed_within_common_eligible,formal_G1_or_G3_evidence,median_artifact_attenuation,median_clean_interval_preservation,median_correlation,median_e_parallel,median_e_perp,median_function_evaluations_per_seed_per_window,median_latency_seconds,median_peak_memory_mb,median_psd_distortion,median_rrmse,median_total_function_evaluations_per_window,model_parameters,n_algorithmic_seed_count,n_artifact_attenuation,n_clean_interval_preservation,n_correlation,n_e_parallel,n_e_perp,n_function_evaluations_per_seed_per_window,n_latency_seconds,n_peak_memory_mb,n_psd_distortion,n_rrmse,n_total_function_evaluations_per_window,operator_source,optimizer_update_semantics,optimizer_updates,reported_method_id,source_method_id,successful_source_records,training_cost_scope,training_history_steps,training_walltime_seconds,training_walltime_status
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,6.1247633770134335,-0.5672468577286124,0.5242463895577918,1.3364988516060001,2.0425430964147324,100.0,25.901135882129893,404.71142578125,0.5832082758912541,1.7845443116111417,500.0,4563667.0,6,6,6,6,6,6,6,6,6,6,6,6,population_projector,successful_optimizer_updates_audited,6000.0,task_matched_multichannel_operator_conditioned_diffusion_DDIM100,task_matched_multichannel_operator_conditioned_diffusion_DDIM100,6,operator_scope_conditional_training,,686.1026103699987,captured
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,0.41830948013618185,0.7923484868382096,0.839562096652686,1.4297579832544796,0.30213227885730354,100.0,71.47640288271941,1541.650390625,1.0231814806698996,0.9062942877615072,500.0,4435667.0,6,6,6,6,6,6,6,6,6,6,6,6,population_projector,training_history_steps_amp_skips_not_audited,,M1_observation_warm_start_sdedit,M1_observation_warm_start_sdedit,6,shared_pretrained_clean_prior,3000.0,,not_captured_in_prior_artifact
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,6.228220770219224,-0.18630108403060108,0.7546916183079344,2.101044747193842,0.036366667188621096,100.0,68.79754049889743,1541.650390625,0.4608019159691441,1.3296717253440495,500.0,4435667.0,6,6,6,6,6,6,6,6,6,6,6,6,population_projector,training_history_steps_amp_skips_not_audited,,M2_final_hard_q_consistency,M2_final_hard_q_consistency,6,shared_pretrained_clean_prior,3000.0,,not_captured_in_prior_artifact
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,-0.5145211426373297,-1.5391249998004015,0.8092080677833112,5.665473391447796,0.06605206841533068,100.0,68.66792418807745,1541.650390625,8.25476943680393,3.340256304059113,500.0,4435667.0,6,6,6,6,6,6,6,6,6,6,6,6,population_projector,training_history_steps_amp_skips_not_audited,,M4_per_step_quadratic_proximal_q_consistency,M4_per_step_quadratic_proximal_q_consistency,6,shared_pretrained_clean_prior,3000.0,,not_captured_in_prior_artifact
,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,13.665863735654582,0.21986761201198485,0.931778814093489,0.9972368749948739,0.025712109014953112,0.0,0.00043499222374521196,0.0,0.4325505705710805,0.6119762349340361,0.0,,0,6,6,6,6,6,6,6,6,6,6,6,population_projector,not_applicable,,hard_Q_population_projector_y,deterministic_Qy,6,no_learned_training,,,not_applicable
,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,5.794750340900746,0.6099338060059925,0.9491636760231825,0.891149397097128,0.012856054474487441,0.0,0.0010320832952857018,0.0,0.2252071797927247,0.5296907029228428,0.0,,0,6,6,6,6,6,6,6,6,6,6,6,population_projector,not_applicable,,deterministic_soft_proximal,deterministic_soft_proximal,6,no_learned_training,,,not_applicable
,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,16.48286964370768,0.4168780327523274,0.9887506605822598,0.4376192388352601,0.006839864675065077,1.0,0.7223282183986157,256.94140625,0.11740562614872992,0.2504793537706736,1.0,4557587.0,0,6,6,6,6,6,6,6,6,6,6,6,population_projector,successful_optimizer_updates_audited,6000.0,task_matched_multichannel_deterministic_UNet,task_matched_multichannel_deterministic_UNet,6,operator_scope_deterministic_training,,881.0162402186543,captured
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,8.09961825849004,-0.5876918888781337,0.52148765448054,1.495480141665823,2.1009080888388767,100.0,25.241505792364478,404.71142578125,0.6829655550646216,1.8424591845581344,500.0,4563667.0,6,6,6,6,6,6,6,6,6,6,6,6,matching_p0,successful_optimizer_updates_audited,6000.0,task_matched_multichannel_operator_conditioned_diffusion_DDIM100,task_matched_multichannel_operator_conditioned_diffusion_DDIM100,6,operator_scope_conditional_training,,691.4832467429806,captured
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,0.41830971219156177,0.792348467390794,0.8395620753459181,1.4297580492574546,0.3021323604083431,100.0,67.1184798697941,1541.650390625,1.0231820150929025,0.9062943650234252,500.0,4435667.0,6,6,6,6,6,6,6,6,6,6,6,6,matching_p0,training_history_steps_amp_skips_not_audited,,M1_observation_warm_start_sdedit,M1_observation_warm_start_sdedit,6,shared_pretrained_clean_prior,3000.0,,not_captured_in_prior_artifact
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,6.478697493439469,-0.17890110401075243,0.7401360702411522,2.082083311506814,0.2512213257282543,100.0,67.01831267727539,1541.650390625,0.4685423213914329,1.3338880000530022,500.0,4435667.0,6,6,6,6,6,6,6,6,6,6,6,6,matching_p0,training_history_steps_amp_skips_not_audited,,M2_final_hard_q_consistency,M2_final_hard_q_consistency,6,shared_pretrained_clean_prior,3000.0,,not_captured_in_prior_artifact
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,-1.2612069667481336,-1.5568151523865197,0.7852141015242519,5.5703344630885585,0.6229333294213587,100.0,69.61022291937843,1541.650390625,9.175757996271246,3.3208111008877754,500.0,4435667.0,6,6,6,6,6,6,6,6,6,6,6,6,matching_p0,training_history_steps_amp_skips_not_audited,,M4_per_step_quadratic_proximal_q_consistency,M4_per_step_quadratic_proximal_q_consistency,6,shared_pretrained_clean_prior,3000.0,,not_captured_in_prior_artifact
,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,13.561443609993713,0.23018653432180813,0.9114767399075974,0.9990782840139942,0.1821969791364359,0.0,0.0007342332974076271,0.0,0.4253084958757284,0.6212914935815534,0.0,,0,6,6,6,6,6,6,6,6,6,6,6,matching_p0,not_applicable,,hard_Q_matching_p0_y,deterministic_Qy,6,no_learned_training,,,not_applicable
,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,5.60131071387964,0.6150932671609041,0.9406878218459442,0.8974729081916435,0.09109848958718475,0.0,0.00043222197564318776,0.0,0.23694866618637342,0.5504801377910311,0.0,,0,6,6,6,6,6,6,6,6,6,6,6,matching_p0,not_applicable,,deterministic_soft_proximal,deterministic_soft_proximal,6,no_learned_training,,,not_applicable
,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,17.938509172859963,0.3897144967149999,0.9887425477638275,0.4272797895333628,0.0073332385595930825,1.0,0.07444617408327758,265.06640625,0.1096285651602383,0.2510562858327994,1.0,4557587.0,0,6,6,6,6,6,6,6,6,6,6,6,matching_p0,successful_optimizer_updates_audited,6000.0,task_matched_multichannel_deterministic_UNet,task_matched_multichannel_deterministic_UNet,6,operator_scope_deterministic_training,,946.5513398670591,captured
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,10.752532852401679,-0.6096115184919954,0.503321810892029,1.472510258257089,2.0235385598039977,100.0,25.279758545337245,404.71142578125,0.5702323784918852,1.8146040335067495,500.0,4563667.0,6,6,6,6,6,6,6,6,6,6,6,6,query_derived_oracle_projector,successful_optimizer_updates_audited,6000.0,task_matched_multichannel_operator_conditioned_diffusion_DDIM100,task_matched_multichannel_operator_conditioned_diffusion_DDIM100,6,operator_scope_conditional_training,,835.6562490770593,captured
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,0.4183110615054821,0.7923484488951453,0.8395621146742024,1.429758007280682,0.3021322689436354,100.0,70.20355113083497,1541.650390625,1.023181760017559,0.9062942968133054,500.0,4435667.0,6,6,6,6,6,6,6,6,6,6,6,6,query_derived_oracle_projector,training_history_steps_amp_skips_not_audited,,M1_observation_warm_start_sdedit,M1_observation_warm_start_sdedit,6,shared_pretrained_clean_prior,3000.0,,not_captured_in_prior_artifact
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,6.259509070555568,-0.18357300692247613,0.7476084021582357,2.096518652933847,1.8011743591410225e-07,100.0,67.7706716246903,1541.650390625,0.46306776001751804,1.326292245819114,500.0,4435667.0,6,6,6,6,6,6,6,6,6,6,6,6,query_derived_oracle_projector,training_history_steps_amp_skips_not_audited,,M2_final_hard_q_consistency,M2_final_hard_q_consistency,6,shared_pretrained_clean_prior,3000.0,,not_captured_in_prior_artifact
5.0,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,-0.7255094572086359,-1.5623202233019617,0.8039797570524303,5.688949699686007,0.012159296651998087,100.0,67.93187290569767,1541.650390625,8.349044236681898,3.3535329076072133,500.0,4435667.0,6,6,6,6,6,6,6,6,6,6,6,6,query_derived_oracle_projector,training_history_steps_amp_skips_not_audited,,M4_per_step_quadratic_proximal_q_consistency,M4_per_step_quadratic_proximal_q_consistency,6,shared_pretrained_clean_prior,3000.0,,not_captured_in_prior_artifact
,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,13.644051558387137,0.21899360171654697,0.9298870153407575,1.0,5.660542433861966e-08,0.0,0.0005087836034363136,0.0,0.4361911826322292,0.613397770023708,0.0,,0,6,6,6,6,6,6,6,6,6,6,6,query_derived_oracle_projector,not_applicable,,deterministic_Qy,deterministic_Qy,6,no_learned_training,,,not_applicable
,8,6,exploratory_exact_common_eligible_source_records,False,2,0,False,5.797414717405878,0.6094968008582735,0.9507242043223751,0.8917092348120466,5.6605424337668837e-08,0.0,0.00034278284874744713,0.0,0.22819042792025662,0.5296876572823961,0.0,,0,6,6,6,6,6,6,6,6,6,6,6,query_derived_oracle_projector,not_applicable,,deterministic_soft_proximal,deterministic_soft_proximal,6,no_learned_training,,,not_applicable
