job_id,experiment,stage,resource,terminal_state,recovery_of,superseded_by
929935,bci2a_hierarchical_score_v10,tests,cpu,recorded_terminal_state_unknown,,
929936,bci2a_hierarchical_score_v10,inventory,cpu-high,recorded_terminal_state_unknown,,
929937,bci2a_hierarchical_score_v10,sge-closure,cpu-high,recorded_terminal_state_unknown,,
929939,bci2a_hierarchical_score_v10,tests,cpu,recorded_terminal_state_unknown,,
929940,bci2a_hierarchical_score_v10,headroom-extract,cpu-high,recorded_terminal_state_unknown,,
929941,bci2a_hierarchical_score_v10,headroom-aggregate,cpu-high,recorded_terminal_state_unknown,,
929954,bci2a_hierarchical_score_v10,tests,cpu,recorded_terminal_state_unknown,,
929955,bci2a_hierarchical_score_v10,bci2b-extract,cpu-high,recorded_terminal_state_unknown,,
929956,bci2a_hierarchical_score_v10,bci2b-aggregate-dependency-never-satisfied,cpu-high,recorded_terminal_state_unknown,,
929965,bci2a_hierarchical_score_v10,bci2b-extract,cpu-high,recorded_terminal_state_unknown,,
929966,bci2a_hierarchical_score_v10,bci2b-aggregate,cpu-high,recorded_terminal_state_unknown,,
929976,bci2a_hierarchical_score_v10,prepare-fold,cpu-high,recorded_terminal_state_unknown,,
929986,bci2a_hierarchical_score_v10,tests,cpu,recorded_terminal_state_unknown,,
929987,bci2a_hierarchical_score_v10,train-fold,gpu,recorded_terminal_state_unknown,,
929991,bci2a_hierarchical_score_v10,train-fold,gpu,recorded_terminal_state_unknown,,
929996,bci2a_hierarchical_score_v10,infer-fold,gpu,recorded_terminal_state_unknown,,
929997,bci2a_hierarchical_score_v10,eval-fold,cpu-high,recorded_terminal_state_unknown,,
930009,bci2a_hierarchical_score_v10,diagnostic-aggregate,cpu-high,recorded_terminal_state_unknown,,
930010,bci2a_hierarchical_score_v10,prepare-fold,cpu-high,recorded_terminal_state_unknown,,
930011,bci2a_hierarchical_score_v10,train-fold,gpu,recorded_terminal_state_unknown,,
930012,bci2a_hierarchical_score_v10,infer-fold,gpu,recorded_terminal_state_unknown,,
930013,bci2a_hierarchical_score_v10,eval-fold,cpu-high,recorded_terminal_state_unknown,,
930014,bci2a_hierarchical_score_v10,diagnostic-aggregate,cpu-high,recorded_terminal_state_unknown,,
930042,bci2a_hierarchical_score_v10,sge-factorial-tests,cpu,recorded_terminal_state_unknown,,
930043,bci2a_hierarchical_score_v10,sge-factorial-replay,gpu,recorded_terminal_state_unknown,,
930044,bci2a_hierarchical_score_v10,sge-factorial-eval,cpu-high,recorded_terminal_state_unknown,,
930045,bci2a_hierarchical_score_v10,sge-factorial-closure,cpu-high,recorded_terminal_state_unknown,,
930053,bci2a_hierarchical_score_v10,finalize,cpu-high,recorded_terminal_state_unknown,,
930054,bci2a_hierarchical_score_v10,final-tests,cpu,recorded_terminal_state_unknown,,
930055,bci2a_hierarchical_score_v10,clean-import,cpu,recorded_terminal_state_unknown,,
930091,bci2a_hierarchical_score_v10,closure-report-r2,cpu-high,recorded_terminal_state_unknown,,
930092,bci2a_hierarchical_score_v10,finalize-r2,cpu-high,recorded_terminal_state_unknown,,
930093,bci2a_hierarchical_score_v10,final-tests-r2,cpu,recorded_terminal_state_unknown,,
930094,bci2a_hierarchical_score_v10,clean-import-r2,cpu,recorded_terminal_state_unknown,,
930428,bci2b_clean_posterior_v12,tests,cpu,recorded_terminal_state_unknown,,
930429,bci2b_clean_posterior_v12,score-audit,unknown,recorded_terminal_state_unknown,,
930456,bci2b_clean_posterior_v12,tests,cpu,recorded_terminal_state_unknown,,
930457,bci2b_clean_posterior_v12,materialize,unknown,recorded_terminal_state_unknown,,
930458,bci2b_clean_posterior_v12,technical,gpu,recorded_terminal_state_unknown,,
930478,bci2b_clean_posterior_v12,tests,cpu,recorded_terminal_state_unknown,,
930479,bci2b_clean_posterior_v12,technical,gpu,recorded_terminal_state_unknown,,
930513,bci2b_clean_posterior_v12,technical-diagnostic,gpu,recorded_terminal_state_unknown,,
930533,bci2b_clean_posterior_v12,tests,cpu,recorded_terminal_state_unknown,,
930534,bci2b_clean_posterior_v12,technical,gpu,recorded_terminal_state_unknown,,
930557,bci2b_clean_posterior_v12,technical-diagnostic,gpu,recorded_terminal_state_unknown,,
930571,bci2b_clean_posterior_v12,tests,cpu,recorded_terminal_state_unknown,,
930572,bci2b_clean_posterior_v12,technical-resample,gpu,recorded_terminal_state_unknown,,
930586,bci2b_clean_posterior_v12,tests,cpu,recorded_terminal_state_unknown,,
930587,bci2b_clean_posterior_v12,technical,gpu,recorded_terminal_state_unknown,,
930614,bci2b_clean_posterior_v12,tests,cpu,recorded_terminal_state_unknown,,
930615,bci2b_clean_posterior_v12,finalize,unknown,recorded_terminal_state_unknown,,
930622,bci2b_clean_posterior_v12,clean-import,cpu,recorded_terminal_state_unknown,,
930105,bci2b_eog_residual_v11,bridge-audit,unknown,recorded_terminal_state_unknown,,
930106,bci2b_eog_residual_v11,bridge-aggregate,cpu-high,recorded_terminal_state_unknown,,
930115,bci2b_eog_residual_v11,tests,cpu,recorded_terminal_state_unknown,,
930116,bci2b_eog_residual_v11,bridge-audit,unknown,recorded_terminal_state_unknown,,
930117,bci2b_eog_residual_v11,bridge-aggregate,cpu-high,recorded_terminal_state_unknown,,
930127,bci2b_eog_residual_v11,tests,cpu,recorded_terminal_state_unknown,,
930128,bci2b_eog_residual_v11,prepare-fold,unknown,recorded_terminal_state_unknown,,
930140,bci2b_eog_residual_v11,technical,L40S,recorded_terminal_state_unknown,,
930143,bci2b_eog_residual_v11,tests,cpu,recorded_terminal_state_unknown,,
930144,bci2b_eog_residual_v11,technical,L40S,recorded_terminal_state_unknown,,
930146,bci2b_eog_residual_v11,tests,cpu,recorded_terminal_state_unknown,,
930147,bci2b_eog_residual_v11,technical,L40S,recorded_terminal_state_unknown,,
930152,bci2b_eog_residual_v11,technical-replay,L40S,recorded_terminal_state_unknown,,
930153,bci2b_eog_residual_v11,train-fold,gpu,recorded_terminal_state_unknown,,
930154,bci2b_eog_residual_v11,infer-fold,gpu,recorded_terminal_state_unknown,,
930155,bci2b_eog_residual_v11,eval-fold,cpu,recorded_terminal_state_unknown,,
930156,bci2b_eog_residual_v11,gate3,cpu-high,recorded_terminal_state_unknown,,
930180,bci2b_eog_residual_v11,gate3,cpu-high,recorded_terminal_state_unknown,,
930181,bci2b_eog_residual_v11,finalize,cpu-high,recorded_terminal_state_unknown,,
930182,bci2b_eog_residual_v11,tests,cpu,recorded_terminal_state_unknown,,
930183,bci2b_eog_residual_v11,clean-import,cpu,recorded_terminal_state_unknown,,
930186,bci2b_eog_residual_v11,clean-import,cpu,recorded_terminal_state_unknown,,
930254,bci2b_eog_residual_v11_1,tests,cpu,recorded_terminal_state_unknown,,
930255,bci2b_eog_residual_v11_1,materialize,cpu,recorded_terminal_state_unknown,,
