branch,sha,classification,superseded_by
codex/bci2a-hierarchical-score-v10,90b9411a30aeee799d731a17e626c8c377e1e1fc,archive_only,
codex/bci2b-clean-posterior-v12,9f7c2626459ee1cb4c34947a29aa9f8e0630c844,archive_only,
codex/bci2b-eog-residual-v11,9ee9218ce6e3bf11b1f157339ae53b0506b5877b,superseded,codex/bci2b-eog-residual-v11-1
codex/bci2b-eog-residual-v11-1,4673aa9ca2b23c62d7d7374de16f794a1b61fd2d,supporting,
codex/bci2b-operator-shrinkage,41b2bfe64c4b80d6a4739aca6f13947293e687e5,canonical_milestone,
codex/bci2b-subject-diffusion-next,cec659deb61b206f39f8434252ab2fb503cfb880,canonical_milestone,
codex/bci2b-subject-diffusion-replication,ee759201874b0673cd580368900e34e144707953,supporting,
codex/diffusion-fair-neural-prior,2f13de18118309ba731a49a553e547e368b3121b,canonical_milestone,
codex/fir-r2-repair,7136736ec1b874b013dfd29388bc4619d86d6a7b,invalid_diagnostic,
codex/literature-guided-exploration-v3,61efe46567f807532abb50fa84f2ae771d41b8d1,archive_only,
codex/mobile-headroom-temporal-v4,1cefb776f674e7264aa48fe3a12138794d32657a,superseded,
codex/mobile-temporal-diffusion-v5,50a7b178aed6120165e968a554600a222795e2b8,superseded,
codex/parallel-subject-explore,baa4ec8a6fdff6727a3e27a0ec6c5f3de0a57cab,archive_only,
codex/physiomotion-hybrid-masked-diffusion,4bf631aaf0a081ad2920c5fa20cda64eb87fbbcf,canonical_milestone,
codex/physiomotion-retrieval-fairness,d01a7b763b4eacb2fac634e8b6f16f656c69b490,supporting,codex/physiomotion-hybrid-masked-diffusion
codex/physiomotion-subject-restoration,fbcd5b01121c471a09023ce5369b8bcc1bae1c19,superseded,codex/physiomotion-retrieval-fairness
codex/raw-support-clean-diffusion,dc43a5761f84a239425a0483d737ede3902aa85b,superseded,codex/raw-support-clean-diffusion-closure
codex/raw-support-clean-diffusion-closure,f0e4e655c6723929233de14e75b48c410421ec0d,canonical_milestone,
codex/sge-basis-score-factorial-v9,e690cd3b1c591d9b1c92050d3a0116b459f3555a,superseded,codex/sge-basis-score-factorial-v9r
codex/sge-basis-score-factorial-v9r,9a352d910212a2bd87fd6a74f39a2608eb600e67,canonical_milestone,
codex/sge-dynamic-transfer-diffusion-v6,b70b73e97d9298f377f773fb159a70a6f43832b7,superseded,
codex/sge-eb-bridge-v8-1,89e88c6f82b63b336b9b8a2e2bd927043183c533,canonical_milestone,
codex/sge-eb-score-adapter-v7,8642861fdadc26364c9766e16f4eca7332fc4928,superseded,
codex/sge-score-lora-v8,ce3dd7f04a05383f2a5ac7345988e302b9083e48,superseded,codex/sge-eb-bridge-v8-1
codex/shu-task-phenotype-diffusion,183567690d66f8ec49bb619c15ef15fff844c066,canonical_milestone,
codex/subject-bridge-repair,493421adeae965aaf0794309c6ded128b6b9afeb,invalid_diagnostic,
codex/subject-diffusion-mechanism-uq,1baddc978405cf85e1b1e278395c3f1f0439a814,archive_only,
codex/taas-subject-diffusion-freeze,0c4f2301c1f873120fe54537cde3c76fff7ea3a2,archive_only,
master,8c54fc10f61e62c97172ceadd30b004c799894bf,archive_only,
origin,8c54fc10f61e62c97172ceadd30b004c799894bf,archive_only,
