subject,protocol,method,natural_mi_band_distortion,preservation,covariance,eog_attenuation,historical_whole_log_psd
1,same_03,DIFF-WRONG,0.06725797267634206,0.6806588768959045,0.12465973494492022,0.035909292150619054,0.3485933244228363
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.030269606213929552,0.7962235063314438,0.06566938591697591,-0.011983721173560807,0.25589466094970703
2,same_01,RAW,0.0,1.0,0.0,0.0,0.0
2,same_01,LINEAR-POP,0.08303104252340512,0.8500169664621353,0.0932468069172799,0.12194117802452337,0.19885842502117157
2,same_01,LINEAR-MATCH,0.09805748335382844,0.8052847385406494,0.11671770223094967,0.14147711841016847,0.24700197577476501
2,same_01,LINEAR-WRONG,0.0824875454201487,0.8162141591310501,0.10522664743507124,0.12445272549980979,0.2263486087322235
2,same_01,DET-POP,0.08932636054835169,0.8112455606460571,0.1621122754813988,0.12147653789690124,0.20124517381191254
2,same_01,DET-MATCH,0.10313361445614173,0.7730150371789932,0.18098641315190483,0.14161613694785183,0.24512867629528046
2,same_01,DET-WRONG,0.08857490874557472,0.7822340130805969,0.1669846235144019,0.12460746542018133,0.22634470462799072
2,same_01,DIFF-POP,0.08475611231723529,0.821920782327652,0.15482293534579183,0.1206697403018687,0.2118743658065796
2,same_01,DIFF-MATCH,0.0983415749988984,0.7845298647880554,0.1736038852044533,0.14037684863970856,0.2509797513484955
2,same_01,DIFF-WRONG,0.08590672169328517,0.7926541417837143,0.16003875018656996,0.12500938919127094,0.23397834599018097
2,same_01,DIFF-TEMPORAL-SHUFFLED,0.05632547184976119,0.8062781393527985,0.05657200490677464,0.004211053304068096,0.2123245745897293
2,same_02,RAW,0.0,1.0,0.0,0.0,0.0
2,same_02,LINEAR-POP,0.08351527882529128,0.8362632244825363,0.08718748220481208,0.07016286447594919,0.23632694780826569
2,same_02,LINEAR-MATCH,0.10127742325135773,0.7867536246776581,0.11235820609423681,0.06302136451398568,0.29520151019096375
2,same_02,LINEAR-WRONG,0.09226766481868677,0.8015671819448471,0.10010942642851083,0.06319584380775714,0.2830795347690582
2,same_02,DET-POP,0.09210817917129452,0.816434770822525,0.1489004095497669,0.07317760878814726,0.21747486293315887
2,same_02,DET-MATCH,0.10897172164832039,0.7714662700891495,0.1691399880352461,0.06626653608063524,0.27333956956863403
2,same_02,DET-WRONG,0.10037259224923861,0.7861554622650146,0.15722778300179271,0.06749878073500845,0.26085174083709717
2,same_02,DIFF-POP,0.08868405510349572,0.8234610706567764,0.1430518829493982,0.07382382237211729,0.2246677577495575
2,same_02,DIFF-MATCH,0.1055107333068344,0.7791857868432999,0.16370753098972243,0.06806908807966802,0.27502456307411194
2,same_02,DIFF-WRONG,0.09729121879997653,0.7934664785861969,0.15205772263576484,0.06891711366883504,0.2635892927646637
2,same_02,DIFF-TEMPORAL-SHUFFLED,0.048345735825734475,0.7951063513755798,0.051540875229754854,0.001117271123075636,0.2459612339735031
2,same_03,RAW,0.0,1.0,0.0,0.0,0.0
2,same_03,LINEAR-POP,0.06773577248851703,0.7840642333030701,0.061930936569614015,0.09885952913522893,0.32358232140541077
2,same_03,LINEAR-MATCH,0.06817659728579449,0.8214719593524933,0.07341573860534913,0.10612895963273371,0.24010373651981354
2,same_03,LINEAR-WRONG,0.06323033682013403,0.8387927263975143,0.0654317899568791,0.09289571590689877,0.22229014337062836
2,same_03,DET-POP,0.07323061901052628,0.7545429170131683,0.12080279019129296,0.11466138983874367,0.28228411078453064
2,same_03,DET-MATCH,0.0756775107747954,0.7884620130062103,0.13254445141510637,0.1143268097839881,0.2126968502998352
2,same_03,DET-WRONG,0.07060685673118407,0.8013939708471298,0.12736480898029764,0.10376897012189565,0.196086585521698
2,same_03,DIFF-POP,0.069894881208379,0.7741626352071762,0.11555122188803417,0.11570027672658197,0.28157883882522583
2,same_03,DIFF-MATCH,0.07116447267610768,0.8050298094749451,0.12684487546955422,0.11439411708237232,0.21793237328529358
2,same_03,DIFF-WRONG,0.06614102430507066,0.8184223175048828,0.12170551902743008,0.10493741579098748,0.20579634606838226
2,same_03,DIFF-TEMPORAL-SHUFFLED,0.04211683030117272,0.806225597858429,0.053270966701910304,-0.005515743351012736,0.2085667997598648
3,same_01,RAW,0.0,1.0,0.0,0.0,0.0
3,same_01,LINEAR-POP,0.05527910826048122,0.8632211089134216,0.0762731032550094,0.10957516387772759,0.32521235942840576
3,same_01,LINEAR-MATCH,0.05846248177835679,0.8422967344522476,0.09248742517854003,0.1171814818159301,0.3530071973800659
3,same_01,LINEAR-WRONG,0.056892148310084795,0.8552820533514023,0.07835331628552453,0.11810527299557752,0.3592497408390045
3,same_01,DET-POP,0.0731703877028118,0.8439248949289322,0.11274456875498583,0.11737356444686561,0.30937469005584717
3,same_01,DET-MATCH,0.07532132977562506,0.8228956460952759,0.12965072305959258,0.12679428285266314,0.33983689546585083
3,same_01,DET-WRONG,0.07335626958954687,0.8379458636045456,0.11417017766866329,0.12588013175254,0.3399396538734436
3,same_01,DIFF-POP,0.06872304385302187,0.8419412672519684,0.11222821832505898,0.11844542911239167,0.3197352886199951
3,same_01,DIFF-MATCH,0.07199224521321713,0.8199168890714645,0.12899036662673416,0.13031380019686417,0.35096338391304016
3,same_01,DIFF-WRONG,0.06919026842281568,0.836329773068428,0.1135999659886833,0.1265733966001453,0.34594348073005676
3,same_01,DIFF-TEMPORAL-SHUFFLED,0.03794959828837211,0.8313852846622467,0.04396215238074444,0.001275050298836844,0.31730031967163086
3,same_02,RAW,0.0,1.0,0.0,0.0,0.0
3,same_02,LINEAR-POP,0.06547611080895006,0.8401402831077576,0.08223355851025568,0.13537789431792488,0.46840065717697144
3,same_02,LINEAR-MATCH,0.07336087088559301,0.8141343891620636,0.09147921756161811,0.14839833446727022,0.537554919719696
3,same_02,LINEAR-WRONG,0.07015273829512074,0.8302630931138992,0.08041038088983173,0.1394776792875173,0.5213768482208252
3,same_02,DET-POP,0.08156297471855935,0.8146609514951706,0.11959939654992091,0.14413169473141435,0.4374145269393921
3,same_02,DET-MATCH,0.08935703253538405,0.7936991602182388,0.12529541068486025,0.15670436597262138,0.5011641979217529
3,same_02,DET-WRONG,0.08613914196565924,0.8078111559152603,0.11831733510588235,0.14897800679872386,0.48606419563293457
3,same_02,DIFF-POP,0.07618668551387724,0.8139699548482895,0.11774755020583662,0.14389181137683205,0.4403308629989624
3,same_02,DIFF-MATCH,0.083947116167845,0.7920792251825333,0.12370296168644362,0.15763472599329967,0.5030745267868042
3,same_02,DIFF-WRONG,0.0806280540298746,0.8074533343315125,0.11653248056437067,0.1486963893210385,0.48443877696990967
3,same_02,DIFF-TEMPORAL-SHUFFLED,0.043787148803490085,0.8069352805614471,0.047612085699757785,0.00046948467562391016,0.49830061197280884
3,same_03,RAW,0.0,1.0,0.0,0.0,0.0
3,same_03,LINEAR-POP,0.06125095576446619,0.8229598701000214,0.09097383182818954,0.07793576759617685,0.3990379273891449
3,same_03,LINEAR-MATCH,0.0511222562813241,0.8582292348146439,0.0799496732579738,0.06906421036294055,0.29818397760391235
3,same_03,LINEAR-WRONG,0.046941983639397764,0.8768522441387177,0.06826515360852953,0.0672965370848235,0.2832607328891754
3,same_03,DET-POP,0.07256859004400648,0.8016164600849152,0.13335743957906704,0.08754780761846634,0.3745051622390747
3,same_03,DET-MATCH,0.06271700903917483,0.8262270092964172,0.12554490131485185,0.07676059491348294,0.2889362871646881
3,same_03,DET-WRONG,0.05968835397369227,0.8404437750577927,0.11853730162376037,0.07396186820347389,0.26837727427482605
3,same_03,DIFF-POP,0.06713909077282253,0.8033236563205719,0.1315371455612044,0.08838154212307422,0.38035672903060913
3,same_03,DIFF-MATCH,0.05715919944509282,0.8263906389474869,0.12330572807022926,0.07692636647851842,0.31134554743766785
3,same_03,DIFF-WRONG,0.0537959286413929,0.8420043587684631,0.11591580008344875,0.07354675309978928,0.28706711530685425
3,same_03,DIFF-TEMPORAL-SHUFFLED,0.032533869510081005,0.8514746576547623,0.056629863485655484,4.68402217346231e-06,0.2982904314994812
