subject,protocol,method,natural_mi_band_distortion,preservation,covariance,eog_attenuation,historical_whole_log_psd
1,same_01,RAW,0.0,1.0,0.0,0.0,0.0
1,same_01,LINEAR-POP,0.037490321502050956,0.8411024063825607,0.07515892204923048,0.03536688004544852,0.3408651053905487
1,same_01,LINEAR-MATCH,0.036823165344200964,0.8433037251234055,0.07237539268457713,0.03388838070264448,0.3425833284854889
1,same_01,LINEAR-WRONG,0.04504479189103802,0.8011577129364014,0.08796397759770876,0.013250124416393838,0.4175896644592285
1,same_01,DET-POP,0.04181385651942438,0.8399569541215897,0.0968475350734164,0.041726426585066506,0.309244304895401
1,same_01,DET-MATCH,0.040963847032188506,0.8424289524555206,0.09417173281227517,0.04013198088454105,0.31060537695884705
1,same_01,DET-WRONG,0.04948686117457649,0.7997266948223114,0.10958482093361109,0.020420433268938942,0.38519972562789917
1,same_01,DIFF-POP,0.04027053360493633,0.8424984812736511,0.09784702498607714,0.044694798004485614,0.2962614595890045
1,same_01,DIFF-MATCH,0.039151217032407405,0.8459232300519943,0.09507361744302531,0.04342508196486625,0.2962764501571655
1,same_01,DIFF-WRONG,0.048406647176602216,0.80350661277771,0.11254043855983238,0.02649442561471882,0.3612264096736908
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.01921466639079275,0.855607733130455,0.03910331309683097,0.0012648168745929278,0.2663945257663727
1,same_02,RAW,0.0,1.0,0.0,0.0,0.0
1,same_02,LINEAR-POP,0.0419618156209971,0.7815653830766678,0.07904657440505004,0.09719598926306189,0.4249054193496704
1,same_02,LINEAR-MATCH,0.03919504408415815,0.7858864068984985,0.07815421188654846,0.09262833860236613,0.419088751077652
1,same_02,LINEAR-WRONG,0.0511746212245995,0.716810941696167,0.09487052804057117,0.07744555639139301,0.5326409935951233
1,same_02,DET-POP,0.04767883611362665,0.7787404507398605,0.10758923904721156,0.10088055331830052,0.3854350447654724
1,same_02,DET-MATCH,0.04424412561508916,0.784095287322998,0.10480630499905536,0.09469393676510529,0.3822178542613983
1,same_02,DET-WRONG,0.05665805839487529,0.7138884663581848,0.11855698689127439,0.08152154973730731,0.4920384883880615
1,same_02,DIFF-POP,0.04556689560135195,0.7804791331291199,0.10756724458565271,0.10190265458088393,0.3682383894920349
1,same_02,DIFF-MATCH,0.04102491392181738,0.7913976609706879,0.10663052403029677,0.0949615429749193,0.35483744740486145
1,same_02,DIFF-WRONG,0.055824620624439235,0.7164462208747864,0.12109977719501165,0.08505687533011548,0.46068140864372253
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.027316350076769056,0.803970992565155,0.05484204910084411,-0.0012976181341299575,0.32429325580596924
1,same_03,RAW,0.0,1.0,0.0,0.0,0.0
1,same_03,LINEAR-POP,0.06221047279027424,0.6844107806682587,0.09628475938551236,0.016460697271713787,0.4785574674606323
1,same_03,LINEAR-MATCH,0.04991799718006491,0.7988534718751907,0.08174275854049473,0.04446896453701912,0.28742846846580505
1,same_03,LINEAR-WRONG,0.06101851289843092,0.681721419095993,0.10913714034560541,-0.002561999620259797,0.39234915375709534
1,same_03,DET-POP,0.06826088280163717,0.6787135004997253,0.12011752425696537,0.05266076665608729,0.430463969707489
1,same_03,DET-MATCH,0.05493641853340552,0.7850784361362457,0.10484277110071565,0.05646304648836223,0.25459548830986023
1,same_03,DET-WRONG,0.06702045082387091,0.6761987507343292,0.12519186927443932,0.03179829170898199,0.35528114438056946
1,same_03,DIFF-POP,0.06786643532516513,0.6816162765026093,0.12159035195182698,0.0526731437293822,0.40530455112457275
1,same_03,DIFF-MATCH,0.053033820766745995,0.7903980910778046,0.10358251539710667,0.05579298146403744,0.25722599029541016
