subject,k,U_D,U_P,U_W,U_S,U_L,diff_match_rrmse,linear_match_rrmse,paired_spectral_utility,linear_spectral_utility,mi_band_distortion,preservation,covariance,eog_attenuation,kappa_minus_raw,erd_preservation
1,8,-0.0047527129451433725,0.03525516390800476,0.05970548093318939,0.37762620796759927,-0.015059947967529283,0.13143563518921533,0.11637568722168605,0.15138877059022585,0.16329886764287949,0.04440331724032359,0.8092396607001623,0.10176221895680959,0.06472653518585278,0.019444444444444486,0.9682916155759207
2,8,0.009815370043118776,0.045070444544156374,0.06024893621603647,0.4665131072203318,-0.09371459608276686,0.126825084288915,0.03311048820614815,0.16949556271235147,0.20312336335579553,0.09167226032728015,0.7895818203687668,0.15471876388790998,0.10761335100513492,0.08611111111111112,0.9296818571615546
3,8,-0.006860909362634018,0.05334642777840297,0.04836934804916383,0.4037896965940794,-0.04379808033506075,0.0793285792072614,0.035530498872200646,0.16451909268895784,0.20413344105084738,0.07103285360871832,0.8127955844004949,0.12533301879446904,0.12162496454112293,0.036111111111111094,0.9428768667767685
4,8,-0.0015819196899731908,0.025443341583013535,0.026993973801533372,0.41849767292539275,0.004949742928147316,0.1107824333012104,0.11573217622935772,0.12640957410136858,0.14648088347166777,0.05952026141264836,0.7989737788836161,0.09693594562478013,0.11934099865895159,-0.0567301499781091,0.9492190706708663
5,8,0.004076893130938203,0.029588316877682985,0.10881987214088437,0.6243435045083363,0.007957811777790369,0.17224918802579245,0.18020699980358282,0.14661446462074915,0.17499361683924994,0.08925380546846057,0.8085955580075582,0.12102234734912067,0.10801916702042887,-0.07497640421310026,0.9168879073505135
6,8,0.001022008558114365,0.030964357157548264,0.02312951038281122,0.3531832695007324,-0.04917259669552247,0.0731946627298991,0.02402206603437662,0.14998038237293562,0.18182195257395506,0.07044287782509735,0.8161577383677164,0.1763351828909052,0.11791659367869456,0.0,0.9399815853483021
7,8,-0.0015158603588740077,0.03158185382684073,0.04275973637898764,0.44110581527153647,-0.027063660323619843,0.11922702938318253,0.09216336905956268,0.16991302743554115,0.19207490670184293,0.0752136955720838,0.7607265263795853,0.12122720124348936,0.11464463444215282,-0.019444444444444486,0.9401238460040169
8,8,-0.0019036370019118037,0.05092670023441315,0.01789642870426178,0.7190990795691808,-0.0058343367030223164,0.09192349016666412,0.08608915346364181,0.2268102951347828,0.2503401543945074,0.08214764915438107,0.8044524490833282,0.10635939163265083,0.10852967681631992,-0.05555555555555558,0.9322807218653417
9,8,-0.0024719114104906625,0.02189670503139496,0.02770720918973288,0.3768671353658041,-0.026465681691964463,0.13162455956141153,0.10515887786944707,0.1913598527510961,0.21483059599995613,0.05799323630906956,0.781120166182518,0.11077405029308045,0.07959170970587444,-0.08055555555555555,0.9558157574749983
