subject,protocol,method,paired_psd_error_1_45,paired_spectral_utility
3,same_01,DIFF-WRONG,0.09833455085754395,0.15056125819683075
3,same_01,DIFF-TEMPORAL-SHUFFLED,0.34640729427337646,-0.09751148521900177
3,same_02,RAW,0.2762623429298401,0.0
3,same_02,LINEAR-POP,0.06254532188177109,0.213717021048069
3,same_02,LINEAR-MATCH,0.016570935025811195,0.2596914079040289
3,same_02,LINEAR-WRONG,0.062365394085645676,0.2138969488441944
3,same_02,DET-POP,0.08918854594230652,0.18707379698753357
3,same_02,DET-MATCH,0.05105217173695564,0.22521017119288445
3,same_02,DET-WRONG,0.08722826093435287,0.1890340819954872
3,same_02,DIFF-POP,0.09677388519048691,0.17948845773935318
3,same_02,DIFF-MATCH,0.06447400897741318,0.2117883339524269
3,same_02,DIFF-WRONG,0.09670735895633698,0.1795549839735031
3,same_02,DIFF-TEMPORAL-SHUFFLED,0.3765820860862732,-0.1003197431564331
3,same_03,RAW,0.14437954127788544,0.0
3,same_03,LINEAR-POP,0.06184354051947594,0.0825360007584095
3,same_03,LINEAR-MATCH,0.006647633388638496,0.13773190788924694
3,same_03,LINEAR-WRONG,0.020305713638663292,0.12407382763922215
3,same_03,DET-POP,0.06405489891767502,0.08032464236021042
3,same_03,DET-MATCH,0.040915872901678085,0.10346366837620735
3,same_03,DET-WRONG,0.04526110365986824,0.0991184376180172
3,same_03,DIFF-POP,0.06835786998271942,0.07602167129516602
3,same_03,DIFF-MATCH,0.04907417669892311,0.09530536457896233
3,same_03,DIFF-WRONG,0.05022288113832474,0.0941566601395607
3,same_03,DIFF-TEMPORAL-SHUFFLED,0.20793946087360382,-0.06355991959571838
