subject,protocol,method,paired_psd_error_1_45,paired_spectral_utility
1,same_01,RAW,0.34323686361312866,0.0
1,same_01,LINEAR-POP,0.12276162952184677,0.2204752340912819
1,same_01,LINEAR-MATCH,0.12040048092603683,0.22283638268709183
1,same_01,LINEAR-WRONG,0.07826279103755951,0.26497407257556915
1,same_01,DET-POP,0.134841188788414,0.20839567482471466
1,same_01,DET-MATCH,0.13218602538108826,0.2110508382320404
1,same_01,DET-WRONG,0.09231903403997421,0.25091782957315445
1,same_01,DIFF-POP,0.13766317069530487,0.2055736929178238
1,same_01,DIFF-MATCH,0.13665977120399475,0.2065770924091339
1,same_01,DIFF-WRONG,0.09701916575431824,0.24621769785881042
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.391724169254303,-0.048487305641174316
1,same_02,RAW,0.24025270342826843,0.0
1,same_02,LINEAR-POP,0.03944110497832298,0.20081159844994545
1,same_02,LINEAR-MATCH,0.04788416996598244,0.192368533462286
1,same_02,LINEAR-WRONG,0.059740737080574036,0.1805119663476944
1,same_02,DET-POP,0.056631434708833694,0.18362126871943474
1,same_02,DET-MATCH,0.06010863557457924,0.1801440678536892
1,same_02,DET-WRONG,0.06588512659072876,0.17436757683753967
1,same_02,DIFF-POP,0.05924614891409874,0.1810065545141697
1,same_02,DIFF-MATCH,0.07300129532814026,0.16725140810012817
1,same_02,DIFF-WRONG,0.07251480966806412,0.16773789376020432
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.31097978353500366,-0.07072708010673523
1,same_03,RAW,0.11756011098623276,0.0
1,same_03,LINEAR-POP,0.14280155301094055,-0.025241442024707794
1,same_03,LINEAR-MATCH,0.04286842420697212,0.07469168677926064
1,same_03,LINEAR-WRONG,0.11058247834444046,0.006977632641792297
1,same_03,DET-POP,0.11702201515436172,0.0005380958318710327
1,same_03,DET-MATCH,0.03761982545256615,0.07994028553366661
1,same_03,DET-WRONG,0.09129593521356583,0.02626417577266693
1,same_03,DIFF-POP,0.11518990248441696,0.002370208501815796
1,same_03,DIFF-MATCH,0.037222299724817276,0.08033781126141548
1,same_03,DIFF-WRONG,0.0910261943936348,0.02653391659259796
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.18351934850215912,-0.06595923751592636
2,same_01,RAW,0.20303533971309662,0.0
2,same_01,LINEAR-POP,0.02924923412501812,0.1737861055880785
2,same_01,LINEAR-MATCH,0.03215978667140007,0.17087555304169655
2,same_01,LINEAR-WRONG,0.07923721522092819,0.12379812449216843
2,same_01,DET-POP,0.05502789095044136,0.14800744876265526
2,same_01,DET-MATCH,0.05312849208712578,0.14990684762597084
2,same_01,DET-WRONG,0.09040442854166031,0.11263091117143631
2,same_01,DIFF-POP,0.05652056634426117,0.14651477336883545
2,same_01,DIFF-MATCH,0.05405496060848236,0.14898037910461426
2,same_01,DIFF-WRONG,0.0801830142736435,0.12285232543945312
2,same_01,DIFF-TEMPORAL-SHUFFLED,0.29703447222709656,-0.09399913251399994
2,same_02,RAW,0.23746544122695923,0.0
2,same_02,LINEAR-POP,0.0631416067481041,0.17432383447885513
2,same_02,LINEAR-MATCH,0.012634887360036373,0.22483055386692286
2,same_02,LINEAR-WRONG,0.0346214659512043,0.20284397527575493
2,same_02,DET-POP,0.07942270487546921,0.15804273635149002
2,same_02,DET-MATCH,0.044492751359939575,0.19297268986701965
2,same_02,DET-WRONG,0.055185288190841675,0.18228015303611755
2,same_02,DIFF-POP,0.08071447163820267,0.15675096958875656
2,same_02,DIFF-MATCH,0.047148991376161575,0.19031644985079765
2,same_02,DIFF-WRONG,0.05658875033259392,0.1808766908943653
2,same_02,DIFF-TEMPORAL-SHUFFLED,0.3108901083469391,-0.07342466711997986
2,same_03,RAW,0.22216227650642395,0.0
2,same_03,LINEAR-POP,0.1028168648481369,0.11934541165828705
2,same_03,LINEAR-MATCH,0.008498293347656727,0.21366398315876722
2,same_03,LINEAR-WRONG,0.04641440883278847,0.17574786767363548
2,same_03,DET-POP,0.10127603262662888,0.12088624387979507
2,same_03,DET-MATCH,0.050495684146881104,0.17166659235954285
2,same_03,DET-WRONG,0.06357939541339874,0.1585828810930252
2,same_03,DIFF-POP,0.10061462223529816,0.1215476542711258
2,same_03,DIFF-MATCH,0.05297241732478142,0.16918985918164253
2,same_03,DIFF-WRONG,0.06444887816905975,0.1577133983373642
2,same_03,DIFF-TEMPORAL-SHUFFLED,0.2925355136394501,-0.07037323713302612
3,same_01,RAW,0.2488958090543747,0.0
3,same_01,LINEAR-POP,0.10442444682121277,0.14447136223316193
3,same_01,LINEAR-MATCH,0.033918801695108414,0.21497700735926628
3,same_01,LINEAR-WRONG,0.08366356790065765,0.16523224115371704
3,same_01,DET-POP,0.11318256705999374,0.13571324199438095
3,same_01,DET-MATCH,0.0550822839140892,0.1938135251402855
3,same_01,DET-WRONG,0.09692677855491638,0.1519690304994583
3,same_01,DIFF-POP,0.11463867127895355,0.13425713777542114
3,same_01,DIFF-MATCH,0.06243222951889038,0.18646357953548431
