subject,protocol,method,lambda,paired_psd_error_1_45,rrmse
1,same_01,RAW,0.0,0.34323686361312866,0.4012896716594696
1,same_01,RAW,0.1,0.34323686361312866,0.4012896716594696
1,same_01,RAW,0.2,0.34323686361312866,0.4012896716594696
1,same_01,RAW,0.3,0.34323686361312866,0.4012896716594696
1,same_01,RAW,0.4,0.34323686361312866,0.4012896716594696
1,same_01,RAW,0.5,0.34323686361312866,0.4012896716594696
1,same_01,RAW,0.6,0.34323686361312866,0.4012896716594696
1,same_01,RAW,0.7,0.34323686361312866,0.4012896716594696
1,same_01,RAW,0.8,0.34323686361312866,0.4012896716594696
1,same_01,RAW,0.9,0.34323686361312866,0.4012896716594696
1,same_01,RAW,1.0,0.34323686361312866,0.4012896716594696
1,same_01,LINEAR-POP,0.0,0.34323686361312866,0.4012896716594696
1,same_01,LINEAR-POP,0.1,0.3204248547554016,0.3756087124347687
1,same_01,LINEAR-POP,0.2,0.29768091440200806,0.34993886947631836
1,same_01,LINEAR-POP,0.3,0.2752717137336731,0.324282705783844
1,same_01,LINEAR-POP,0.4,0.2530277371406555,0.2986438274383545
1,same_01,LINEAR-POP,0.5,0.2308727353811264,0.27302706241607666
1,same_01,LINEAR-POP,0.6,0.20893388986587524,0.24743923544883728
1,same_01,LINEAR-POP,0.7,0.18717117607593536,0.2218904346227646
1,same_01,LINEAR-POP,0.8,0.16562913358211517,0.19639581441879272
1,same_01,LINEAR-POP,0.9,0.14414647221565247,0.17097969353199005
1,same_01,LINEAR-POP,1.0,0.12276162952184677,0.14568309485912323
1,same_01,LINEAR-MATCH,0.0,0.34323686361312866,0.4012896716594696
1,same_01,LINEAR-MATCH,0.1,0.3202298879623413,0.3755117952823639
1,same_01,LINEAR-MATCH,0.2,0.2972855865955353,0.3497353792190552
1,same_01,LINEAR-MATCH,0.3,0.27467936277389526,0.32396066188812256
1,same_01,LINEAR-MATCH,0.4,0.25224655866622925,0.298188179731369
1,same_01,LINEAR-MATCH,0.5,0.22988799214363098,0.2724184989929199
1,same_01,LINEAR-MATCH,0.6,0.20775926113128662,0.2466525435447693
1,same_01,LINEAR-MATCH,0.7,0.18578743934631348,0.2208915799856186
1,same_01,LINEAR-MATCH,0.8,0.16392363607883453,0.19513759016990662
1,same_01,LINEAR-MATCH,0.9,0.1421106457710266,0.16939379274845123
1,same_01,LINEAR-MATCH,1.0,0.12040049582719803,0.14366558194160461
1,same_01,LINEAR-WRONG,0.0,0.34323686361312866,0.4012896716594696
1,same_01,LINEAR-WRONG,0.1,0.31533774733543396,0.3697170913219452
1,same_01,LINEAR-WRONG,0.2,0.2876962721347809,0.3381902575492859
1,same_01,LINEAR-WRONG,0.3,0.260397344827652,0.30672314763069153
1,same_01,LINEAR-WRONG,0.4,0.23333775997161865,0.27533629536628723
1,same_01,LINEAR-WRONG,0.5,0.20656023919582367,0.2440606653690338
1,same_01,LINEAR-WRONG,0.6,0.18025916814804077,0.21294522285461426
1,same_01,LINEAR-WRONG,0.7,0.15418775379657745,0.18207217752933502
1,same_01,LINEAR-WRONG,0.8,0.12837237119674683,0.15158967673778534
1,same_01,LINEAR-WRONG,0.9,0.10294527560472488,0.12179131805896759
1,same_01,LINEAR-WRONG,1.0,0.07826279103755951,0.0933346375823021
1,same_01,DET-POP,0.0,0.34323686361312866,0.4012896716594696
1,same_01,DET-POP,0.1,0.32144033908843994,0.37666404247283936
1,same_01,DET-POP,0.2,0.2997492551803589,0.35208287835121155
1,same_01,DET-POP,0.3,0.2783946394920349,0.32755616307258606
1,same_01,DET-POP,0.4,0.2572005093097687,0.303097128868103
1,same_01,DET-POP,0.5,0.23622214794158936,0.2787235677242279
1,same_01,DET-POP,0.6,0.2153855562210083,0.25446003675460815
1,same_01,DET-POP,0.7,0.19481390714645386,0.2303413450717926
1,same_01,DET-POP,0.8,0.17458342015743256,0.20641827583312988
1,same_01,DET-POP,0.9,0.15459707379341125,0.1827675998210907
1,same_01,DET-POP,1.0,0.134841188788414,0.15951058268547058
1,same_01,DET-MATCH,0.0,0.34323686361312866,0.4012896716594696
1,same_01,DET-MATCH,0.1,0.3212347626686096,0.3765595257282257
1,same_01,DET-MATCH,0.2,0.29932621121406555,0.3518570363521576
1,same_01,DET-MATCH,0.3,0.2777543067932129,0.3271883428096771
1,same_01,DET-MATCH,0.4,0.256335586309433,0.3025617301464081
1,same_01,DET-MATCH,0.5,0.2351345270872116,0.2779884338378906
1,same_01,DET-MATCH,0.6,0.21410611271858215,0.2534838616847992
1,same_01,DET-MATCH,0.7,0.19326196610927582,0.22907021641731262
1,same_01,DET-MATCH,0.8,0.17271149158477783,0.20477987825870514
1,same_01,DET-MATCH,0.9,0.15234898030757904,0.18066267669200897
1,same_01,DET-MATCH,1.0,0.13218602538108826,0.15679846704006195
1,same_01,DET-WRONG,0.0,0.34323686361312866,0.4012896716594696
1,same_01,DET-WRONG,0.1,0.316394180059433,0.3707488477230072
1,same_01,DET-WRONG,0.2,0.28981462121009827,0.340303510427475
1,same_01,DET-WRONG,0.3,0.26360487937927246,0.3099818527698517
1,same_01,DET-WRONG,0.4,0.23772117495536804,0.27982398867607117
1,same_01,DET-WRONG,0.5,0.21210075914859772,0.24988926947116852
1,same_01,DET-WRONG,0.6,0.18694579601287842,0.22026866674423218
1,same_01,DET-WRONG,0.7,0.16231802105903625,0.19110837578773499
1,same_01,DET-WRONG,0.8,0.1381353735923767,0.1626560091972351
1,same_01,DET-WRONG,0.9,0.11472093313932419,0.13535887002944946
1,same_01,DET-WRONG,1.0,0.09231903403997421,0.11007963865995407
1,same_01,DIFF-POP,0.0,0.34323686361312866,0.4012896716594696
1,same_01,DIFF-POP,0.1,0.3217308819293976,0.37703773379325867
1,same_01,DIFF-POP,0.2,0.3003154397010803,0.3528410792350769
1,same_01,DIFF-POP,0.3,0.2792544662952423,0.32871201634407043
1,same_01,DIFF-POP,0.4,0.2583400309085846,0.30466657876968384
1,same_01,DIFF-POP,0.5,0.23760978877544403,0.28072622418403625
1,same_01,DIFF-POP,0.6,0.21703621745109558,0.25692033767700195
1,same_01,DIFF-POP,0.7,0.1967364251613617,0.23329010605812073
1,same_01,DIFF-POP,0.8,0.17675358057022095,0.2098948210477829
1,same_01,DIFF-POP,0.9,0.15708686411380768,0.1868228167295456
1,same_01,DIFF-POP,1.0,0.13766317069530487,0.16421039402484894
1,same_01,DIFF-MATCH,0.0,0.34323686361312866,0.4012896716594696
1,same_01,DIFF-MATCH,0.1,0.3217046856880188,0.37709328532218933
1,same_01,DIFF-MATCH,0.2,0.30025163292884827,0.3529360890388489
1,same_01,DIFF-MATCH,0.3,0.2791522443294525,0.3288267254829407
1,same_01,DIFF-MATCH,0.4,0.2582089304924011,0.30477648973464966
1,same_01,DIFF-MATCH,0.5,0.23743510246276855,0.28080058097839355
1,same_01,DIFF-MATCH,0.6,0.2168341726064682,0.25691983103752136
1,same_01,DIFF-MATCH,0.7,0.19641481339931488,0.2331634908914566
1,same_01,DIFF-MATCH,0.8,0.17624053359031677,0.20957385003566742
1,same_01,DIFF-MATCH,0.9,0.15634848177433014,0.18621426820755005
1,same_01,DIFF-MATCH,1.0,0.13665977120399475,0.16318358480930328
1,same_01,DIFF-WRONG,0.0,0.34323686361312866,0.4012896716594696
1,same_01,DIFF-WRONG,0.1,0.31681838631629944,0.37157392501831055
1,same_01,DIFF-WRONG,0.2,0.29065459966659546,0.3419743776321411
1,same_01,DIFF-WRONG,0.3,0.2648595869541168,0.31252405047416687
1,same_01,DIFF-WRONG,0.4,0.23940162360668182,0.283269464969635
1,same_01,DIFF-WRONG,0.5,0.21417959034442902,0.25427818298339844
1,same_01,DIFF-WRONG,0.6,0.18943363428115845,0.22565169632434845
1,same_01,DIFF-WRONG,0.7,0.16528098285198212,0.19754870235919952
1,same_01,DIFF-WRONG,0.8,0.14158980548381805,0.17022861540317535
1,same_01,DIFF-WRONG,0.9,0.11874820291996002,0.14413738250732422
1,same_01,DIFF-WRONG,1.0,0.09701916575431824,0.1200786605477333
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.0,0.34323686361312866,0.4012896716594696
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.1,0.342995822429657,0.40103939175605774
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.2,0.3438784182071686,0.40209800004959106
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.3,0.3459077775478363,0.40445518493652344
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.4,0.3489609658718109,0.40808844566345215
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.5,0.35319918394088745,0.4129641354084015
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.6,0.3588131070137024,0.419038861989975
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.7,0.36559200286865234,0.42626139521598816
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.8,0.37340399622917175,0.4345744550228119
1,same_01,DIFF-TEMPORAL-SHUFFLED,0.9,0.38209351897239685,0.44391679763793945
1,same_01,DIFF-TEMPORAL-SHUFFLED,1.0,0.391724169254303,0.45422497391700745
1,same_02,RAW,0.0,0.24025270342826843,0.3287827968597412
1,same_02,RAW,0.1,0.24025270342826843,0.3287827968597412
1,same_02,RAW,0.2,0.24025270342826843,0.3287827968597412
1,same_02,RAW,0.3,0.24025270342826843,0.3287827968597412
1,same_02,RAW,0.4,0.24025270342826843,0.3287827968597412
1,same_02,RAW,0.5,0.24025270342826843,0.3287827968597412
1,same_02,RAW,0.6,0.24025270342826843,0.3287827968597412
1,same_02,RAW,0.7,0.24025270342826843,0.3287827968597412
1,same_02,RAW,0.8,0.24025270342826843,0.3287827968597412
1,same_02,RAW,0.9,0.24025270342826843,0.3287827968597412
1,same_02,RAW,1.0,0.24025270342826843,0.3287827968597412
1,same_02,LINEAR-POP,0.0,0.24025270342826843,0.3287827968597412
1,same_02,LINEAR-POP,0.1,0.21829406917095184,0.29863664507865906
1,same_02,LINEAR-POP,0.2,0.19655293226242065,0.26861637830734253
1,same_02,LINEAR-POP,0.3,0.17496828734874725,0.23876957595348358
1,same_02,LINEAR-POP,0.4,0.15343010425567627,0.2091704159975052
1,same_02,LINEAR-POP,0.5,0.13214604556560516,0.17994120717048645
1,same_02,LINEAR-POP,0.6,0.11112882196903229,0.1512964516878128
1,same_02,LINEAR-POP,0.7,0.0906790941953659,0.12364310771226883
1,same_02,LINEAR-POP,0.8,0.07155775278806686,0.09782551974058151
1,same_02,LINEAR-POP,0.9,0.05417413264513016,0.07574472576379776
