subject,protocol,k,method,panel,band,error,utility,distortion
1,same_01,8,RAW,paired,delta,0.15342362225055695,0.0,
1,same_01,8,RAW,paired,theta,0.11798229068517685,0.0,
1,same_01,8,RAW,paired,alpha,0.11305183917284012,0.0,
1,same_01,8,RAW,paired,beta,0.2592496871948242,0.0,
1,same_01,8,RAW,paired,low_gamma,0.5997954607009888,0.0,
1,same_01,8,RAW,paired,high_frequency_secondary,1.3594614267349243,0.0,
1,same_01,8,LINEAR-POP,paired,delta,0.05238524451851845,0.1010383777320385,
1,same_01,8,LINEAR-POP,paired,theta,0.041133906692266464,0.07684838399291039,
1,same_01,8,LINEAR-POP,paired,alpha,0.04049836844205856,0.07255347073078156,
1,same_01,8,LINEAR-POP,paired,beta,0.09416790306568146,0.16508178412914276,
1,same_01,8,LINEAR-POP,paired,low_gamma,0.21377171576023102,0.38602374494075775,
1,same_01,8,LINEAR-POP,paired,high_frequency_secondary,0.4869134724140167,0.8725479543209076,
1,same_01,8,DET-POP,paired,delta,0.05265815928578377,0.10076546296477318,
1,same_01,8,DET-POP,paired,theta,0.042189713567495346,0.0757925771176815,
1,same_01,8,DET-POP,paired,alpha,0.04132210463285446,0.07172973453998566,
1,same_01,8,DET-POP,paired,beta,0.10324131697416306,0.15600837022066116,
1,same_01,8,DET-POP,paired,low_gamma,0.23780080676078796,0.3619946539402008,
1,same_01,8,DET-POP,paired,high_frequency_secondary,0.5482606291770935,0.8112007975578308,
1,same_01,8,DIFF-POP,paired,delta,0.0538678877055645,0.09955573454499245,
1,same_01,8,DIFF-POP,paired,theta,0.04216359555721283,0.07581869512796402,
1,same_01,8,DIFF-POP,paired,alpha,0.04210076853632927,0.07095107063651085,
1,same_01,8,DIFF-POP,paired,beta,0.10544438660144806,0.15380530059337616,
1,same_01,8,DIFF-POP,paired,low_gamma,0.24297818541526794,0.3568172752857208,
1,same_01,8,DIFF-POP,paired,high_frequency_secondary,0.5560713410377502,0.8033900856971741,
1,same_01,8,LINEAR-MATCH,paired,delta,0.05493897944688797,0.09848464280366898,
1,same_01,8,LINEAR-MATCH,paired,theta,0.042056549340486526,0.07592574134469032,
1,same_01,8,LINEAR-MATCH,paired,alpha,0.0400535948574543,0.07299824431538582,
1,same_01,8,LINEAR-MATCH,paired,beta,0.0928017720580101,0.16644791513681412,
1,same_01,8,LINEAR-MATCH,paired,low_gamma,0.20781682431697845,0.3919786363840103,
1,same_01,8,LINEAR-MATCH,paired,high_frequency_secondary,0.4753081500530243,0.8841532766819,
1,same_01,8,DET-MATCH,paired,delta,0.05435723438858986,0.09906638786196709,
1,same_01,8,DET-MATCH,paired,theta,0.0429779477417469,0.07500434294342995,
1,same_01,8,DET-MATCH,paired,alpha,0.04097503423690796,0.07207680493593216,
1,same_01,8,DET-MATCH,paired,beta,0.10174380987882614,0.15750587731599808,
1,same_01,8,DET-MATCH,paired,low_gamma,0.23134775459766388,0.3684477061033249,
1,same_01,8,DET-MATCH,paired,high_frequency_secondary,0.535679817199707,0.8237816095352173,
1,same_01,8,DIFF-MATCH,paired,delta,0.055354706943035126,0.09806891530752182,
1,same_01,8,DIFF-MATCH,paired,theta,0.043026044964790344,0.0749562457203865,
1,same_01,8,DIFF-MATCH,paired,alpha,0.04199940711259842,0.0710524320602417,
1,same_01,8,DIFF-MATCH,paired,beta,0.10493724793195724,0.15431243926286697,
1,same_01,8,DIFF-MATCH,paired,low_gamma,0.2401149421930313,0.35968051850795746,
1,same_01,8,DIFF-MATCH,paired,high_frequency_secondary,0.5500209927558899,0.8094404339790344,
1,same_01,8,LINEAR-WRONG,paired,delta,0.03194846212863922,0.12147516012191772,
1,same_01,8,LINEAR-WRONG,paired,theta,0.02638602815568447,0.09159626252949238,
1,same_01,8,LINEAR-WRONG,paired,alpha,0.02578647993505001,0.08726535923779011,
1,same_01,8,LINEAR-WRONG,paired,beta,0.05946863815188408,0.19978104904294014,
1,same_01,8,LINEAR-WRONG,paired,low_gamma,0.13724175095558167,0.4625537097454071,
1,same_01,8,LINEAR-WRONG,paired,high_frequency_secondary,0.3061804175376892,1.053281009197235,
1,same_01,8,DET-WRONG,paired,delta,0.039840035140514374,0.11358358711004257,
1,same_01,8,DET-WRONG,paired,theta,0.028973650187253952,0.0890086404979229,
1,same_01,8,DET-WRONG,paired,alpha,0.0273327324539423,0.08571910671889782,
1,same_01,8,DET-WRONG,paired,beta,0.06995256245136261,0.1892971247434616,
1,same_01,8,DET-WRONG,paired,low_gamma,0.16289959847927094,0.43689586222171783,
1,same_01,8,DET-WRONG,paired,high_frequency_secondary,0.3682282269001007,0.9912331998348236,
1,same_01,8,DIFF-WRONG,paired,delta,0.04060817137360573,0.11281545087695122,
1,same_01,8,DIFF-WRONG,paired,theta,0.0292197298258543,0.08876256085932255,
1,same_01,8,DIFF-WRONG,paired,alpha,0.02811024896800518,0.08494159020483494,
1,same_01,8,DIFF-WRONG,paired,beta,0.07216314226388931,0.1870865449309349,
1,same_01,8,DIFF-WRONG,paired,low_gamma,0.17351394891738892,0.42628151178359985,
1,same_01,8,DIFF-WRONG,paired,high_frequency_secondary,0.4059341549873352,0.9535272717475891,
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,delta,0.18332013487815857,-0.029896512627601624,
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,theta,0.14277802407741547,-0.024795733392238617,
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,alpha,0.1276729255914688,-0.014621086418628693,
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,beta,0.29944801330566406,-0.040198326110839844,
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,low_gamma,0.6770482659339905,-0.07725280523300171,
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,high_frequency_secondary,1.4595333337783813,-0.10007190704345703,
1,same_01,8,RAW,natural,delta,,,0.0
1,same_01,8,RAW,natural,theta,,,0.0
1,same_01,8,RAW,natural,alpha,,,0.0
1,same_01,8,RAW,natural,beta,,,0.0
1,same_01,8,RAW,natural,low_gamma,,,0.0
1,same_01,8,RAW,natural,high_frequency_secondary,,,0.0
1,same_01,8,LINEAR-POP,natural,delta,,,0.12944419933579973
1,same_01,8,LINEAR-POP,natural,theta,,,0.08326665218114442
1,same_01,8,LINEAR-POP,natural,alpha,,,0.04802507923818533
1,same_01,8,LINEAR-POP,natural,beta,,,0.04562546908456084
1,same_01,8,LINEAR-POP,natural,low_gamma,,,0.0775877131840555
1,same_01,8,LINEAR-POP,natural,high_frequency_secondary,,,0.23481875341866323
1,same_01,8,DET-POP,natural,delta,,,0.16584246855642654
1,same_01,8,DET-POP,natural,theta,,,0.09926840584887821
1,same_01,8,DET-POP,natural,alpha,,,0.052161383119658004
1,same_01,8,DET-POP,natural,beta,,,0.0483260143383199
1,same_01,8,DET-POP,natural,low_gamma,,,0.07234733156194083
1,same_01,8,DET-POP,natural,high_frequency_secondary,,,0.1803095550835115
1,same_01,8,DIFF-POP,natural,delta,,,0.16404307072073207
1,same_01,8,DIFF-POP,natural,theta,,,0.09660243733358774
1,same_01,8,DIFF-POP,natural,alpha,,,0.05089906227209004
1,same_01,8,DIFF-POP,natural,beta,,,0.04665330891507442
1,same_01,8,DIFF-POP,natural,low_gamma,,,0.07107912769511067
1,same_01,8,DIFF-POP,natural,high_frequency_secondary,,,0.1544789553927937
1,same_01,8,LINEAR-MATCH,natural,delta,,,0.12591067244962437
1,same_01,8,LINEAR-MATCH,natural,theta,,,0.08008373017650429
1,same_01,8,LINEAR-MATCH,natural,alpha,,,0.04726030830971465
1,same_01,8,LINEAR-MATCH,natural,beta,,,0.045275125939474005
1,same_01,8,LINEAR-MATCH,natural,low_gamma,,,0.0777096758551717
1,same_01,8,LINEAR-MATCH,natural,high_frequency_secondary,,,0.23834666168223984
1,same_01,8,DET-MATCH,natural,delta,,,0.1623408178771273
1,same_01,8,DET-MATCH,natural,theta,,,0.09589875351522804
1,same_01,8,DET-MATCH,natural,alpha,,,0.051161519119656655
1,same_01,8,DET-MATCH,natural,beta,,,0.04774058752035818
1,same_01,8,DET-MATCH,natural,low_gamma,,,0.07202545293323358
1,same_01,8,DET-MATCH,natural,high_frequency_secondary,,,0.1833673355940545
1,same_01,8,DIFF-MATCH,natural,delta,,,0.16047141533688092
1,same_01,8,DIFF-MATCH,natural,theta,,,0.0931238918925463
1,same_01,8,DIFF-MATCH,natural,alpha,,,0.049753382091762104
1,same_01,8,DIFF-MATCH,natural,beta,,,0.045711563249702186
1,same_01,8,DIFF-MATCH,natural,low_gamma,,,0.06967588819440845
1,same_01,8,DIFF-MATCH,natural,high_frequency_secondary,,,0.1614089550487078
1,same_01,8,LINEAR-WRONG,natural,delta,,,0.16234467208382133
1,same_01,8,LINEAR-WRONG,natural,theta,,,0.1033691285315496
1,same_01,8,LINEAR-WRONG,natural,alpha,,,0.06021477523820003
1,same_01,8,LINEAR-WRONG,natural,beta,,,0.0542890559514177
1,same_01,8,LINEAR-WRONG,natural,low_gamma,,,0.09756018650712985
1,same_01,8,LINEAR-WRONG,natural,high_frequency_secondary,,,0.3364699396646471
1,same_01,8,DET-WRONG,natural,delta,,,0.19900488249601048
1,same_01,8,DET-WRONG,natural,theta,,,0.12018158436613738
1,same_01,8,DET-WRONG,natural,alpha,,,0.06456791879800106
1,same_01,8,DET-WRONG,natural,beta,,,0.05695420274853033
1,same_01,8,DET-WRONG,natural,low_gamma,,,0.09103439061908816
