subject,protocol,k,method,rrmse,correlation,delta_snr,paired_psd_error_1_45,paired_spectral_utility
1,same_01,8,RAW,0.4012896716594696,0.9290639013933105,0.0,0.34323686361312866,0.0
1,same_01,8,LINEAR-POP,0.14568309485912323,0.9896095671839559,8.800975799560547,0.12276162952184677,0.2204752340912819
1,same_01,8,DET-POP,0.15951058268547058,0.9874371740599355,8.0133695602417,0.134841188788414,0.20839567482471466
1,same_01,8,DIFF-POP,0.16421039402484894,0.98669797371128,7.761147499084473,0.13766317069530487,0.2055736929178238
1,same_01,8,LINEAR-MATCH,0.14366556704044342,0.9899021498577766,8.922104835510254,0.12040048092603683,0.22283638268709183
1,same_01,8,DET-MATCH,0.15679846704006195,0.9878689178160647,8.162322998046875,0.13218602538108826,0.2110508382320404
1,same_01,8,DIFF-MATCH,0.16318358480930328,0.9868653950884245,7.815629959106445,0.13665977120399475,0.2065770924091339
1,same_01,8,LINEAR-WRONG,0.0933346375823021,0.9956785055493957,12.668303489685059,0.07826279103755951,0.26497407257556915
1,same_01,8,DET-WRONG,0.11007963865995407,0.9939496819044216,11.235018730163574,0.09231903403997421,0.25091782957315445
1,same_01,8,DIFF-WRONG,0.1200786605477333,0.9928219180026874,10.479842185974121,0.09701916575431824,0.24621769785881042
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,0.45422497391700745,0.9109357332940308,-1.0762606859207153,0.391724169254303,-0.048487305641174316
1,same_02,8,RAW,0.3287827968597412,0.951654456788883,0.0,0.24025270342826843,0.0
1,same_02,8,LINEAR-POP,0.061562228947877884,0.9981061985160524,14.551896095275879,0.03944110497832298,0.20081159844994545
1,same_02,8,DET-POP,0.08808380365371704,0.9961791547422985,11.440261840820312,0.056631434708833694,0.18362126871943474
1,same_02,8,DIFF-POP,0.08994989842176437,0.9959555038568725,11.258169174194336,0.05924614891409874,0.1810065545141697
1,same_02,8,LINEAR-MATCH,0.08344170451164246,0.9965532164617149,11.91051959991455,0.04788416996598244,0.192368533462286
1,same_02,8,DET-MATCH,0.1018277257680893,0.9948470481092396,10.18086051940918,0.06010863557457924,0.1801440678536892
1,same_02,8,DIFF-MATCH,0.11076415330171585,0.9938460459214679,9.450197219848633,0.07300129532814026,0.16725140810012817
1,same_02,8,LINEAR-WRONG,0.13415208458900452,0.9910181699124878,7.786232948303223,0.059740737080574036,0.1805119663476944
1,same_02,8,DET-WRONG,0.13869540393352509,0.9903112622402288,7.496941089630127,0.06588512659072876,0.17436757683753967
1,same_02,8,DIFF-WRONG,0.1411277800798416,0.9900144060846242,7.345931529998779,0.07251480966806412,0.16773789376020432
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,0.43504148721694946,0.9188748952262975,-2.432432174682617,0.31097978353500366,-0.07072708010673523
1,same_03,8,RAW,0.4087892770767212,0.928183622801382,0.0,0.11756011098623276,0.0
1,same_03,8,LINEAR-POP,0.40429800748825073,0.9250670388682347,0.09595782309770584,0.14280155301094055,-0.025241442024707794
1,same_03,8,DET-POP,0.24306291341781616,0.9706505968101385,4.515615940093994,0.11702201515436172,0.0005380958318710327
1,same_03,8,DIFF-POP,0.245912104845047,0.9704827327156622,4.414391994476318,0.11518990248441696,0.002370208501815796
1,same_03,8,LINEAR-MATCH,0.12201979011297226,0.992563747034994,10.501384735107422,0.04286842420697212,0.07469168677926064
1,same_03,8,DET-MATCH,0.12142257392406464,0.9925886083859142,10.544000625610352,0.03761982545256615,0.07994028553366661
1,same_03,8,DIFF-MATCH,0.12035916745662689,0.9927862086016046,10.620407104492188,0.037222299724817276,0.08033781126141548
1,same_03,8,LINEAR-WRONG,0.39593082666397095,0.9278894956462856,0.2776030898094177,0.11058247834444046,0.006977632641792297
1,same_03,8,DET-WRONG,0.31638896465301514,0.9517589001401181,2.2255635261535645,0.09129593521356583,0.02626417577266693
1,same_03,8,DIFF-WRONG,0.3122169077396393,0.9539518965823067,2.3408613204956055,0.0910261943936348,0.02653391659259796
1,same_03,8,DIFF-TEMPORAL-SHUFFLED,0.6379190683364868,0.8433004013871063,-3.8653218746185303,0.18351934850215912,-0.06595923751592636
1,same_01,32,RAW,0.4012896716594696,0.9290639013933105,0.0,0.34323686361312866,0.0
1,same_01,32,LINEAR-POP,0.14568309485912323,0.9896095671839559,8.800975799560547,0.12276162952184677,0.2204752340912819
1,same_01,32,DET-POP,0.15951058268547058,0.9874371740599355,8.0133695602417,0.134841188788414,0.20839567482471466
1,same_01,32,DIFF-POP,0.163334459066391,0.9868373365885343,7.807602882385254,0.1373629868030548,0.20587387681007385
1,same_01,32,LINEAR-MATCH,0.14366556704044342,0.9899021498577766,8.922104835510254,0.12040048092603683,0.22283638268709183
1,same_01,32,DET-MATCH,0.15679846704006195,0.9878689178160647,8.162322998046875,0.13218602538108826,0.2110508382320404
1,same_01,32,DIFF-MATCH,0.1622852385044098,0.9870067556891965,7.863579273223877,0.13641780614852905,0.2068190574645996
1,same_01,32,LINEAR-WRONG,0.0933346375823021,0.9956785055493957,12.668303489685059,0.07826279103755951,0.26497407257556915
1,same_01,32,DET-WRONG,0.11007963865995407,0.9939496819044216,11.235018730163574,0.09231903403997421,0.25091782957315445
1,same_01,32,DIFF-WRONG,0.11903753131628036,0.9929497033520897,10.555481910705566,0.09662437438964844,0.24661248922348022
1,same_01,32,DIFF-TEMPORAL-SHUFFLED,0.4535685181617737,0.9111343695022026,-1.0636991262435913,0.3917049169540405,-0.048468053340911865
1,same_02,32,RAW,0.3287827968597412,0.951654456788883,0.0,0.24025270342826843,0.0
1,same_02,32,LINEAR-POP,0.061562228947877884,0.9981061985160524,14.551896095275879,0.03944110497832298,0.20081159844994545
1,same_02,32,DET-POP,0.08808380365371704,0.9961791547422985,11.440261840820312,0.056631434708833694,0.18362126871943474
1,same_02,32,DIFF-POP,0.0877663716673851,0.9961514702747802,11.471619606018066,0.058637380599975586,0.18161532282829285
1,same_02,32,LINEAR-MATCH,0.08344170451164246,0.9965532164617149,11.91051959991455,0.04788416996598244,0.192368533462286
1,same_02,32,DET-MATCH,0.1018277257680893,0.9948470481092396,10.18086051940918,0.06010863557457924,0.1801440678536892
1,same_02,32,DIFF-MATCH,0.10923108458518982,0.9940129489017109,9.571256637573242,0.07225841283798218,0.16799429059028625
1,same_02,32,LINEAR-WRONG,0.13415208458900452,0.9910181699124878,7.786232948303223,0.059740737080574036,0.1805119663476944
1,same_02,32,DET-WRONG,0.13869540393352509,0.9903112622402288,7.496941089630127,0.06588512659072876,0.17436757683753967
1,same_02,32,DIFF-WRONG,0.13991296291351318,0.990183429804024,7.421023368835449,0.07138949632644653,0.1688632071018219
1,same_02,32,DIFF-TEMPORAL-SHUFFLED,0.43455010652542114,0.9190318228354982,-2.4226155281066895,0.31106048822402954,-0.07080778479576111
1,same_03,32,RAW,0.4087892770767212,0.928183622801382,0.0,0.11756011098623276,0.0
1,same_03,32,LINEAR-POP,0.40429800748825073,0.9250670388682347,0.09595782309770584,0.14280155301094055,-0.025241442024707794
1,same_03,32,DET-POP,0.24306291341781616,0.9706505968101385,4.515615940093994,0.11702201515436172,0.0005380958318710327
1,same_03,32,DIFF-POP,0.24389317631721497,0.9709303602029911,4.485997200012207,0.11435617506504059,0.003203935921192169
1,same_03,32,LINEAR-MATCH,0.12201979011297226,0.992563747034994,10.501384735107422,0.04286842420697212,0.07469168677926064
1,same_03,32,DET-MATCH,0.12142257392406464,0.9925886083859142,10.544000625610352,0.03761982545256615,0.07994028553366661
1,same_03,32,DIFF-MATCH,0.11675262451171875,0.9932140261158885,10.884657859802246,0.03544200584292412,0.08211810514330864
1,same_03,32,LINEAR-WRONG,0.39593082666397095,0.9278894956462856,0.2776030898094177,0.11058247834444046,0.006977632641792297
1,same_03,32,DET-WRONG,0.31638896465301514,0.9517589001401181,2.2255635261535645,0.09129593521356583,0.02626417577266693
1,same_03,32,DIFF-WRONG,0.31080812215805054,0.9543044186696682,2.3801426887512207,0.08993272483348846,0.027627386152744293
1,same_03,32,DIFF-TEMPORAL-SHUFFLED,0.6375407576560974,0.8433081856592308,-3.8601696491241455,0.18331286311149597,-0.06575275212526321
2,same_01,8,RAW,0.4466257393360138,0.9170239728474057,0.0,0.20303533971309662,0.0
2,same_01,8,LINEAR-POP,0.12609636783599854,0.9922411784320936,10.984823226928711,0.02924923412501812,0.1737861055880785
2,same_01,8,DET-POP,0.14877428114414215,0.9899307720177174,9.548316955566406,0.05502789095044136,0.14800744876265526
2,same_01,8,DIFF-POP,0.14167438447475433,0.9900674012057282,9.973048210144043,0.05652056634426117,0.14651477336883545
2,same_01,8,LINEAR-MATCH,0.04006554186344147,0.9991984906320905,20.94345474243164,0.03215978667140007,0.17087555304169655
2,same_01,8,DET-MATCH,0.11940626800060272,0.9943388810459717,11.458332061767578,0.05312849208712578,0.14990684762597084
