k,method,subjects,rrmse,correlation,delta_snr,paired_spectral_utility,mi_band_distortion,eog_attenuation,preservation,covariance,mi_kappa,erd_preservation
32,RAW,9,0.48850793419060884,0.8971713112480463,0.0,0.0,0.0,0.0,1.0,0.0,0.3528484748918582,1.0
32,LINEAR-POP,9,0.14631698211586033,0.9877395664871711,10.336565761930412,0.15600093157479056,0.06774109705740466,0.08917964591596428,0.8054394189406324,0.09025476056435632,0.3477707747150586,0.9472783285272008
32,LINEAR-MATCH,9,0.08759881297333373,0.9930368389180555,18.065383858150906,0.1923441980034113,0.06716591375163677,0.09726723147444495,0.8122640230037548,0.09093209517395276,0.3490168824508597,0.946198756577788
32,LINEAR-WRONG,9,0.17610228627368255,0.980026975154709,9.49412773935883,0.16522296097267558,0.06668237921662014,0.09001599761871575,0.8074801376572361,0.08948575876627543,0.34495932230010595,0.9482064968452492
32,DET-POP,9,0.1534758201903767,0.9877805693675948,9.56460917437518,0.14503146487253685,0.07594082696367138,0.09847989351523963,0.788379066520267,0.1271779620230749,0.34315268491999545,0.9374278409725428
32,DET-MATCH,9,0.11471310920185512,0.9928309853893118,12.377366737083152,0.17129055521002523,0.07474301249195932,0.10406718938243176,0.7960747656998811,0.12632415055047186,0.3437699688706128,0.9370962867424025
32,DET-WRONG,9,0.16399818355286563,0.9840060534560214,9.490453755414045,0.15217249564550542,0.07482933507781003,0.09853708310663353,0.7876889562165296,0.12755529946242902,0.3325005457519119,0.9383953772830466
32,DIFF-POP,9,0.1489415074940081,0.9882525113273952,9.824099487728542,0.1446192377695331,0.07278969572976807,0.09920293472171673,0.7917866375711229,0.12488355365486195,0.32926379603110656,0.9416075331139958
32,DIFF-MATCH,9,0.11186245359756329,0.9929858160974078,12.59510933911359,0.16903910606547637,0.07147087168275315,0.10464860344084356,0.7994655939163985,0.12388649121841222,0.34191811701876085,0.9415397717625078
32,DIFF-WRONG,9,0.1590117155401795,0.9847991844497405,9.750014119678074,0.15244266818518992,0.07188498703921527,0.09963166264182155,0.7911704259890097,0.12518289619465015,0.3332761417101189,0.9424718218850417
32,DIFF-TEMPORAL-SHUFFLED,9,0.5788049598534902,0.8615851123267343,-1.8345026991985462,-0.07987243902904016,0.041395937177073405,0.0013400446420317675,0.811153299830578,0.06688976741858553,0.3315778937412982,0.9788597079800662
