k,effect,mean,median,positive,ci_low,ci_high,status
8,U_D,-0.00046363100409507903,-0.0015819196899731908,3,-0.0032858309887901465,0.0027624259702861186,participant_descriptive_bootstrap
8,U_P,0.03600814566016197,0.03158185382684073,9,0.02943147470553716,0.04318208081854714,participant_descriptive_bootstrap
8,U_W,0.04618116619962233,0.04275973637898764,9,0.030669085564160786,0.06523605798267654,participant_descriptive_bootstrap
8,U_S,0.4645583876581103,0.41849767292539275,9,0.3965699637860612,0.5482966707708932,participant_descriptive_bootstrap
8,U_L,-0.027577927232616477,-0.026465681691964463,2,-0.04841208219079784,-0.009565360706161565,participant_descriptive_bootstrap
32,U_D,0.0028506556042918432,0.003018078704675034,7,-0.00021193585600014038,0.005971003799802724,participant_descriptive_bootstrap
32,U_P,0.03707905389644481,0.03287406265735625,9,0.03037109584375112,0.04438926857999629,participant_descriptive_bootstrap
32,U_W,0.04714926194261621,0.04408701509237288,9,0.03171421863414624,0.06620935183018445,participant_descriptive_bootstrap
32,U_S,0.46694250625592687,0.4202748338381449,9,0.3989432399954509,0.5508376375013199,participant_descriptive_bootstrap
32,U_L,-0.024263640624229556,-0.02142663548390071,2,-0.04536409077096593,-0.00602462811102333,participant_descriptive_bootstrap
