subject,protocol,method,panel,band,error,utility,distortion
1,same_01,DET-MATCH,natural,low_gamma,,,0.07202545293323358
1,same_01,DET-MATCH,natural,high_frequency_secondary,,,0.1833673355940545
1,same_01,DET-WRONG,paired,delta,0.039840035140514374,0.11358358711004257,
1,same_01,DET-WRONG,paired,theta,0.028973650187253952,0.0890086404979229,
1,same_01,DET-WRONG,paired,alpha,0.0273327324539423,0.08571910671889782,
1,same_01,DET-WRONG,paired,beta,0.06995256245136261,0.1892971247434616,
1,same_01,DET-WRONG,paired,low_gamma,0.16289959847927094,0.43689586222171783,
1,same_01,DET-WRONG,paired,high_frequency_secondary,0.3682282269001007,0.9912331998348236,
1,same_01,DET-WRONG,natural,delta,,,0.19900488249601048
1,same_01,DET-WRONG,natural,theta,,,0.12018158436613738
1,same_01,DET-WRONG,natural,alpha,,,0.06456791879800106
1,same_01,DET-WRONG,natural,beta,,,0.05695420274853033
1,same_01,DET-WRONG,natural,low_gamma,,,0.09103439061908816
1,same_01,DET-WRONG,natural,high_frequency_secondary,,,0.27637945218347126
1,same_01,DIFF-POP,paired,delta,0.0538678877055645,0.09955573454499245,
1,same_01,DIFF-POP,paired,theta,0.04216359555721283,0.07581869512796402,
1,same_01,DIFF-POP,paired,alpha,0.04210076853632927,0.07095107063651085,
1,same_01,DIFF-POP,paired,beta,0.10544438660144806,0.15380530059337616,
1,same_01,DIFF-POP,paired,low_gamma,0.24297818541526794,0.3568172752857208,
1,same_01,DIFF-POP,paired,high_frequency_secondary,0.5560713410377502,0.8033900856971741,
1,same_01,DIFF-POP,natural,delta,,,0.16404307072073207
1,same_01,DIFF-POP,natural,theta,,,0.09660243733358774
1,same_01,DIFF-POP,natural,alpha,,,0.05089906227209004
1,same_01,DIFF-POP,natural,beta,,,0.04665330891507442
1,same_01,DIFF-POP,natural,low_gamma,,,0.07107912769511067
1,same_01,DIFF-POP,natural,high_frequency_secondary,,,0.1544789553927937
1,same_01,DIFF-MATCH,paired,delta,0.055354706943035126,0.09806891530752182,
1,same_01,DIFF-MATCH,paired,theta,0.043026044964790344,0.0749562457203865,
1,same_01,DIFF-MATCH,paired,alpha,0.04199940711259842,0.0710524320602417,
1,same_01,DIFF-MATCH,paired,beta,0.10493724793195724,0.15431243926286697,
1,same_01,DIFF-MATCH,paired,low_gamma,0.2401149421930313,0.35968051850795746,
1,same_01,DIFF-MATCH,paired,high_frequency_secondary,0.5500209927558899,0.8094404339790344,
1,same_01,DIFF-MATCH,natural,delta,,,0.16047141533688092
1,same_01,DIFF-MATCH,natural,theta,,,0.0931238918925463
1,same_01,DIFF-MATCH,natural,alpha,,,0.049753382091762104
1,same_01,DIFF-MATCH,natural,beta,,,0.045711563249702186
1,same_01,DIFF-MATCH,natural,low_gamma,,,0.06967588819440845
1,same_01,DIFF-MATCH,natural,high_frequency_secondary,,,0.1614089550487078
1,same_01,DIFF-WRONG,paired,delta,0.04060817137360573,0.11281545087695122,
1,same_01,DIFF-WRONG,paired,theta,0.0292197298258543,0.08876256085932255,
1,same_01,DIFF-WRONG,paired,alpha,0.02811024896800518,0.08494159020483494,
1,same_01,DIFF-WRONG,paired,beta,0.07216314226388931,0.1870865449309349,
1,same_01,DIFF-WRONG,paired,low_gamma,0.17351394891738892,0.42628151178359985,
1,same_01,DIFF-WRONG,paired,high_frequency_secondary,0.4059341549873352,0.9535272717475891,
1,same_01,DIFF-WRONG,natural,delta,,,0.19832364483081352
1,same_01,DIFF-WRONG,natural,theta,,,0.11797776418860767
1,same_01,DIFF-WRONG,natural,alpha,,,0.06391894535453278
1,same_01,DIFF-WRONG,natural,beta,,,0.05593595716583261
1,same_01,DIFF-WRONG,natural,low_gamma,,,0.08955850344105203
1,same_01,DIFF-WRONG,natural,high_frequency_secondary,,,0.22310789841431153
1,same_01,DIFF-TEMPORAL-SHUFFLED,paired,delta,0.18332013487815857,-0.029896512627601624,
1,same_01,DIFF-TEMPORAL-SHUFFLED,paired,theta,0.14277802407741547,-0.024795733392238617,
1,same_01,DIFF-TEMPORAL-SHUFFLED,paired,alpha,0.1276729255914688,-0.014621086418628693,
1,same_01,DIFF-TEMPORAL-SHUFFLED,paired,beta,0.29944801330566406,-0.040198326110839844,
1,same_01,DIFF-TEMPORAL-SHUFFLED,paired,low_gamma,0.6770482659339905,-0.07725280523300171,
1,same_01,DIFF-TEMPORAL-SHUFFLED,paired,high_frequency_secondary,1.4595333337783813,-0.10007190704345703,
1,same_01,DIFF-TEMPORAL-SHUFFLED,natural,delta,,,0.06821472077265006
1,same_01,DIFF-TEMPORAL-SHUFFLED,natural,theta,,,0.043865251709048626
1,same_01,DIFF-TEMPORAL-SHUFFLED,natural,alpha,,,0.029396580270618578
1,same_01,DIFF-TEMPORAL-SHUFFLED,natural,beta,,,0.029879478957821635
1,same_01,DIFF-TEMPORAL-SHUFFLED,natural,low_gamma,,,0.06406745734859731
1,same_01,DIFF-TEMPORAL-SHUFFLED,natural,high_frequency_secondary,,,0.1518543964527027
1,same_02,RAW,paired,delta,0.22931551933288574,0.0,
1,same_02,RAW,paired,theta,0.15831725299358368,0.0,
1,same_02,RAW,paired,alpha,0.12393034994602203,0.0,
1,same_02,RAW,paired,beta,0.15645650029182434,0.0,
1,same_02,RAW,paired,low_gamma,0.38869303464889526,0.0,
1,same_02,RAW,paired,high_frequency_secondary,0.6709726452827454,0.0,
1,same_02,RAW,natural,delta,,,0.0
1,same_02,RAW,natural,theta,,,0.0
1,same_02,RAW,natural,alpha,,,0.0
1,same_02,RAW,natural,beta,,,0.0
1,same_02,RAW,natural,low_gamma,,,0.0
1,same_02,RAW,natural,high_frequency_secondary,,,0.0
1,same_02,LINEAR-POP,paired,delta,0.0416303314268589,0.18768518790602684,
1,same_02,LINEAR-POP,paired,theta,0.037635382264852524,0.12068187072873116,
1,same_02,LINEAR-POP,paired,alpha,0.02738591656088829,0.09654443338513374,
1,same_02,LINEAR-POP,paired,beta,0.026473764330148697,0.12998273596167564,
1,same_02,LINEAR-POP,paired,low_gamma,0.05718183517456055,0.3315111994743347,
1,same_02,LINEAR-POP,paired,high_frequency_secondary,0.09478658437728882,0.5761860609054565,
1,same_02,LINEAR-POP,natural,delta,,,0.15598131149946964
1,same_02,LINEAR-POP,natural,theta,,,0.11898260061281953
1,same_02,LINEAR-POP,natural,alpha,,,0.07184413937240688
1,same_02,LINEAR-POP,natural,beta,,,0.04230428183671079
1,same_02,LINEAR-POP,natural,low_gamma,,,0.16380815779040633
1,same_02,LINEAR-POP,natural,high_frequency_secondary,,,0.4742675227399016
1,same_02,LINEAR-MATCH,paired,delta,0.05849500373005867,0.17082051560282707,
1,same_02,LINEAR-MATCH,paired,theta,0.038692545145750046,0.11962470784783363,
1,same_02,LINEAR-MATCH,paired,alpha,0.0320710726082325,0.09185927733778954,
1,same_02,LINEAR-MATCH,paired,beta,0.03249029815196991,0.12396620213985443,
1,same_02,LINEAR-MATCH,paired,low_gamma,0.06875157356262207,0.3199414610862732,
1,same_02,LINEAR-MATCH,paired,high_frequency_secondary,0.11906979233026505,0.5519028529524803,
1,same_02,LINEAR-MATCH,natural,delta,,,0.15323799975421637
1,same_02,LINEAR-MATCH,natural,theta,,,0.1162216694033077
1,same_02,LINEAR-MATCH,natural,alpha,,,0.06882954199378565
1,same_02,LINEAR-MATCH,natural,beta,,,0.040488734360533025
1,same_02,LINEAR-MATCH,natural,low_gamma,,,0.16359662502098046
1,same_02,LINEAR-MATCH,natural,high_frequency_secondary,,,0.4613481061487576
1,same_02,LINEAR-WRONG,paired,delta,0.08096090704202652,0.14835461229085922,
1,same_02,LINEAR-WRONG,paired,theta,0.06388493627309799,0.09443231672048569,
1,same_02,LINEAR-WRONG,paired,alpha,0.04530287906527519,0.07862747088074684,
1,same_02,LINEAR-WRONG,paired,beta,0.04252774268388748,0.11392875760793686,
1,same_02,LINEAR-WRONG,paired,low_gamma,0.07683796435594559,0.3118550702929497,
1,same_02,LINEAR-WRONG,paired,high_frequency_secondary,0.1287764012813568,0.5421962440013885,
1,same_02,LINEAR-WRONG,natural,delta,,,0.2014778407116539
1,same_02,LINEAR-WRONG,natural,theta,,,0.15157985120613038
1,same_02,LINEAR-WRONG,natural,alpha,,,0.09088891418293589
1,same_02,LINEAR-WRONG,natural,beta,,,0.051948960278382916
1,same_02,LINEAR-WRONG,natural,low_gamma,,,0.22876638442156286
1,same_02,LINEAR-WRONG,natural,high_frequency_secondary,,,0.6577227559868543
1,same_02,DET-POP,paired,delta,0.07290515303611755,0.1564103662967682,
1,same_02,DET-POP,paired,theta,0.05227027088403702,0.10604698210954666,
1,same_02,DET-POP,paired,alpha,0.03539831191301346,0.08853203803300858,
1,same_02,DET-POP,paired,beta,0.03622099384665489,0.12023550644516945,
1,same_02,DET-POP,paired,low_gamma,0.08236321061849594,0.3063298240303993,
1,same_02,DET-POP,paired,high_frequency_secondary,0.14076273143291473,0.5302099138498306,
1,same_02,DET-POP,natural,delta,,,0.20566945958072466
1,same_02,DET-POP,natural,theta,,,0.1379751746901596
1,same_02,DET-POP,natural,alpha,,,0.07506162959457274
1,same_02,DET-POP,natural,beta,,,0.04646938143213218
1,same_02,DET-POP,natural,low_gamma,,,0.1304499376333341
1,same_02,DET-POP,natural,high_frequency_secondary,,,0.385319691330983
1,same_02,DET-MATCH,paired,delta,0.07543708384037018,0.15387843549251556,
1,same_02,DET-MATCH,paired,theta,0.04996660351753235,0.10835064947605133,
1,same_02,DET-MATCH,paired,alpha,0.03621085360646248,0.08771949633955956,
1,same_02,DET-MATCH,paired,beta,0.038733262568712234,0.1177232377231121,
1,same_02,DET-MATCH,paired,low_gamma,0.08959896117448807,0.2990940734744072,
1,same_02,DET-MATCH,paired,high_frequency_secondary,0.15613755583763123,0.5148350894451141,
1,same_02,DET-MATCH,natural,delta,,,0.19878786681307523
1,same_02,DET-MATCH,natural,theta,,,0.13504609871141657
1,same_02,DET-MATCH,natural,alpha,,,0.07174983342045567
1,same_02,DET-MATCH,natural,beta,,,0.0438463342420091
1,same_02,DET-MATCH,natural,low_gamma,,,0.13272825622298795
1,same_02,DET-MATCH,natural,high_frequency_secondary,,,0.3812390896165353
1,same_02,DET-WRONG,paired,delta,0.11791466176509857,0.11140085756778717,
1,same_02,DET-WRONG,paired,theta,0.08509009331464767,0.073227159678936,
1,same_02,DET-WRONG,paired,alpha,0.05482334643602371,0.06910700350999832,
1,same_02,DET-WRONG,paired,beta,0.045495472848415375,0.11096102744340897,
1,same_02,DET-WRONG,paired,low_gamma,0.07496829330921173,0.31372474133968353,
1,same_02,DET-WRONG,paired,high_frequency_secondary,0.1255595088005066,0.5454131364822388,
1,same_02,DET-WRONG,natural,delta,,,0.24884948253562345
1,same_02,DET-WRONG,natural,theta,,,0.1667168944129463
1,same_02,DET-WRONG,natural,alpha,,,0.0929153671158813
1,same_02,DET-WRONG,natural,beta,,,0.0552037443795068
1,same_02,DET-WRONG,natural,low_gamma,,,0.19065264538579332
1,same_02,DET-WRONG,natural,high_frequency_secondary,,,0.5704116184412431
1,same_02,DIFF-POP,paired,delta,0.07258284091949463,0.1567326784133911,
1,same_02,DIFF-POP,paired,theta,0.05189776420593262,0.10641948878765106,
1,same_02,DIFF-POP,paired,alpha,0.035482730716466904,0.08844761922955513,
1,same_02,DIFF-POP,paired,beta,0.03683893010020256,0.11961757019162178,
1,same_02,DIFF-POP,paired,low_gamma,0.08907490223646164,0.2996181324124336,
1,same_02,DIFF-POP,paired,high_frequency_secondary,0.16882117092609406,0.5021514743566513,
1,same_02,DIFF-POP,natural,delta,,,0.19856011114564123
1,same_02,DIFF-POP,natural,theta,,,0.13425704354849324
1,same_02,DIFF-POP,natural,alpha,,,0.07419473624383935
1,same_02,DIFF-POP,natural,beta,,,0.04442568980108863
1,same_02,DIFF-POP,natural,low_gamma,,,0.12652364585743056
1,same_02,DIFF-POP,natural,high_frequency_secondary,,,0.3272538006551536
1,same_02,DIFF-MATCH,paired,delta,0.0727614164352417,0.15655410289764404,
1,same_02,DIFF-MATCH,paired,theta,0.04732242599129677,0.11099482700228691,
1,same_02,DIFF-MATCH,paired,alpha,0.03525976464152336,0.08867058530449867,
1,same_02,DIFF-MATCH,paired,beta,0.04453328624367714,0.1119232140481472,
1,same_02,DIFF-MATCH,paired,low_gamma,0.12184035778045654,0.2668526768684387,
1,same_02,DIFF-MATCH,paired,high_frequency_secondary,0.2095036804676056,0.46146896481513977,
1,same_02,DIFF-MATCH,natural,delta,,,0.19059028780836926
1,same_02,DIFF-MATCH,natural,theta,,,0.1299967549788838
1,same_02,DIFF-MATCH,natural,alpha,,,0.07042746066403768
1,same_02,DIFF-MATCH,natural,beta,,,0.040340633394946486
1,same_02,DIFF-MATCH,natural,low_gamma,,,0.11580417933093265
1,same_02,DIFF-MATCH,natural,high_frequency_secondary,,,0.3199525104777351
1,same_02,DIFF-WRONG,paired,delta,0.12054085731506348,0.10877466201782227,
1,same_02,DIFF-WRONG,paired,theta,0.08620728552341461,0.07210996747016907,
1,same_02,DIFF-WRONG,paired,alpha,0.05697939172387123,0.0669509582221508,
1,same_02,DIFF-WRONG,paired,beta,0.04903169348835945,0.10742480680346489,
1,same_02,DIFF-WRONG,paired,low_gamma,0.08852453529834747,0.3001684993505478,
1,same_02,DIFF-WRONG,paired,high_frequency_secondary,0.14943045377731323,0.5215421915054321,
1,same_02,DIFF-WRONG,natural,delta,,,0.24375574900635955
1,same_02,DIFF-WRONG,natural,theta,,,0.16434175641847665
1,same_02,DIFF-WRONG,natural,alpha,,,0.09297588602850884
1,same_02,DIFF-WRONG,natural,beta,,,0.05443593269361342
1,same_02,DIFF-WRONG,natural,low_gamma,,,0.1848750443297989
1,same_02,DIFF-WRONG,natural,high_frequency_secondary,,,0.48815895454217084
1,same_02,DIFF-TEMPORAL-SHUFFLED,paired,delta,0.34060606360435486,-0.11129054427146912,
1,same_02,DIFF-TEMPORAL-SHUFFLED,paired,theta,0.23328018188476562,-0.07496292889118195,
1,same_02,DIFF-TEMPORAL-SHUFFLED,paired,alpha,0.1642342060804367,-0.04030385613441467,
1,same_02,DIFF-TEMPORAL-SHUFFLED,paired,beta,0.20193231105804443,-0.04547581076622009,
1,same_02,DIFF-TEMPORAL-SHUFFLED,paired,low_gamma,0.4856674373149872,-0.09697440266609192,
1,same_02,DIFF-TEMPORAL-SHUFFLED,paired,high_frequency_secondary,0.7749144434928894,-0.10394179821014404,
1,same_02,DIFF-TEMPORAL-SHUFFLED,natural,delta,,,0.10064976599170182
1,same_02,DIFF-TEMPORAL-SHUFFLED,natural,theta,,,0.07271833205003984
1,same_02,DIFF-TEMPORAL-SHUFFLED,natural,alpha,,,0.04969599820547829
1,same_02,DIFF-TEMPORAL-SHUFFLED,natural,beta,,,0.027734911422243488
1,same_02,DIFF-TEMPORAL-SHUFFLED,natural,low_gamma,,,0.11975010822573352
1,same_02,DIFF-TEMPORAL-SHUFFLED,natural,high_frequency_secondary,,,0.26968258971153986
1,same_03,RAW,paired,delta,0.2301064431667328,0.0,
1,same_03,RAW,paired,theta,0.13259297609329224,0.0,
