checkpoint,clean_RRMSE,method,source_record,training_seed
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.28120607137680054,DET-POP,sim37,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.30102068185806274,DET-MATCH,sim37,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3352053463459015,DIFF-MATCH-K1-TRUE-E2E,sim37,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3061428666114807,DIFF-MATCH-K8,sim37,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.519382894039154,DET-POP,sim38,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5178208947181702,DET-MATCH,sim38,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.46740779280662537,DIFF-MATCH-K1-TRUE-E2E,sim38,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4190528094768524,DIFF-MATCH-K8,sim38,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4371957778930664,DET-POP,sim39,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4835915267467499,DET-MATCH,sim39,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4517482817173004,DIFF-MATCH-K1-TRUE-E2E,sim39,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.40245702862739563,DIFF-MATCH-K8,sim39,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.31305035948753357,DET-POP,sim40,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.32391685247421265,DET-MATCH,sim40,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4910558760166168,DIFF-MATCH-K1-TRUE-E2E,sim40,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.40427008271217346,DIFF-MATCH-K8,sim40,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3743411898612976,DET-POP,sim41,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.6015707850456238,DET-MATCH,sim41,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.572948157787323,DIFF-MATCH-K1-TRUE-E2E,sim41,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5599656701087952,DIFF-MATCH-K8,sim41,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.23103024065494537,DET-POP,sim42,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3307883143424988,DET-MATCH,sim42,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3885163962841034,DIFF-MATCH-K1-TRUE-E2E,sim42,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3363507091999054,DIFF-MATCH-K8,sim42,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3209245502948761,DET-POP,sim43,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3250625729560852,DET-MATCH,sim43,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3846251666545868,DIFF-MATCH-K1-TRUE-E2E,sim43,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3704744875431061,DIFF-MATCH-K8,sim43,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3653092682361603,DET-POP,sim46,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.36751970648765564,DET-MATCH,sim46,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.29976123571395874,DIFF-MATCH-K1-TRUE-E2E,sim46,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.3042355179786682,DIFF-MATCH-K8,sim46,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.8710218071937561,DET-POP,sim47,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.9069734811782837,DET-MATCH,sim47,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.7534170150756836,DIFF-MATCH-K1-TRUE-E2E,sim47,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.7438911199569702,DIFF-MATCH-K8,sim47,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.7303826212882996,DET-POP,sim48,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.7650786638259888,DET-MATCH,sim48,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.8078917264938354,DIFF-MATCH-K1-TRUE-E2E,sim48,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.7448868155479431,DIFF-MATCH-K8,sim48,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4748748242855072,DET-POP,sim49,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5226691365242004,DET-MATCH,sim49,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.6153769493103027,DIFF-MATCH-K1-TRUE-E2E,sim49,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5378755927085876,DIFF-MATCH-K8,sim49,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5085228681564331,DET-POP,sim50,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5094116926193237,DET-MATCH,sim50,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5995684862136841,DIFF-MATCH-K1-TRUE-E2E,sim50,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5010296702384949,DIFF-MATCH-K8,sim50,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4899839758872986,DET-POP,sim51,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.48680490255355835,DET-MATCH,sim51,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.44567883014678955,DIFF-MATCH-K1-TRUE-E2E,sim51,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4029833674430847,DIFF-MATCH-K8,sim51,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5222804546356201,DET-POP,sim52,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5267815589904785,DET-MATCH,sim52,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4411214590072632,DIFF-MATCH-K1-TRUE-E2E,sim52,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.44677263498306274,DIFF-MATCH-K8,sim52,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,1.0551291704177856,DET-POP,sim53,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,1.325804352760315,DET-MATCH,sim53,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,1.3084681034088135,DIFF-MATCH-K1-TRUE-E2E,sim53,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,1.2914451360702515,DIFF-MATCH-K8,sim53,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4725707173347473,DET-POP,sim54,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.50723797082901,DET-MATCH,sim54,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.5337390303611755,DIFF-MATCH-K1-TRUE-E2E,sim54,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260811/models.pt,0.4886983633041382,DIFF-MATCH-K8,sim54,20260811
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.35027995705604553,DET-POP,sim37,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.3667295575141907,DET-MATCH,sim37,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.3820197284221649,DIFF-MATCH-K1-TRUE-E2E,sim37,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.3078545331954956,DIFF-MATCH-K8,sim37,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.49777477979660034,DET-POP,sim38,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.4962698817253113,DET-MATCH,sim38,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.5326198935508728,DIFF-MATCH-K1-TRUE-E2E,sim38,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.5073745846748352,DIFF-MATCH-K8,sim38,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.5535922646522522,DET-POP,sim39,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.5898100733757019,DET-MATCH,sim39,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.4211210608482361,DIFF-MATCH-K1-TRUE-E2E,sim39,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.40937721729278564,DIFF-MATCH-K8,sim39,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.40932101011276245,DET-POP,sim40,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.4099904000759125,DET-MATCH,sim40,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.368717759847641,DIFF-MATCH-K1-TRUE-E2E,sim40,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.36560261249542236,DIFF-MATCH-K8,sim40,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.4454139471054077,DET-POP,sim41,20260812
/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/klados/fold_00/seed_20260812/models.pt,0.5876305103302002,DET-MATCH,sim41,20260812
