fold,seconds,participant,role,session,task,effective_seconds,tau2,within,within_threshold,lambda,hard_gate,lambda_row_min,lambda_row_mean,lambda_row_max
3,10,sub-02,train,ses-02,ERP,10,0.006509798308416595,0.0044830880862201565,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-02,train,ses-02,SSVEP,10,0.0577569914311058,0.021104997300743077,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-02,train,ses-03,ERP,10,0.07531568157996149,0.03902661863424886,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-02,train,ses-03,SSVEP,10,35.13410020670766,369.0312330262013,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-02,train,ses-04,ERP,10,0.07912563018367297,0.6207301405553409,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-02,train,ses-04,SSVEP,10,0.32372270172122236,21.089633369571757,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-03,train,ses-02,ERP,10,0.006509798308416595,0.04004463544191814,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-03,train,ses-02,SSVEP,10,0.0577569914311058,0.03972878131143567,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-03,train,ses-03,ERP,10,0.07531568157996149,0.07696289331581996,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-03,train,ses-03,SSVEP,10,35.13410020670766,0.047444862631684216,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-03,train,ses-04,ERP,10,0.07912563018367297,0.12875369125735095,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-03,train,ses-04,SSVEP,10,0.32372270172122236,0.0566170305077575,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-05,train,ses-02,ERP,10,0.006509798308416595,0.006957915490781376,5.032921146243553,0.0,1,0.0,0.0,0.0
3,10,sub-05,train,ses-02,SSVEP,10,0.0577569914311058,0.008081025432821893,5.032921146243553,0.0,1,0.0,0.0,0.0
