method,snr_db,rrmse_t,rrmse_s,cc
Noisy,-5,3.1623,21.2639,0.2939
Noisy,-4,2.5119,13.4886,0.3625
Noisy,-3,1.9953,8.5867,0.4415
Noisy,-2,1.5849,5.4970,0.5284
Noisy,-1,1.2589,3.5502,0.6186
Noisy,0,1.0000,2.3237,0.7056
Noisy,1,0.7943,1.5505,0.7831
Noisy,2,0.6310,1.0611,0.8467
Noisy,3,0.5012,0.7463,0.8952
Noisy,4,0.3981,0.5391,0.9302
Noisy,5,0.3162,0.3990,0.9544
Noisy,overall,1.2867,5.3642,0.6691
SDEdit,-5,3.2319,19.8614,0.2549
SDEdit,-4,2.5837,12.6181,0.3171
SDEdit,-3,2.0663,7.9904,0.3878
SDEdit,-2,1.6606,5.1806,0.4696
SDEdit,-1,1.3402,3.3504,0.5530
SDEdit,0,1.0844,2.1917,0.6395
SDEdit,1,0.8882,1.4664,0.7143
SDEdit,2,0.7394,1.0231,0.7780
SDEdit,3,0.6265,0.7414,0.8271
SDEdit,4,0.5437,0.5607,0.8630
SDEdit,5,0.4849,0.4499,0.8872
SDEdit,overall,1.3863,5.0395,0.6083
CondDiff,-5,0.6104,0.6140,0.8154
CondDiff,-4,0.5412,0.5235,0.8467
CondDiff,-3,0.5012,0.4908,0.8662
CondDiff,-2,0.4711,0.4860,0.8804
CondDiff,-1,0.4631,0.4664,0.8838
CondDiff,0,0.4416,0.4449,0.8954
CondDiff,1,0.4296,0.4365,0.9009
CondDiff,2,0.3946,0.4183,0.9150
CondDiff,3,0.3967,0.4071,0.9128
CondDiff,4,0.3708,0.3806,0.9243
CondDiff,5,0.3642,0.3791,0.9271
CondDiff,overall,0.4531,0.4588,0.8880
FCNN,-5,0.5265,0.5090,0.8340
FCNN,-4,0.4992,0.4958,0.8554
FCNN,-3,0.4815,0.4866,0.8689
FCNN,-2,0.4701,0.4801,0.8771
FCNN,-1,0.4628,0.4753,0.8822
FCNN,0,0.4581,0.4717,0.8853
FCNN,1,0.4550,0.4692,0.8873
FCNN,2,0.4530,0.4674,0.8886
FCNN,3,0.4517,0.4661,0.8893
FCNN,4,0.4508,0.4653,0.8898
FCNN,5,0.4503,0.4648,0.8901
FCNN,overall,0.4690,0.4774,0.8771
SimpleCNN,-5,0.4424,0.4336,0.8880
SimpleCNN,-4,0.3952,0.3954,0.9081
SimpleCNN,-3,0.3598,0.3671,0.9219
SimpleCNN,-2,0.3334,0.3460,0.9313
SimpleCNN,-1,0.3141,0.3301,0.9376
SimpleCNN,0,0.3000,0.3185,0.9418
SimpleCNN,1,0.2898,0.3102,0.9447
SimpleCNN,2,0.2817,0.3037,0.9469
SimpleCNN,3,0.2753,0.2985,0.9487
SimpleCNN,4,0.2702,0.2942,0.9500
SimpleCNN,5,0.2665,0.2910,0.9510
SimpleCNN,overall,0.3208,0.3353,0.9336
ComplexCNN,-5,0.4114,0.3932,0.8966
ComplexCNN,-4,0.3779,0.3666,0.9094
ComplexCNN,-3,0.3534,0.3466,0.9178
ComplexCNN,-2,0.3355,0.3321,0.9233
ComplexCNN,-1,0.3225,0.3205,0.9267
ComplexCNN,0,0.3132,0.3121,0.9288
ComplexCNN,1,0.3064,0.3062,0.9303
ComplexCNN,2,0.3014,0.3019,0.9314
ComplexCNN,3,0.2978,0.2981,0.9321
ComplexCNN,4,0.2952,0.2952,0.9327
ComplexCNN,5,0.2933,0.2931,0.9330
ComplexCNN,overall,0.3280,0.3242,0.9238
RNN_LSTM,-5,0.6649,0.5905,0.7333
RNN_LSTM,-4,0.6213,0.5590,0.7694
RNN_LSTM,-3,0.5884,0.5355,0.7959
RNN_LSTM,-2,0.5641,0.5182,0.8152
RNN_LSTM,-1,0.5464,0.5059,0.8292
RNN_LSTM,0,0.5335,0.4975,0.8395
RNN_LSTM,1,0.5242,0.4917,0.8472
RNN_LSTM,2,0.5173,0.4876,0.8529
RNN_LSTM,3,0.5123,0.4847,0.8570
RNN_LSTM,4,0.5087,0.4825,0.8600
RNN_LSTM,5,0.5061,0.4809,0.8621
RNN_LSTM,overall,0.5534,0.5122,0.8238
NovelCNN,-5,0.4342,0.4575,0.8719
NovelCNN,-4,0.4144,0.4349,0.8811
NovelCNN,-3,0.4007,0.4191,0.8871
NovelCNN,-2,0.3912,0.4084,0.8912
NovelCNN,-1,0.3844,0.4012,0.8941
NovelCNN,0,0.3792,0.3964,0.8963
NovelCNN,1,0.3750,0.3925,0.8980
NovelCNN,2,0.3714,0.3891,0.8995
NovelCNN,3,0.3680,0.3860,0.9009
NovelCNN,4,0.3648,0.3832,0.9024
NovelCNN,5,0.3621,0.3811,0.9037
NovelCNN,overall,0.3860,0.4045,0.8933
