method,snr_db,rrmse_t,rrmse_s,cc
Noisy,-5,3.1623,6.0113,0.3034
Noisy,-4,2.5119,3.8852,0.3715
Noisy,-3,1.9953,2.5409,0.4494
Noisy,-2,1.5849,1.6895,0.5347
Noisy,-1,1.2589,1.1482,0.6229
Noisy,0,1.0000,0.8010,0.7080
Noisy,1,0.7943,0.5740,0.7838
Noisy,2,0.6310,0.4216,0.8464
Noisy,3,0.5012,0.3162,0.8946
Noisy,4,0.3981,0.2411,0.9295
Noisy,5,0.3162,0.1861,0.9538
Noisy,overall,1.2867,1.6195,0.6725
SDEdit,-5,2.1992,4.9197,0.3861
SDEdit,-4,1.7630,3.2404,0.4625
SDEdit,-3,1.4272,2.1887,0.5421
SDEdit,-2,1.1463,1.4820,0.6285
SDEdit,-1,0.9349,1.0643,0.7068
SDEdit,0,0.7644,0.7742,0.7752
SDEdit,1,0.6350,0.5895,0.8282
SDEdit,2,0.5415,0.4701,0.8659
SDEdit,3,0.4738,0.3933,0.8925
SDEdit,4,0.4272,0.3320,0.9100
SDEdit,5,0.3973,0.2951,0.9205
SDEdit,overall,0.9736,1.4317,0.7198
CondDiff,-5,1.0004,0.8747,0.5106
CondDiff,-4,0.8968,0.7465,0.5697
CondDiff,-3,0.8234,0.6720,0.6209
CondDiff,-2,0.7596,0.6339,0.6760
CondDiff,-1,0.6964,0.5836,0.7317
CondDiff,0,0.6237,0.5298,0.7878
CondDiff,1,0.5563,0.4681,0.8334
CondDiff,2,0.4907,0.4105,0.8722
CondDiff,3,0.4235,0.3496,0.9063
CondDiff,4,0.3680,0.2983,0.9298
CondDiff,5,0.3157,0.2547,0.9490
CondDiff,overall,0.6322,0.5292,0.7625
FCNN,-5,0.6971,0.6479,0.6991
FCNN,-4,0.6114,0.5998,0.7761
FCNN,-3,0.5463,0.5600,0.8305
FCNN,-2,0.4996,0.5252,0.8645
FCNN,-1,0.4683,0.4973,0.8841
FCNN,0,0.4483,0.4764,0.8954
FCNN,1,0.4360,0.4618,0.9018
FCNN,2,0.4284,0.4520,0.9055
FCNN,3,0.4238,0.4457,0.9078
FCNN,4,0.4209,0.4416,0.9091
FCNN,5,0.4191,0.4389,0.9099
FCNN,overall,0.4908,0.5042,0.8622
SimpleCNN,-5,1.0424,1.2240,0.5886
SimpleCNN,-4,0.8616,0.8750,0.6694
SimpleCNN,-3,0.7203,0.6714,0.7433
SimpleCNN,-2,0.6087,0.5493,0.8063
SimpleCNN,-1,0.5187,0.4682,0.8566
SimpleCNN,0,0.4451,0.4064,0.8944
SimpleCNN,1,0.3851,0.3551,0.9214
SimpleCNN,2,0.3370,0.3127,0.9400
SimpleCNN,3,0.2995,0.2791,0.9526
SimpleCNN,4,0.2713,0.2539,0.9609
SimpleCNN,5,0.2507,0.2361,0.9663
SimpleCNN,overall,0.5219,0.5119,0.8454
ComplexCNN,-5,1.2655,1.7136,0.5212
ComplexCNN,-4,1.0298,1.1738,0.6089
ComplexCNN,-3,0.8442,0.8505,0.6935
ComplexCNN,-2,0.6976,0.6543,0.7685
ComplexCNN,-1,0.5817,0.5293,0.8294
ComplexCNN,0,0.4902,0.4433,0.8753
ComplexCNN,1,0.4187,0.3810,0.9077
ComplexCNN,2,0.3635,0.3332,0.9296
ComplexCNN,3,0.3219,0.2979,0.9441
ComplexCNN,4,0.2910,0.2709,0.9535
ComplexCNN,5,0.2683,0.2503,0.9598
ComplexCNN,overall,0.5975,0.6271,0.8174
RNN_LSTM,-5,0.7578,0.7168,0.6590
RNN_LSTM,-4,0.6758,0.6431,0.7288
RNN_LSTM,-3,0.6099,0.5887,0.7839
RNN_LSTM,-2,0.5589,0.5459,0.8238
RNN_LSTM,-1,0.5212,0.5123,0.8510
RNN_LSTM,0,0.4944,0.4865,0.8689
RNN_LSTM,1,0.4759,0.4675,0.8807
RNN_LSTM,2,0.4635,0.4541,0.8881
RNN_LSTM,3,0.4555,0.4449,0.8929
RNN_LSTM,4,0.4502,0.4387,0.8959
RNN_LSTM,5,0.4468,0.4346,0.8977
RNN_LSTM,overall,0.5373,0.5212,0.8337
NovelCNN,-5,0.6284,0.6189,0.7356
NovelCNN,-4,0.5523,0.5647,0.7971
NovelCNN,-3,0.4871,0.5134,0.8448
NovelCNN,-2,0.4345,0.4653,0.8766
NovelCNN,-1,0.3950,0.4235,0.8957
NovelCNN,0,0.3672,0.3914,0.9069
NovelCNN,1,0.3487,0.3688,0.9136
NovelCNN,2,0.3367,0.3534,0.9176
NovelCNN,3,0.3290,0.3432,0.9201
NovelCNN,4,0.3242,0.3367,0.9217
NovelCNN,5,0.3211,0.3325,0.9227
NovelCNN,overall,0.4113,0.4284,0.8775
