subject,protocol,method,gamma,rrmse,correlation,delta_snr,correction_rms,output_input_rms
1,same_01,FULL-ORACLE,0.0,0.4012896418571472,0.9290637456388817,0.0,0.0,1.0
1,same_01,FULL-ORACLE,0.1,0.3611606955528259,0.9413011563430038,0.9151497483253479,0.1281995326280594,0.9862522482872009
1,same_01,FULL-ORACLE,0.2,0.32103171944618225,0.9526966731894533,1.9382002353668213,0.2563990652561188,0.9737170338630676
1,same_01,FULL-ORACLE,0.3,0.2809027135372162,0.9631269229738856,3.0980396270751953,0.38459858298301697,0.9624419212341309
1,same_01,FULL-ORACLE,0.4,0.2407737821340561,0.9724705540333148,4.436975002288818,0.5127981305122375,0.9524715542793274
1,same_01,FULL-ORACLE,0.5,0.2006448209285736,0.9806114350745571,6.020599365234375,0.6409976482391357,0.9438472986221313
1,same_01,FULL-ORACLE,0.6,0.16051584482192993,0.9874420524156506,7.958800792694092,0.7691971659660339,0.9366063475608826
1,same_01,FULL-ORACLE,0.7,0.12038689106702805,0.9928669420474256,10.457574844360352,0.8973966836929321,0.930780827999115
1,same_01,FULL-ORACLE,0.8,0.08025792241096497,0.9968060015961346,13.979400634765625,1.025596261024475,0.9263977408409119
1,same_01,FULL-ORACLE,0.9,0.04012896865606308,0.9991974041277741,19.999998092651367,1.153795838356018,0.9234774708747864
1,same_01,FULL-ORACLE,1.0,2.7823137571658663e-08,0.9999999999999997,122.12355041503906,1.2819952964782715,0.9220338463783264
1,same_01,QUERY-TRANSFER-ORACLE,0.0,0.4012896418571472,0.9290637456388817,0.0,0.0,1.0
1,same_01,QUERY-TRANSFER-ORACLE,0.1,0.3611606955528259,0.9413011563430038,0.9151497483253479,0.1281995326280594,0.9862522482872009
1,same_01,QUERY-TRANSFER-ORACLE,0.2,0.32103171944618225,0.9526966731894533,1.9382002353668213,0.2563990652561188,0.9737170338630676
1,same_01,QUERY-TRANSFER-ORACLE,0.3,0.2809027135372162,0.9631269229738856,3.0980396270751953,0.38459858298301697,0.9624419212341309
1,same_01,QUERY-TRANSFER-ORACLE,0.4,0.2407737821340561,0.9724705540333148,4.436975002288818,0.5127981305122375,0.9524715542793274
1,same_01,QUERY-TRANSFER-ORACLE,0.5,0.2006448209285736,0.9806114350745571,6.020599365234375,0.6409976482391357,0.9438472986221313
1,same_01,QUERY-TRANSFER-ORACLE,0.6,0.16051584482192993,0.9874420524156506,7.958800792694092,0.7691971659660339,0.9366063475608826
1,same_01,QUERY-TRANSFER-ORACLE,0.7,0.12038689106702805,0.9928669420474256,10.457574844360352,0.8973966836929321,0.930780827999115
1,same_01,QUERY-TRANSFER-ORACLE,0.8,0.08025792241096497,0.9968060015961346,13.979400634765625,1.025596261024475,0.9263977408409119
1,same_01,QUERY-TRANSFER-ORACLE,0.9,0.04012896865606308,0.9991974041277741,19.999998092651367,1.153795838356018,0.9234774708747864
1,same_01,QUERY-TRANSFER-ORACLE,1.0,2.7823137571658663e-08,0.9999999999999997,122.12355041503906,1.2819952964782715,0.9220338463783264
1,same_01,SUPPORT-LINEAR-MATCH,0.0,0.4012896418571472,0.9290637456388817,0.0,0.0,1.0
1,same_01,SUPPORT-LINEAR-MATCH,0.1,0.36294907331466675,0.9407707693399789,0.8722445964813232,0.1225237101316452,0.9868242740631104
1,same_01,SUPPORT-LINEAR-MATCH,0.2,0.3246113359928131,0.9517141875262652,1.8418854475021362,0.2450474202632904,0.9747539162635803
1,same_01,SUPPORT-LINEAR-MATCH,0.3,0.2862774431705475,0.9617862273068067,2.933415412902832,0.3675711154937744,0.9638304114341736
1,same_01,SUPPORT-LINEAR-MATCH,0.4,0.24794930219650269,0.9708805576954461,4.181900501251221,0.4900948405265808,0.9540932774543762
1,same_01,SUPPORT-LINEAR-MATCH,0.5,0.20962998270988464,0.9788948179817502,5.6400909423828125,0.6126185655593872,0.9455791711807251
1,same_01,SUPPORT-LINEAR-MATCH,0.6,0.1713254302740097,0.9857333114747675,7.392721652984619,0.7351422309875488,0.9383212924003601
1,same_01,SUPPORT-LINEAR-MATCH,0.7,0.1330484300851822,0.9913097495776783,9.588963508605957,0.8576659560203552,0.9323490858078003
1,same_01,SUPPORT-LINEAR-MATCH,0.8,0.09483227133750916,0.9955499461823553,12.530035972595215,0.9801896810531616,0.9276872277259827
1,same_01,SUPPORT-LINEAR-MATCH,0.9,0.056800007820129395,0.9983942405344027,16.98219108581543,1.1027133464813232,0.9243556261062622
1,same_01,SUPPORT-LINEAR-MATCH,1.0,0.020027948543429375,0.9997995885080737,26.03643035888672,1.2252371311187744,0.9223687648773193
1,same_01,LINEAR-POP,0.0,0.4012896418571472,0.9290637456388817,0.0,0.0,1.0
1,same_01,LINEAR-POP,0.1,0.3569737374782562,0.9425270728142813,1.0164333581924438,0.1419210284948349,0.9848518371582031
1,same_01,LINEAR-POP,0.2,0.31268852949142456,0.9549414235909846,2.166919708251953,0.2838420569896698,0.9711961150169373
1,same_01,LINEAR-POP,0.3,0.26844921708106995,0.9661398366289018,3.491915464401245,0.4257631003856659,0.9590965509414673
1,same_01,LINEAR-POP,0.4,0.22428297996520996,0.9759594210244288,5.053232192993164,0.5676841139793396,0.948612630367279
1,same_01,LINEAR-POP,0.5,0.18024349212646484,0.9842467744572705,6.951966762542725,0.7096051573753357,0.9397984743118286
1,same_01,LINEAR-POP,0.6,0.1364535391330719,0.9908636760933949,9.369462013244629,0.8515262007713318,0.9327014684677124
1,same_01,LINEAR-POP,0.7,0.09326532483100891,0.9956927020509857,12.674755096435547,0.9934471845626831,0.9273609519004822
1,same_01,LINEAR-POP,0.8,0.05219446122646332,0.9986423894279536,17.716670989990234,1.1353682279586792,0.9238073825836182
1,same_01,LINEAR-POP,0.9,0.026402641087770462,0.999651470296518,23.636211395263672,1.2772891521453857,0.9220615029335022
1,same_01,LINEAR-POP,1.0,0.051155947148799896,0.9986918787735244,17.891237258911133,1.4192103147506714,0.9221335649490356
1,same_01,LINEAR-WRONG,0.0,0.4012896418571472,0.9290637456388817,0.0,0.0,1.0
1,same_01,LINEAR-WRONG,0.1,0.3543097674846649,0.9432912504693978,1.081496238708496,0.15131418406963348,0.9838812947273254
1,same_01,LINEAR-WRONG,0.2,0.3074479103088379,0.9563121813047488,2.313727855682373,0.30262836813926697,0.9694632887840271
1,same_01,LINEAR-WRONG,0.3,0.2607676684856415,0.9679248014954978,3.7440836429595947,0.45394253730773926,0.9568229913711548
1,same_01,LINEAR-WRONG,0.4,0.2143876999616623,0.977933556618218,5.445160865783691,0.6052567362785339,0.9460315704345703
1,same_01,LINEAR-WRONG,0.5,0.1685561090707779,0.9861566139957353,7.534269332885742,0.7565708160400391,0.9371529221534729
1,same_01,LINEAR-WRONG,0.6,0.12388291209936142,0.9924337113558794,10.208930969238281,0.9078850746154785,0.9302418828010559
1,same_01,LINEAR-WRONG,0.7,0.08227729797363281,0.9966337410034937,13.763559341430664,1.0591992139816284,0.9253423810005188
1,same_01,LINEAR-WRONG,0.8,0.05175789073109627,0.9986614551775176,17.789627075195312,1.2105134725570679,0.9224867224693298
1,same_01,LINEAR-WRONG,0.9,0.055452316999435425,0.9984626046859535,17.190763473510742,1.3618274927139282,0.9216935634613037
1,same_01,LINEAR-WRONG,1.0,0.08920646458864212,0.9960270491215737,13.06123161315918,1.5131416320800781,0.9229685664176941
1,same_01,RANK-1-PROJECTION-ORACLE,0.0,0.4012896418571472,0.9290637456388817,0.0,0.0,1.0
1,same_01,RANK-1-PROJECTION-ORACLE,0.1,0.3619142770767212,0.9410805652958975,0.8970446586608887,0.12705281376838684,0.9865137934684753
1,same_01,RANK-1-PROJECTION-ORACLE,0.2,0.3226357400417328,0.9522617688329907,1.8949092626571655,0.2541056275367737,0.9742218255996704
1,same_01,RANK-1-PROJECTION-ORACLE,0.3,0.2834942638874054,0.962488091773972,3.01827335357666,0.3811584413051605,0.9631698131561279
1,same_01,RANK-1-PROJECTION-ORACLE,0.4,0.24455571174621582,0.9716424876844396,4.301602840423584,0.5082112550735474,0.9534009695053101
1,same_01,RANK-1-PROJECTION-ORACLE,0.5,0.20593516528606415,0.9796131810144987,5.794548034667969,0.6352640390396118,0.944955050945282
1,same_01,RANK-1-PROJECTION-ORACLE,0.6,0.16785232722759247,0.9862968925011524,7.570611000061035,0.762316882610321,0.9378677010536194
1,same_01,RANK-1-PROJECTION-ORACLE,0.7,0.1307777613401413,0.9916020845314018,9.738480567932129,0.8893696665763855,0.932170033454895
1,same_01,RANK-1-PROJECTION-ORACLE,0.8,0.09588821977376938,0.9954520824825258,12.433854103088379,1.0164225101470947,0.9278875589370728
1,same_01,RANK-1-PROJECTION-ORACLE,0.9,0.06670523434877396,0.9977878106388334,15.585960388183594,1.1434751749038696,0.9250400066375732
1,same_01,RANK-1-PROJECTION-ORACLE,1.0,0.053553082048892975,0.9985700421571464,17.49346923828125,1.2705280780792236,0.9236405491828918
1,same_01,RANK-2-PROJECTION-ORACLE,0.0,0.4012896418571472,0.9290637456388817,0.0,0.0,1.0
1,same_01,RANK-2-PROJECTION-ORACLE,0.1,0.36160972714424133,0.9411666731219747,0.9043564796447754,0.1275177150964737,0.9863845705986023
1,same_01,RANK-2-PROJECTION-ORACLE,0.2,0.3219881057739258,0.9524324560552707,1.9123620986938477,0.2550354301929474,0.9739702343940735
1,same_01,RANK-2-PROJECTION-ORACLE,0.3,0.28244921565055847,0.9627401019542446,3.0503501892089844,0.3825531601905823,0.9628034234046936
1,same_01,RANK-2-PROJECTION-ORACLE,0.4,0.24303357303142548,0.9719707174674653,4.355833530426025,0.5100708603858948,0.9529280066490173
1,same_01,RANK-2-PROJECTION-ORACLE,0.5,0.20381256937980652,0.9800106190619122,5.884539604187012,0.6375885605812073,0.9443845152854919
1,same_01,RANK-2-PROJECTION-ORACLE,0.6,0.16492514312267303,0.9867546296729318,7.723421096801758,0.7651063203811646,0.9372094869613647
1,same_01,RANK-2-PROJECTION-ORACLE,0.7,0.1266789436340332,0.9921094032578813,10.015069961547852,0.892624020576477,0.9314343929290771
1,same_01,RANK-2-PROJECTION-ORACLE,0.8,0.08989604562520981,0.9959966305515009,12.99434757232666,1.0201417207717896,0.9270853996276855
1,same_01,RANK-2-PROJECTION-ORACLE,0.9,0.057459086179733276,0.9983558555559026,16.88198471069336,1.147659420967102,0.9241827726364136
1,same_01,RANK-2-PROJECTION-ORACLE,1.0,0.041331518441438675,0.9991467984630154,19.7435302734375,1.2751771211624146,0.9227400422096252
1,same_01,BOUNDED-CLIP-ORACLE,0.0,0.4012896418571472,0.9290637456388817,0.0,0.0,1.0
1,same_01,BOUNDED-CLIP-ORACLE,0.1,0.36160972714424133,0.9411666731219747,0.9043564796447754,0.1275177150964737,0.9863845705986023
