subject,protocol,support_session,query_session,wrong_subject,population_training_subjects,support_gamma,query_optimal_gamma_ceiling,paired_identity_rrmse,paired_windows,v10_windows,artifact_clean_norm_ratio,correction_y_norm_ratio,rank2_energy_fraction,latent_saturation_fraction,support_seconds,eeg_median,eeg_mad,eog_median,eog_mad
1,same_01,01T,01T,2,3;4;5;6;7;8;9,1.0,1.0,0.0,40,40,0.40128958225250244,0.3536214232444763,0.9893916249275208,0.0,215.556,-0.13427938520908356,3.0243380069732666,-1.1596856117248535,16.235597610473633
1,same_02,02T,02T,2,3;4;5;6;7;8;9,1.0,1.0,0.0,40,40,0.3287827968597412,0.29247361421585083,0.8764808177947998,0.0,15.592,-0.04272526130080223,2.777142286300659,1.0986496210098267,9.704737663269043
1,same_03,03T,03T,2,3;4;5;6;7;8;9,1.0,0.8256823698359668,0.0,53,53,0.4087892174720764,0.4401828348636627,0.9927201867103577,0.0,212.396,0.04884004965424538,2.7838828563690186,1.9536018371582031,16.605615615844727
1,cross_02,01T,02T,2,3;4;5;6;7;8;9,1.0,1.0,0.0,40,40,0.3287827968597412,0.2799401879310608,0.9794110059738159,0.0,215.556,-0.13427938520908356,3.0243380069732666,-1.1596856117248535,16.235597610473633
1,cross_03,01T,03T,2,3;4;5;6;7;8;9,1.0,0.5087449610195051,0.0,53,53,0.4087892174720764,0.6502861976623535,0.9823407530784607,0.0,215.556,-0.13427938520908356,3.0243380069732666,-1.1596856117248535,16.235597610473633
2,same_01,01T,01T,3,1;4;5;6;7;8;9,1.0,0.9539997533469938,0.0,40,40,0.446625679731369,0.4175279438495636,0.9999154210090637,0.0,224.996,-0.08545052260160446,3.048752784729004,0.09155412763357162,7.751583099365234
2,same_02,02T,02T,3,1;4;5;6;7;8;9,1.0,1.0,0.0,40,40,0.38611993193626404,0.3595510721206665,0.9978320598602295,0.0,215.556,-0.18005646765232086,2.8839550018310547,-0.27466240525245667,9.308004379272461
2,same_03,03T,03T,3,1;4;5;6;7;8;9,1.0,1.0,0.0,53,53,0.5350105166435242,0.44503113627433777,0.9995343089103699,0.00029481132075471697,212.396,-0.02442002482712269,3.0525031089782715,2.9304027557373047,9.279608726501465
2,cross_02,01T,02T,3,1;4;5;6;7;8;9,1.0,1.0,0.0,40,40,0.38611993193626404,0.34599483013153076,0.9982680082321167,0.000390625,224.996,-0.08545052260160446,3.048752784729004,0.09155412763357162,7.751583099365234
2,cross_03,01T,03T,3,1;4;5;6;7;8;9,1.0,0.9076614827568116,0.0,53,53,0.5350105166435242,0.48883306980133057,0.9981723427772522,0.0004422169811320755,224.996,-0.08545052260160446,3.048752784729004,0.09155412763357162,7.751583099365234
3,same_01,01T,01T,4,1;2;5;6;7;8;9,1.0,0.9760705155371523,0.0,40,40,0.3934551179409027,0.36756813526153564,0.9901366829872131,0.000146484375,206.396,-0.14953841269016266,3.253223419189453,0.12207218259572983,11.017013549804688
3,same_02,02T,02T,4,1;2;5;6;7;8;9,1.0,1.0,0.0,40,40,0.43210282921791077,0.3647322952747345,0.9897357225418091,4.8828125e-05,215.556,-0.15564203262329102,3.115892171859741,-0.21362631022930145,10.986496925354004
3,same_03,03T,03T,4,1;2;5;6;7;8;9,1.0,1.0,0.0,53,53,0.31134605407714844,0.29396557807922363,0.9998831748962402,0.0003500884433962264,212.396,0.07326007634401321,3.980463743209839,2.9304027557373047,16.11721420288086
3,cross_02,01T,02T,4,1;2;5;6;7;8;9,1.0,1.0,0.0,40,40,0.43210282921791077,0.3553716242313385,0.9904088973999023,0.0005859375,206.396,-0.14953841269016266,3.253223419189453,0.12207218259572983,11.017013549804688
3,cross_03,01T,03T,4,1;2;5;6;7;8;9,1.0,0.42229168291229974,0.0,53,53,0.31134605407714844,0.3881630599498749,0.9908870458602905,0.00040536556603773587,206.396,-0.14953841269016266,3.253223419189453,0.12207218259572983,11.017013549804688
4,same_01,01T,01T,5,1;2;3;6;7;8;9,1.0,0.9860179315614406,0.0,40,40,0.4113680422306061,0.3798350989818573,0.9906662106513977,0.0,243.268,-0.24109254777431488,2.78629732131958,-0.8545052409172058,12.87861442565918
4,same_02,02T,02T,5,1;2;3;6;7;8;9,1.0,0.601252858946636,0.0,46,46,0.46032413840293884,0.6710339188575745,0.9826690554618835,0.00016983695652173913,215.556,-0.192263662815094,2.8198671340942383,-0.12207218259572983,12.87861442565918
4,same_03,03T,03T,5,1;2;3;6;7;8;9,1.0,1.0,0.0,53,53,0.2709757685661316,0.25261539220809937,0.9786014556884766,0.0,212.396,-0.04884004965424538,3.3211233615875244,1.9536018371582031,16.60561752319336
4,cross_02,01T,02T,5,1;2;3;6;7;8;9,1.0,0.6031114744678945,0.0,46,46,0.46032413840293884,0.6702330112457275,0.9917024374008179,0.00033967391304347825,243.268,-0.24109254777431488,2.78629732131958,-0.8545052409172058,12.87861442565918
4,cross_03,01T,03T,5,1;2;3;6;7;8;9,1.0,0.6209994728090994,0.0,53,53,0.2709757685661316,0.38985857367515564,0.9646288156509399,0.0,243.268,-0.24109254777431488,2.78629732131958,-0.8545052409172058,12.87861442565918
5,same_01,01T,01T,6,1;2;3;4;7;8;9,1.0,0.8056272998420045,0.0,40,40,1.269697904586792,0.9716793298721313,0.9995794892311096,0.00458984375,215.556,-0.08239872008562088,2.807659864425659,0.09155412763357162,8.88075065612793
5,same_02,02T,02T,6,1;2;3;4;7;8;9,1.0,1.0,0.0,46,46,0.38967224955558777,0.35660362243652344,0.9999187588691711,0.0,215.556,-0.11291676014661789,2.96635365486145,-0.12207218259572983,8.087282180786133
5,same_03,03T,03T,6,1;2;3;4;7;8;9,1.0,1.0,0.0,53,53,0.5438152551651001,0.3655241131782532,0.9142676591873169,0.0005159198113207547,212.396,0.09768009930849075,3.0036630630493164,2.9304027557373047,8.302807807922363
5,cross_02,01T,02T,6,1;2;3;4;7;8;9,1.0,0.9947962209078877,0.0,46,46,0.38967224955558777,0.35979142785072327,0.999853789806366,0.0,215.556,-0.08239872008562088,2.807659864425659,0.09155412763357162,8.88075065612793
5,cross_03,01T,03T,6,1;2;3;4;7;8;9,1.0,0.9116727978311939,0.0,53,53,0.5438152551651001,0.4767797887325287,0.9299012422561646,0.0004606426886792453,215.556,-0.08239872008562088,2.807659864425659,0.09155412763357162,8.88075065612793
6,same_01,01T,01T,7,1;2;3;4;5;8;9,1.0,1.0,0.0,40,40,0.3441452085971832,0.30670365691185,0.9999457597732544,0.0,215.556,-0.1770046502351761,4.541085243225098,-0.3967345654964447,11.352712631225586
6,same_02,02T,02T,7,1;2;3;4;5;8;9,1.0,0.998267422419094,0.0,40,40,0.6138592958450317,0.5102986693382263,0.9998295903205872,0.0008544921875,215.556,-0.1770046502351761,5.23994779586792,-0.21362631022930145,9.552146911621094
6,same_03,03T,03T,7,1;2;3;4;5;8;9,1.0,1.0,0.0,53,53,0.3128248453140259,0.2746534049510956,0.9981087446212769,0.0,212.396,0.02442002482712269,5.5433454513549805,2.9304027557373047,11.233210563659668
6,cross_02,01T,02T,7,1;2;3;4;5;8;9,1.0,0.9968487339801692,0.0,40,40,0.6138592958450317,0.5108450651168823,0.9990357160568237,0.000927734375,215.556,-0.1770046502351761,4.541085243225098,-0.3967345654964447,11.352712631225586
6,cross_03,01T,03T,7,1;2;3;4;5;8;9,1.0,0.9798539378048441,0.0,53,53,0.3128248453140259,0.28804272413253784,0.9991527795791626,0.0,215.556,-0.1770046502351761,4.541085243225098,-0.3967345654964447,11.352712631225586
7,same_01,01T,01T,8,1;2;3;4;5;6;9,1.0,1.0,0.0,40,40,0.5428810715675354,0.4498502314090729,0.9953722953796387,0.0,215.556,-0.10376135259866714,2.3773558139801025,-0.030518045648932457,12.390326499938965
7,same_02,02T,02T,8,1;2;3;4;5;6;9,1.0,0.9227440101013132,0.0,40,40,0.44227665662765503,0.42956504225730896,0.9948588609695435,0.0,243.268,0.009155413135886192,2.0538644790649414,0.15259021520614624,9.613183975219727
7,same_03,03T,03T,8,1;2;3;4;5;6;9,1.0,1.0,0.0,53,53,0.34450799226760864,0.3195435106754303,0.990413248538971,0.0,212.396,0.1221001148223877,2.222222089767456,3.4188032150268555,14.652013778686523
7,cross_02,01T,02T,8,1;2;3;4;5;6;9,1.0,0.8399479677842415,0.0,40,40,0.44227665662765503,0.4717414081096649,0.9945892691612244,0.0,215.556,-0.10376135259866714,2.3773558139801025,-0.030518045648932457,12.390326499938965
7,cross_03,01T,03T,8,1;2;3;4;5;6;9,1.0,0.60290836543639,0.0,53,53,0.34450799226760864,0.5029053688049316,0.989958643913269,0.0,215.556,-0.10376135259866714,2.3773558139801025,-0.030518045648932457,12.390326499938965
8,same_01,01T,01T,9,1;2;3;4;5;6;7,1.0,1.0,0.0,53,53,0.6727694869041443,0.5011410117149353,0.9793175458908081,1.842570754716981e-05,215.556,-0.21057449281215668,3.698786973953247,-1.007095456123352,14.129854202270508
8,same_02,02T,02T,9,1;2;3;4;5;6;7,1.0,0.9167576445349767,0.0,40,40,1.432167887687683,0.9045942425727844,0.9958010911941528,0.0043212890625,215.556,-0.21362631022930145,3.366140365600586,-0.27466240525245667,11.688410758972168
8,same_03,03T,03T,9,1;2;3;4;5;6;7,1.0,1.0,0.0,53,53,0.22302916646003723,0.21438927948474884,0.9831882119178772,0.0,212.396,-0.02442002482712269,3.614163637161255,2.442002296447754,14.163613319396973
8,cross_02,01T,02T,9,1;2;3;4;5;6;7,1.0,0.9498182073141885,0.0,40,40,1.432167887687683,0.8744688630104065,0.9941267371177673,0.00419921875,215.556,-0.21057449281215668,3.698786973953247,-1.007095456123352,14.129854202270508
8,cross_03,01T,03T,9,1;2;3;4;5;6;7,1.0,0.6579229209762599,0.0,53,53,0.22302916646003723,0.319627583026886,0.977925181388855,0.0,215.556,-0.21057449281215668,3.698786973953247,-1.007095456123352,14.129854202270508
9,same_01,01T,01T,1,2;3;4;5;6;7;8,1.0,1.0,0.0,40,40,0.4246349632740021,0.3798791766166687,0.9984972476959229,0.0,215.556,-0.03662165254354477,2.2674906253814697,-0.18310825526714325,9.643702507019043
9,same_02,02T,02T,1,2;3;4;5;6;7;8,1.0,0.8653473816271552,0.0,40,40,0.39713260531425476,0.42056167125701904,0.9959738254547119,0.0,215.556,-0.08239872008562088,2.3926143646240234,0.061036091297864914,8.972305297851562
9,same_03,03T,03T,1,2;3;4;5;6;7;8,1.0,0.9540014699702731,0.0,53,53,0.4501093924045563,0.4286646246910095,0.990924060344696,0.0,212.396,0.14652015268802643,2.0512819290161133,2.9304027557373047,15.140414237976074
9,cross_02,01T,02T,1,2;3;4;5;6;7;8,1.0,0.8889505391780268,0.0,40,40,0.39713260531425476,0.40594232082366943,0.9947033524513245,4.8828125e-05,215.556,-0.03662165254354477,2.2674906253814697,-0.18310825526714325,9.643702507019043
9,cross_03,01T,03T,1,2;3;4;5;6;7;8,1.0,0.5871430755077678,0.0,53,53,0.4501093924045563,0.6520171761512756,0.9802535772323608,9.212853773584906e-05,215.556,-0.03662165254354477,2.2674906253814697,-0.18310825526714325,9.643702507019043
