family,U_P,U_W,participants
head_motion,-0.0012960392173447734,0.0012882245796103674,17
chewing,-0.00323725868557515,-0.0021449834507632918,17
tongue,-0.0006539360960809785,-0.004703855444159727,17
swallowing,-0.00279594436999451,-0.0011808410991292647,17
facial_emg,-0.0027925093064348205,-0.0017591225324100493,17
