participant,match_artifact_detector_reduction,pop_artifact_detector_reduction,artifact_reduction_margin,match_spectral_error,pop_spectral_error,spectral_error_margin,match_topography_error,pop_topography_error,topography_error_margin,match_covariance_error,pop_covariance_error,covariance_error_margin,severe_reversal
1,0.3328352854207187,0.333606376827624,-0.0007710914069052888,0.40803648880217225,0.408637461727485,-0.0006009729253127483,0.10032509092474358,0.10039942463859916,-7.433371385558163e-05,0.3556851018660429,0.3557839065349863,-9.880466894340856e-05,0
2,0.000341400687641608,0.00034294905940566306,-1.5483717640550664e-06,0.4086084974412289,0.40916008443261187,-0.0005515869913829685,0.10397102554949622,0.10406013309903857,-8.910754954234712e-05,0.3453103497754143,0.3455082267216474,-0.0001978769462330776,0
5,0.25387278203957603,0.2537250288739235,0.00014775316565251995,0.359941673502326,0.3599691102653742,-2.7436763048227508e-05,0.08262987952213734,0.08269729147665203,-6.741195451469284e-05,0.2761588451100131,0.2763374927402139,-0.0001786476302008122,0
6,0.147724100905266,0.14781918459449794,-9.50836892319451e-05,0.35059031364507975,0.3507122530043125,-0.00012193935923277,0.08146131969988347,0.08124532656220254,0.00021599313768093376,0.26656882935286597,0.26544366686781695,0.0011251624850490138,0
8,0.22449545280997807,0.2240131177978379,0.00048233501214017815,0.35583000754471866,0.35590037132613356,-7.036378141489497e-05,0.08950926145538689,0.0898142762714997,-0.00030501481611280856,0.28737212138035156,0.28797090869571884,-0.0005987873153672774,0
13,0.16717729687829425,0.16693351217075877,0.00024378470753547155,0.3613691329228459,0.3615647929138504,-0.00019565999100451537,0.10027839046961162,0.100255914934678,2.24755349336192e-05,0.3606596136120842,0.35986980636341276,0.000789807248671448,0
14,0.0689443315248048,0.06704931763599624,0.0018950138888085555,0.36861454098485413,0.3685304904263466,8.405055850752019e-05,0.08745598802808671,0.08722021119203419,0.00023577683605252586,0.24768140589301563,0.24399496451442654,0.0036864413785890893,0
16,0.033232384523708455,0.033095004449867044,0.0001373800738414116,0.40128208477981386,0.4014307398918189,-0.0001486551120050139,0.09813774562854735,0.09755801018844876,0.0005797354400985943,0.33398016893611193,0.33215772434814594,0.0018224445879659878,0
18,0.2047867357448784,0.204743895528511,4.284021636741242e-05,0.39795131563209,0.39796485341154036,-1.353777945034551e-05,0.09974223672877998,0.09955242794472724,0.00018980878405273904,0.34480168352488566,0.34436842628741715,0.0004332572374685095,0
21,0.07784377806411427,0.07652362608926942,0.0013201519748448493,0.353744769655168,0.35333033088594673,0.0004144387692212592,0.0904573940858245,0.08941612902563065,0.0010412650601938495,0.29511293630597896,0.29017379099046425,0.004939145315514704,0
22,0.13419458819369084,0.13290743458288454,0.0012871536108063075,0.4208060373293443,0.42082580004353076,-1.9762714186466468e-05,0.10776797230112911,0.10716750686487002,0.0006004654362590928,0.32421409521353606,0.3220098985715785,0.0022041966419575343,0
23,0.23964301843717653,0.24074774789755357,-0.0011047294603770408,0.3392649460490793,0.3393252123659477,-6.02663168683959e-05,0.10296154119540005,0.10257114506326617,0.0003903961321338745,0.3324998961593011,0.3314017514464308,0.001098144712870286,0
26,0.11933483472043431,0.11945710991213013,-0.00012227519169581702,0.39130578443408015,0.39156200312078,-0.0002562186866998384,0.09285226835869254,0.09232159793376923,0.0005306704249233019,0.2821765396477688,0.2808704308625981,0.0013061087851706787,0
27,0.113608579632785,0.11415427181660025,-0.0005456921838152412,0.36747109642717984,0.367664992264472,-0.00019389583729217952,0.10399070399813352,0.104145708741853,-0.00015500474371947515,0.36625167682614934,0.3663312134225587,-7.953659640935751e-05,0
29,0.13579724025776824,0.13570873247396,8.850778380822821e-05,0.34845222502946854,0.34806992920115587,0.00038229582831267317,0.08773179322015494,0.08472941097337752,0.003002382246777416,0.26216342924607244,0.25582371153889893,0.006339717707173509,0
30,0.06017194768593139,0.060258813398977984,-8.686571304659246e-05,0.38034027942456305,0.3804121505189687,-7.187109440565109e-05,0.11488046524114907,0.11503047633334065,-0.00015001109219157926,0.3344737877130156,0.33406408941996923,0.00040969829304637884,0
