successful_update,pair_indices,pair_keys
1,106;686;732;760;101;62;90;78,study05/study05_p10:target_t21_1536:source_t5_512;study05/study05_p47:target_t21_512:source_t4_1536;study05/study05_p47:target_t32_1536:source_t1_512;study05/study05_p48:target_t20_0:source_t2_512;study05/study05_p10:target_t20_1024:source_t4_0;study05/study05_p06:target_t32_1536:source_t16_512;study05/study05_p10:target_t17_1536:source_t1_512;study05/study05_p06:target_t36_1536:source_t3_512
2,542;119;195;698;0;544;385;806,study05/study05_p45:target_t24_1024:source_t7_1024;study05/study05_p10:target_t25_0:source_t8_1024;study05/study05_p24:target_t26_1536:source_t12_512;study05/study05_p47:target_t24_512:source_t8_1024;study05/study05_p06:target_t17_0:source_t0_1024;study05/study05_p45:target_t25_0:source_t8_512;study05/study05_p43:target_t24_512:source_t5_1536;study05/study05_p48:target_t33_0:source_t0_1536
3,696;262;626;281;407;578;352;26,study05/study05_p47:target_t23_1536:source_t7_1024;study05/study05_p40:target_t29_0:source_t11_512;study05/study05_p46:target_t27_1536:source_t6_1024;study05/study05_p40:target_t34_0:source_t17_0;study05/study05_p43:target_t30_1024:source_t11_512;study05/study05_p45:target_t34_1024:source_t1_0;study05/study05_p41:target_t30_1536:source_t1_512;study05/study05_p06:target_t23_1024:source_t7_0
4,70;124;324;593;341;58;716;231,study05/study05_p06:target_t34_1536:source_t1_512;study05/study05_p10:target_t26_512:source_t10_0;study05/study05_p41:target_t23_1536:source_t8_512;study05/study05_p46:target_t19_1024:source_t16_512;study05/study05_p41:target_t28_0:source_t13_512;study05/study05_p06:target_t31_1536:source_t15_512;study05/study05_p47:target_t28_1536:source_t13_1024;study05/study05_p40:target_t21_0:source_t3_512
5,153;581;321;46;303;644;131;719,study05/study05_p10:target_t33_1024:source_t1_0;study05/study05_p45:target_t35_512:source_t1_1536;study05/study05_p41:target_t23_0:source_t7_1024;study05/study05_p06:target_t28_1536:source_t12_0;study05/study05_p41:target_t18_1024:source_t3_0;study05/study05_p46:target_t32_1536:source_t11_0;study05/study05_p10:target_t28_0:source_t12_512;study05/study05_p47:target_t29_1024:source_t14_512
6,465;305;598;219;666;674;94;271,study05/study05_p44:target_t22_512:source_t2_1024;study05/study05_p41:target_t19_0:source_t3_1024;study05/study05_p46:target_t20_1536:source_t17_1024;study05/study05_p24:target_t32_1536:source_t2_1024;study05/study05_p46:target_t38_512:source_t17_512;study05/study05_p47:target_t18_512:source_t1_1536;study05/study05_p10:target_t18_1536:source_t2_512;study05/study05_p40:target_t31_1024:source_t14_1024
7,658;442;393;655;172;632;420;226,study05/study05_p46:target_t36_512:source_t15_512;study05/study05_p44:target_t16_1024:source_t9_1024;study05/study05_p43:target_t26_512:source_t7_1536;study05/study05_p46:target_t35_1024:source_t14_1024;study05/study05_p10:target_t38_512:source_t5_1536;study05/study05_p46:target_t29_1536:source_t8_0;study05/study05_p43:target_t34_512:source_t1_0;study05/study05_p40:target_t19_1024:source_t2_0
8,285;480;475;708;347;137;489;729,study05/study05_p40:target_t35_0:source_t0_0;study05/study05_p44:target_t26_0:source_t6_512;study05/study05_p44:target_t24_1536:source_t5_0;study05/study05_p47:target_t26_1536:source_t11_512;study05/study05_p41:target_t29_1024:source_t0_0;study05/study05_p10:target_t29_1024:source_t13_1536;study05/study05_p44:target_t28_512:source_t8_1024;study05/study05_p47:target_t32_0:source_t0_1024
9,343;452;503;515;612;151;243;517,study05/study05_p41:target_t28_1024:source_t14_1024;study05/study05_p44:target_t19_0:source_t13_1536;study05/study05_p44:target_t31_1536:source_t13_1536;study05/study05_p44:target_t34_1536:source_t2_512;study05/study05_p46:target_t24_512:source_t3_0;study05/study05_p10:target_t33_0:source_t0_1024;study05/study05_p40:target_t24_0:source_t6_512;study05/study05_p44:target_t35_512:source_t2_1536
10,296;308;706;807;507;145;16;370,study05/study05_p41:target_t16_1536:source_t1_512;study05/study05_p41:target_t19_1536:source_t4_512;study05/study05_p47:target_t26_512:source_t10_1024;study05/study05_p48:target_t33_1536:source_t1_0;study05/study05_p44:target_t32_1536:source_t0_512;study05/study05_p10:target_t31_1024:source_t16_0;study05/study05_p06:target_t21_0:source_t4_1024;study05/study05_p43:target_t19_1024:source_t2_0
