fold,participant,view,arm,donor,beta,distance,morphology_distance,topography_distance,dynamics_distance
1,2,primary,WRONG_DONOR,7,0.5,5.200881441434224,12.768269538879395,1.411208152770996,1.4231666326522827
1,2,primary,WRONG_DONOR,12,0.5,4.2889295021692915,10.213631629943848,1.5102306604385376,1.1429262161254883
1,2,primary,POP,,0.5,4.453935146331787,11.106344223022461,1.1861034631729126,1.0693577527999878
1,2,primary,MATCH,,0.5,2.32102765639623,4.943667888641357,1.041424036026001,0.9779910445213318
1,2,primary,WRONG_MEAN,,0.5,4.744905471801758,11.490950584411621,1.4607194066047668,1.2830464243888855
1,7,primary,WRONG_DONOR,2,0.5,6.105893452962239,15.168190002441406,1.1465685367584229,2.0029218196868896
1,7,primary,WRONG_DONOR,12,0.5,7.029462019602458,17.891075134277344,1.3193436861038208,1.8779672384262085
1,7,primary,POP,,0.5,6.029850721359253,15.207393646240234,1.0942511558532715,1.787907361984253
1,7,primary,MATCH,,0.5,5.159960865974426,12.922042846679688,0.8950756788253784,1.662764072418213
1,7,primary,WRONG_MEAN,,0.5,6.567677736282349,16.529632568359375,1.2329561114311218,1.940444529056549
1,12,primary,WRONG_DONOR,2,0.5,6.453007757663727,16.621213912963867,1.7631783485412598,0.9746310114860535
1,12,primary,WRONG_DONOR,7,0.5,4.157370368639628,10.058734893798828,1.340147614479065,1.0732285976409912
1,12,primary,POP,,0.5,6.214026172955831,16.126266479492188,1.5992765426635742,0.916535496711731
1,12,primary,MATCH,,0.5,5.85600068171819,15.634684562683105,1.1416122913360596,0.7917051911354065
1,12,primary,WRONG_MEAN,,0.5,5.305189063151678,13.339974403381348,1.5516629815101624,1.0239298045635223
1,2,prestim,WRONG_DONOR,7,0.25,1.3032602866490681,1.61917245388031,1.2034106254577637,1.0871977806091309
1,2,prestim,WRONG_DONOR,12,0.25,1.3106203476587932,1.6365158557891846,1.2146226167678833,1.0807225704193115
1,2,prestim,POP,,0.25,1.2694249153137207,1.5782701969146729,1.125923752784729,1.1040807962417603
1,2,prestim,MATCH,,0.25,1.3146252234776814,1.686469316482544,1.2165279388427734,1.040878415107727
1,2,prestim,WRONG_MEAN,,0.25,1.3069403171539307,1.6278441548347473,1.2090166211128235,1.0839601755142212
1,7,prestim,WRONG_DONOR,2,0.25,1.2975678046544392,1.4474539756774902,1.1088203191757202,1.3364291191101074
1,7,prestim,WRONG_DONOR,12,0.25,1.2614587942759197,1.378798007965088,1.0852696895599365,1.3203086853027344
1,7,prestim,POP,,0.25,1.2656482458114624,1.396769404411316,1.10467529296875,1.2955000400543213
1,7,prestim,MATCH,,0.25,1.269583821296692,1.3839119672775269,1.0727595090866089,1.35207998752594
1,7,prestim,WRONG_MEAN,,0.25,1.2795132994651794,1.413125991821289,1.0970450043678284,1.328368902206421
1,12,prestim,WRONG_DONOR,2,0.25,1.2124592463175456,1.1887527704238892,1.2950396537780762,1.1535853147506714
1,12,prestim,WRONG_DONOR,7,0.25,1.1744914452234905,1.0977174043655396,1.3531148433685303,1.0726420879364014
1,12,prestim,POP,,0.25,1.1136842171351116,1.029736876487732,1.1817221641540527,1.1295936107635498
1,12,prestim,MATCH,,0.25,1.178032120068868,1.090248942375183,1.2885512113571167,1.1552962064743042
1,12,prestim,WRONG_MEAN,,0.25,1.193475345770518,1.1432350873947144,1.3240772485733032,1.1131137013435364
1,2,hf_art,WRONG_DONOR,7,0.25,1.5458991527557373,2.276843786239624,1.3230935335159302,1.0377601385116577
1,2,hf_art,WRONG_DONOR,12,0.25,1.539471705754598,2.2853493690490723,1.3129515647888184,1.0201141834259033
1,2,hf_art,POP,,0.25,1.504878540833791,2.280118465423584,1.2580901384353638,0.9764270186424255
1,2,hf_art,MATCH,,0.25,1.5177318056424458,2.3490400314331055,1.2532833814620972,0.950872004032135
1,2,hf_art,WRONG_MEAN,,0.25,1.5426854292551675,2.281096577644348,1.3180225491523743,1.0289371609687805
1,7,hf_art,WRONG_DONOR,2,0.25,1.178809682528178,1.134255290031433,1.2901084423065186,1.112065315246582
1,7,hf_art,WRONG_DONOR,12,0.25,1.126362919807434,0.9863290786743164,1.3195886611938477,1.0731710195541382
1,7,hf_art,POP,,0.25,1.1274091800053914,0.9920473098754883,1.3236877918243408,1.0664924383163452
1,7,hf_art,MATCH,,0.25,1.124662419160207,0.9688580632209778,1.3498425483703613,1.0552866458892822
1,7,hf_art,WRONG_MEAN,,0.25,1.1525863011678061,1.0602921843528748,1.304848551750183,1.09261816740036
1,12,hf_art,WRONG_DONOR,2,0.25,1.264234224955241,1.3947945833206177,1.2853217124938965,1.1125863790512085
1,12,hf_art,WRONG_DONOR,7,0.25,1.2344326972961426,1.2249517440795898,1.3296979665756226,1.1486483812332153
1,12,hf_art,POP,,0.25,1.2154417435328166,1.2404156923294067,1.2714197635650635,1.1344897747039795
1,12,hf_art,MATCH,,0.25,1.1911176443099976,1.232090711593628,1.2678395509719849,1.0734226703643799
1,12,hf_art,WRONG_MEAN,,0.25,1.2493334611256919,1.3098731637001038,1.3075098395347595,1.130617380142212
1,2,label_shuffle,WRONG_DONOR,7,0.25,1.4657789866129558,2.0142645835876465,1.3270412683486938,1.0560311079025269
1,2,label_shuffle,WRONG_DONOR,12,0.25,1.2857121229171753,1.7495338916778564,1.045243740081787,1.0623587369918823
1,2,label_shuffle,POP,,0.25,1.3586063782374065,1.8237539529800415,1.1739498376846313,1.0781153440475464
1,2,label_shuffle,MATCH,,0.25,1.3522587219874065,1.8359442949295044,1.1559933423995972,1.0648385286331177
1,2,label_shuffle,WRONG_MEAN,,0.25,1.3757455547650657,1.8818992376327515,1.1861425042152405,1.0591949224472046
1,7,label_shuffle,WRONG_DONOR,2,0.25,1.388981302579244,1.974589467048645,1.184685230255127,1.00766921043396
1,7,label_shuffle,WRONG_DONOR,12,0.25,1.270644744237264,1.8313077688217163,1.0321428775787354,0.9484835863113403
1,7,label_shuffle,POP,,0.25,1.3447149594624836,1.9247878789901733,1.171354055404663,0.9380029439926147
1,7,label_shuffle,MATCH,,0.25,1.445679744084676,2.116145372390747,1.287359356880188,0.9335345029830933
1,7,label_shuffle,WRONG_MEAN,,0.25,1.329813023408254,1.9029486179351807,1.1084140539169312,0.9780763983726501
1,12,label_shuffle,WRONG_DONOR,2,0.25,1.1778141657511394,1.209181308746338,1.224868655204773,1.0993925333023071
1,12,label_shuffle,WRONG_DONOR,7,0.25,1.182374080022176,1.2388826608657837,1.256681203842163,1.0515583753585815
1,12,label_shuffle,POP,,0.25,1.1309488614400227,1.1464519500732422,1.2032681703567505,1.0431264638900757
1,12,label_shuffle,MATCH,,0.25,1.1148587067921956,1.1522252559661865,1.170170783996582,1.0221800804138184
1,12,label_shuffle,WRONG_MEAN,,0.25,1.1800941228866577,1.2240319848060608,1.240774929523468,1.0754754543304443
1,2,time_shuffle,WRONG_DONOR,7,0.25,1.7416016062100728,2.7789478302001953,0.9818246960639954,1.4640322923660278
1,2,time_shuffle,WRONG_DONOR,12,0.25,1.786199728647868,2.7848942279815674,1.0325536727905273,1.5411512851715088
1,2,time_shuffle,POP,,0.25,1.7346471150716145,2.8003203868865967,0.9293845891952515,1.4742363691329956
1,2,time_shuffle,MATCH,,0.25,1.7229455709457397,2.769397497177124,0.8680620193481445,1.5313771963119507
1,2,time_shuffle,WRONG_MEAN,,0.25,1.7639006674289703,2.7819210290908813,1.0071891844272614,1.5025917887687683
1,7,time_shuffle,WRONG_DONOR,2,0.25,1.7028524080912273,1.8115023374557495,1.0790823698043823,2.21797251701355
1,7,time_shuffle,WRONG_DONOR,12,0.25,1.6720232168833415,1.7655375003814697,1.2133557796478271,2.0371763706207275
1,7,time_shuffle,POP,,0.25,1.695814847946167,1.757049798965454,1.1295139789581299,2.200880765914917
1,7,time_shuffle,MATCH,,0.25,1.7138052781422932,1.7956358194351196,1.1413639783859253,2.204416036605835
1,7,time_shuffle,WRONG_MEAN,,0.25,1.6874378124872844,1.7885199189186096,1.1462190747261047,2.1275744438171387
1,12,time_shuffle,WRONG_DONOR,2,0.25,1.4304494460423787,1.4959087371826172,1.4783453941345215,1.3170942068099976
1,12,time_shuffle,WRONG_DONOR,7,0.25,1.4410892327626545,1.4127089977264404,1.512190818786621,1.3983678817749023
1,12,time_shuffle,POP,,0.25,1.3845916589101155,1.3750407695770264,1.3675681352615356,1.4111660718917847
1,12,time_shuffle,MATCH,,0.25,1.3511691093444824,1.3448652029037476,1.2530491352081299,1.4555929899215698
1,12,time_shuffle,WRONG_MEAN,,0.25,1.4357693394025166,1.4543088674545288,1.4952681064605713,1.35773104429245
1,2,wrong_condition,WRONG_DONOR,7,0.5,5.200881441434224,12.768269538879395,1.411208152770996,1.4231666326522827
1,2,wrong_condition,WRONG_DONOR,12,0.5,4.2889295021692915,10.213631629943848,1.5102306604385376,1.1429262161254883
1,2,wrong_condition,POP,,0.5,4.453935146331787,11.106344223022461,1.1861034631729126,1.0693577527999878
1,2,wrong_condition,MATCH,,0.5,2.32102765639623,4.943667888641357,1.041424036026001,0.9779910445213318
1,2,wrong_condition,WRONG_MEAN,,0.5,4.744905471801758,11.490950584411621,1.4607194066047668,1.2830464243888855
1,7,wrong_condition,WRONG_DONOR,2,0.5,6.105893452962239,15.168190002441406,1.1465685367584229,2.0029218196868896
1,7,wrong_condition,WRONG_DONOR,12,0.5,7.029462019602458,17.891075134277344,1.3193436861038208,1.8779672384262085
1,7,wrong_condition,POP,,0.5,6.029850721359253,15.207393646240234,1.0942511558532715,1.787907361984253
1,7,wrong_condition,MATCH,,0.5,5.159960865974426,12.922042846679688,0.8950756788253784,1.662764072418213
1,7,wrong_condition,WRONG_MEAN,,0.5,6.567677736282349,16.529632568359375,1.2329561114311218,1.940444529056549
1,12,wrong_condition,WRONG_DONOR,2,0.5,6.453007757663727,16.621213912963867,1.7631783485412598,0.9746310114860535
1,12,wrong_condition,WRONG_DONOR,7,0.5,4.157370368639628,10.058734893798828,1.340147614479065,1.0732285976409912
1,12,wrong_condition,POP,,0.5,6.214026172955831,16.126266479492188,1.5992765426635742,0.916535496711731
1,12,wrong_condition,MATCH,,0.5,5.85600068171819,15.634684562683105,1.1416122913360596,0.7917051911354065
1,12,wrong_condition,WRONG_MEAN,,0.5,5.305189063151678,13.339974403381348,1.5516629815101624,1.0239298045635223
1,2,gain_normalized,WRONG_DONOR,7,0.5,8.163008769353231,21.654651641845703,1.411208152770996,1.4231665134429932
1,2,gain_normalized,WRONG_DONOR,12,0.5,6.628082434336345,17.231090545654297,1.5102306604385376,1.1429260969161987
1,2,gain_normalized,POP,,0.5,7.019498308499654,18.80303382873535,1.1861034631729126,1.0693576335906982
1,2,gain_normalized,MATCH,,0.5,3.359744071960449,8.05981731414795,1.041424036026001,0.9779908657073975
1,2,gain_normalized,WRONG_MEAN,,0.5,7.395545601844788,19.44287109375,1.4607194066047668,1.283046305179596
1,7,gain_normalized,WRONG_DONOR,2,0.5,9.691411892573038,25.924745559692383,1.1465685367584229,2.0029215812683105
1,7,gain_normalized,WRONG_DONOR,12,0.5,11.270240624745687,30.61341094970703,1.3193438053131104,1.877967119216919
1,7,gain_normalized,POP,,0.5,9.630943973859152,26.01067352294922,1.0942511558532715,1.7879072427749634
1,7,gain_normalized,MATCH,,0.5,8.216417709986368,22.091413497924805,0.8950756788253784,1.6627639532089233
1,7,gain_normalized,WRONG_MEAN,,0.5,10.480826258659363,28.269078254699707,1.2329561710357666,1.9404443502426147
1,12,gain_normalized,WRONG_DONOR,2,0.5,10.38897293806076,28.429109573364258,1.7631783485412598,0.9746308922767639
1,12,gain_normalized,WRONG_DONOR,7,0.5,6.53460959593455,17.190452575683594,1.340147614479065,1.0732285976409912
1,12,gain_normalized,POP,,0.5,10.038663903872171,27.60017967224121,1.5992765426635742,0.916535496711731
1,12,gain_normalized,MATCH,,0.5,9.56764934460322,26.769630432128906,1.1416124105453491,0.7917051911354065
1,12,gain_normalized,WRONG_MEAN,,0.5,8.461791266997656,22.809781074523926,1.5516629815101624,1.0239297449588776
