fold,method,participant,rrmse_temporal,seed,severity,stream
0,RAW,sub-02,0.28205540776252747,20260825,severe,paired
0,DET_MATCH,sub-02,0.48555776476860046,20260825,severe,paired
0,DIFF_MATCH,sub-02,0.5165799260139465,20260825,severe,paired
0,RAW,sub-02,0.24428552389144897,20260825,medium,paired
0,DET_MATCH,sub-02,0.3137208819389343,20260825,medium,paired
0,DIFF_MATCH,sub-02,0.3960894048213959,20260825,medium,paired
0,RAW,sub-05,0.11403559148311615,20260825,mild,paired
0,DET_MATCH,sub-05,0.16628091037273407,20260825,mild,paired
0,DIFF_MATCH,sub-05,0.22542595863342285,20260825,mild,paired
0,RAW,sub-02,27.412477493286133,20260825,medium,paired
0,DET_MATCH,sub-02,27.104129791259766,20260825,medium,paired
0,DIFF_MATCH,sub-02,27.18417739868164,20260825,medium,paired
0,RAW,sub-05,0.02404000796377659,20260825,severe,paired
0,DET_MATCH,sub-05,0.0354287214577198,20260825,severe,paired
0,DIFF_MATCH,sub-05,0.05324786156415939,20260825,severe,paired
0,RAW,sub-03,0.1045432910323143,20260825,mild,paired
0,DET_MATCH,sub-03,0.13958317041397095,20260825,mild,paired
0,DIFF_MATCH,sub-03,0.14516772329807281,20260825,mild,paired
0,RAW,sub-03,0.10922276973724365,20260825,mild,paired
0,DET_MATCH,sub-03,0.19534732401371002,20260825,mild,paired
0,DIFF_MATCH,sub-03,0.26845744252204895,20260825,mild,paired
0,RAW,sub-03,0.27576199173927307,20260825,mild,paired
0,DET_MATCH,sub-03,0.30251345038414,20260825,mild,paired
0,DIFF_MATCH,sub-03,0.36017173528671265,20260825,mild,paired
0,RAW,sub-02,23.026918411254883,20260825,severe,paired
0,DET_MATCH,sub-02,22.695541381835938,20260825,severe,paired
0,DIFF_MATCH,sub-02,22.822860717773438,20260825,severe,paired
0,RAW,sub-02,0.0,20260825,zero,paired
0,DET_MATCH,sub-02,0.17368321120738983,20260825,zero,paired
0,DIFF_MATCH,sub-02,0.37099286913871765,20260825,zero,paired
0,RAW,sub-02,25.943889617919922,20260825,severe,paired
0,DET_MATCH,sub-02,25.464771270751953,20260825,severe,paired
0,DIFF_MATCH,sub-02,25.64082145690918,20260825,severe,paired
0,RAW,sub-02,0.08865862339735031,20260825,mild,paired
0,DET_MATCH,sub-02,0.25287818908691406,20260825,mild,paired
0,DIFF_MATCH,sub-02,0.314094215631485,20260825,mild,paired
0,RAW,sub-03,0.5568241477012634,20260825,medium,paired
0,DET_MATCH,sub-03,0.41019487380981445,20260825,medium,paired
0,DIFF_MATCH,sub-03,0.3677418828010559,20260825,medium,paired
0,RAW,sub-03,0.3780375123023987,20260825,severe,paired
0,DET_MATCH,sub-03,0.2852990925312042,20260825,severe,paired
0,DIFF_MATCH,sub-03,0.2793820798397064,20260825,severe,paired
0,RAW,sub-05,0.24017027020454407,20260825,medium,paired
0,DET_MATCH,sub-05,0.33108386397361755,20260825,medium,paired
0,DIFF_MATCH,sub-05,0.3721752464771271,20260825,medium,paired
0,RAW,sub-03,0.0,20260825,zero,paired
0,DET_MATCH,sub-03,0.14817070960998535,20260825,zero,paired
0,DIFF_MATCH,sub-03,0.42704612016677856,20260825,zero,paired
0,RAW,sub-02,1.1594483852386475,20260825,severe,paired
0,DET_MATCH,sub-02,1.1569039821624756,20260825,severe,paired
0,DIFF_MATCH,sub-02,1.1525949239730835,20260825,severe,paired
0,RAW,sub-02,0.0,20260825,zero,paired
0,DET_MATCH,sub-02,0.19715161621570587,20260825,zero,paired
0,DIFF_MATCH,sub-02,0.32975587248802185,20260825,zero,paired
0,RAW,sub-02,0.6661619544029236,20260825,severe,paired
0,DET_MATCH,sub-02,0.5381079912185669,20260825,severe,paired
0,DIFF_MATCH,sub-02,0.5749713182449341,20260825,severe,paired
0,RAW,sub-02,7.275079727172852,20260825,severe,paired
