best_step,fold,kind,last_step,path,plateaued,seed,updates
2250,0,setcalib_det,5000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_0_seed_20260825.json,True,20260825,5000
3250,0,setcalib_det,5750,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_0_seed_20260826.json,True,20260826,5750
2750,0,setcalib_det,5250,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_0_seed_20260827.json,True,20260827,5250
4750,1,setcalib_det,7250,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_1_seed_20260825.json,True,20260825,7250
7000,1,setcalib_det,9500,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_1_seed_20260826.json,True,20260826,9500
9750,1,setcalib_det,12250,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_1_seed_20260827.json,True,20260827,12250
12000,2,setcalib_det,14500,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_2_seed_20260825.json,True,20260825,14500
3750,2,setcalib_det,6250,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_2_seed_20260826.json,True,20260826,6250
9250,2,setcalib_det,11750,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_2_seed_20260827.json,True,20260827,11750
11500,3,setcalib_det,14000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_3_seed_20260825.json,True,20260825,14000
10250,3,setcalib_det,12750,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_3_seed_20260826.json,True,20260826,12750
2000,3,setcalib_det,4500,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_3_seed_20260827.json,True,20260827,4500
1750,4,setcalib_det,4250,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_4_seed_20260825.json,True,20260825,4250
1500,4,setcalib_det,4000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_4_seed_20260826.json,True,20260826,4000
8000,4,setcalib_det,10500,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_det_deepsets_fold_4_seed_20260827.json,True,20260827,10500
10500,0,setcalib_diff,13000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_0_seed_20260825.json,True,20260825,13000
3500,0,setcalib_diff,6000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_0_seed_20260826.json,True,20260826,6000
3500,0,setcalib_diff,6000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_0_seed_20260827.json,True,20260827,6000
5500,1,setcalib_diff,8000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_1_seed_20260825.json,True,20260825,8000
3500,1,setcalib_diff,6000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_1_seed_20260826.json,True,20260826,6000
6500,1,setcalib_diff,9000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_1_seed_20260827.json,True,20260827,9000
6000,2,setcalib_diff,8500,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_2_seed_20260825.json,True,20260825,8500
12750,2,setcalib_diff,15250,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_2_seed_20260826.json,True,20260826,15250
1250,2,setcalib_diff,4000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_2_seed_20260827.json,True,20260827,4000
4250,3,setcalib_diff,6750,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_3_seed_20260825.json,True,20260825,6750
6500,3,setcalib_diff,9000,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_3_seed_20260826.json,True,20260826,9000
4000,3,setcalib_diff,6500,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_3_seed_20260827.json,True,20260827,6500
6250,4,setcalib_diff,8750,/home/infres/yinwang/denoiseNet_calib_sdedit_v26/results/setcalibdiff_v25/round_b/setcalib_diff__fold_4_seed_20260825.json,True,20260825,8750
