contrast,effect,first,metric,panel,participant,second
ONE_STEP_SUPPORT,-0.0006875733601576783,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-02,POP_REFINE_DET
ONE_STEP_SUPPORT,0.0015332287106194498,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-03,POP_REFINE_DET
ONE_STEP_SUPPORT,0.004600630719070686,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-05,POP_REFINE_DET
ONE_STEP_SUPPORT,-0.009180298749915272,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-06,POP_REFINE_DET
ONE_STEP_SUPPORT,-0.00864066128091584,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-07,POP_REFINE_DET
ONE_STEP_SUPPORT,0.01158656213924747,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-09,POP_REFINE_DET
ONE_STEP_SUPPORT,0.026202914028400803,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-11,POP_REFINE_DET
ONE_STEP_SUPPORT,0.07190335958197136,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-12,POP_REFINE_DET
ONE_STEP_SUPPORT,0.02915225223017237,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-14,POP_REFINE_DET
ONE_STEP_SUPPORT,0.023499884159089213,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-15,POP_REFINE_DET
ONE_STEP_SUPPORT,0.001928072669684422,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-17,POP_REFINE_DET
ONE_STEP_SUPPORT,-0.006592600213308986,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-18,POP_REFINE_DET
ONE_STEP_SUPPORT,-0.006731072376596203,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-19,POP_REFINE_DET
ONE_STEP_SUPPORT,-0.011326868438207682,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-21,POP_REFINE_DET
ONE_STEP_SUPPORT,0.003519066438069429,CALIB_REFINE_MATCH,rrmse_temporal,paired,sub-23,POP_REFINE_DET
