effect,first,metric,participant,second,severity
-0.0004083823229446004,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-02,CALIB_REFINE_MATCH,mild
-0.008617281520855613,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-03,CALIB_REFINE_MATCH,mild
-0.004356523443545618,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-05,CALIB_REFINE_MATCH,mild
0.0003655797457516319,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-06,CALIB_REFINE_MATCH,mild
-0.015174788054234,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-07,CALIB_REFINE_MATCH,mild
0.0016931177777870232,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-09,CALIB_REFINE_MATCH,mild
-0.009593072821173776,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-11,CALIB_REFINE_MATCH,mild
-0.006483569907556719,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-12,CALIB_REFINE_MATCH,mild
0.00030997748763184063,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-14,CALIB_REFINE_MATCH,mild
-0.003820486880345808,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-15,CALIB_REFINE_MATCH,mild
-0.002954641357064247,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-17,CALIB_REFINE_MATCH,mild
-0.003243534287036054,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-18,CALIB_REFINE_MATCH,mild
0.016552720500050744,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-19,CALIB_REFINE_MATCH,mild
-0.00160522323291179,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-21,CALIB_REFINE_MATCH,mild
-0.007832990427102365,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-23,CALIB_REFINE_MATCH,mild
-0.005565271105455238,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-02,CALIB_REFINE_MATCH,medium
-0.015095712187198462,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-03,CALIB_REFINE_MATCH,medium
-0.002552251248792048,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-05,CALIB_REFINE_MATCH,medium
-0.01564559736289084,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-06,CALIB_REFINE_MATCH,medium
-0.024403574314179277,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-07,CALIB_REFINE_MATCH,medium
0.011835784668585703,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-09,CALIB_REFINE_MATCH,medium
-0.003985879576352769,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-11,CALIB_REFINE_MATCH,medium
-0.008614520687195926,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-12,CALIB_REFINE_MATCH,medium
-0.0015598322296964673,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-14,CALIB_REFINE_MATCH,medium
-0.004644259525042438,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-15,CALIB_REFINE_MATCH,medium
-0.0027117367345290133,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-17,CALIB_REFINE_MATCH,medium
-0.004669034821463025,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-18,CALIB_REFINE_MATCH,medium
-0.0012906305122352135,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-19,CALIB_REFINE_MATCH,medium
-0.0006806194148165079,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-21,CALIB_REFINE_MATCH,medium
-0.008737739436981973,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-23,CALIB_REFINE_MATCH,medium
-0.000586372410709135,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-02,CALIB_REFINE_MATCH,severe
-0.0017860668274212732,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-03,CALIB_REFINE_MATCH,severe
-0.005114582329988515,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-05,CALIB_REFINE_MATCH,severe
-0.020222637589955517,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-06,CALIB_REFINE_MATCH,severe
0.01686595800713131,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-07,CALIB_REFINE_MATCH,severe
0.02123458919293686,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-09,CALIB_REFINE_MATCH,severe
0.002850359211151954,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-11,CALIB_REFINE_MATCH,severe
-0.0026552899289526977,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-12,CALIB_REFINE_MATCH,severe
-0.007341610012101207,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-14,CALIB_REFINE_MATCH,severe
-0.0029906419784588856,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-15,CALIB_REFINE_MATCH,severe
-0.0004076383094180347,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-17,CALIB_REFINE_MATCH,severe
0.0013430187168220753,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-18,CALIB_REFINE_MATCH,severe
-0.0262272266010124,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-19,CALIB_REFINE_MATCH,severe
-0.0007864299734107183,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-21,CALIB_REFINE_MATCH,severe
-0.005373459454858676,CALIB_SDEDIT_MATCH,rrmse_temporal,sub-23,CALIB_REFINE_MATCH,severe
