aligned_basis_difference,column_permutation_count,column_sign_flip_count,fold,latent_residual_rmse_after_alignment,latent_residual_rmse_before_alignment,participant,procrustes_rotation_magnitude,projector_distance,sample,third_subset_projector_distance,unmatched_basis_difference
0.947030782699585,0,0,0,1.6942764520645142,0.6793997287750244,sub-02,0.36787327253574303,1.563894510269165,0,1.0652705430984497,0.986588180065155
0.20754463970661163,0,0,0,0.03506239876151085,0.01401008665561676,sub-03,0.20993218663254795,1.1726114749908447,5,1.2275336980819702,0.21663819253444672
0.08700162917375565,0,0,0,0.017520667985081673,0.01701912097632885,sub-05,0.05060496203240062,0.44334712624549866,3,0.12264823168516159,0.08943796157836914
0.09234780818223953,0,0,1,0.025929229333996773,0.02509397454559803,sub-06,0.04793118151680238,0.3121735453605652,0,0.3193087577819824,0.09893161803483963
0.10461603105068207,0,0,1,0.027085699141025543,0.02715091034770012,sub-07,0.05111503867188123,0.32971125841140747,7,0.21833018958568573,0.11030478775501251
0.24754193425178528,0,0,1,0.021593252196907997,0.018191149458289146,sub-09,0.10502182730438117,1.0213046073913574,4,0.32286158204078674,0.25846612453460693
0.20997413992881775,0,0,2,0.038961511105298996,0.0383983738720417,sub-11,0.06842434827890086,0.47000598907470703,1,0.3583822548389435,0.2170659750699997
0.15554195642471313,0,0,2,0.04132859408855438,0.03901703655719757,sub-12,0.03714116251410866,0.37064889073371887,0,0.23456673324108124,0.159686878323555
0.17704345285892487,0,0,2,0.10875573009252548,0.10892127454280853,sub-14,0.06616144342513426,0.4105720818042755,4,0.2377225160598755,0.18716709315776825
0.049998532980680466,0,0,3,0.008138283155858517,0.0070868670009076595,sub-15,0.03900106639760221,0.19934043288230896,8,0.15844658017158508,0.05803810805082321
0.12769512832164764,0,0,3,0.028605975210666656,0.02740076184272766,sub-17,0.09941312251286251,0.5600399374961853,0,0.506437361240387,0.14832545816898346
0.10898930579423904,0,0,3,0.07927042990922928,0.026381434872746468,sub-18,0.08525329118734357,0.5695893168449402,1,0.3093506693840027,0.11311155557632446
0.1592612862586975,0,0,4,0.12377820909023285,0.021901480853557587,sub-19,0.09620185935049433,0.7015610933303833,2,0.3200211226940155,0.16379892826080322
0.11583169549703598,0,0,4,0.01757306419312954,0.018294943496584892,sub-21,0.05374485361265465,0.5572490692138672,0,0.505972683429718,0.11782348155975342
0.3848798871040344,0,0,4,0.08219876140356064,0.07539501786231995,sub-23,0.19479135216539517,1.5319029092788696,1,1.4745200872421265,0.4017197787761688
