DIFF_K1_vs_DET1,OF_DET_MATCH_POP_SWAP,OF_DET_MATCH_WRONG_SWAP,OF_DET_SUBJECT,OF_SCAD_MATCH_POP_SWAP,OF_SCAD_MATCH_WRONG_SWAP,OF_SCAD_SUBJECT,participant
0.10307959864160636,0.1507541864423664,0.09708518176951027,-0.009653921553046748,0.2733347051579392,0.20084650029023784,0.09909328618592513,sub-02
0.015638397175919343,0.10348286739810632,0.029302800687759922,-0.06377272295916603,0.1311052596481802,0.03533088706584795,-0.04425253802050446,sub-03
0.021742090396991542,0.11869157485770095,0.040173607173767945,-0.04254785836715119,0.1639463451625616,0.05204398663951445,-0.012183936621193178,sub-05
-0.021099490802347038,0.2600105293289137,0.2235090792819392,0.05428875579673331,0.32186381772044115,0.30141598962654825,0.033024790238414425,sub-06
-0.04237725530647568,0.11937731384196217,0.02899646990208164,-0.02604766325197287,0.1676019758420686,0.038495268314662955,-0.0642752147797081,sub-07
0.11599497493050019,-0.5579326763321761,-0.5731780423492481,-0.6021462450241385,-0.43642368119258396,-0.4701240094664844,-0.49543448725868505,sub-09
-0.06066532456847636,0.009890146638568686,-0.04319392663711619,-0.10323645987284265,0.2010392428941378,-0.058653615961557236,-0.1702936396787377,sub-11
0.011181588712163645,0.3059811897949911,0.28426442555116255,0.1694823723665535,0.5548379178046975,0.36532323779487386,0.1601345683104496,sub-12
-0.05164843641706111,0.1424568116748175,0.0933938167981682,0.01124535940116178,0.39643865030607195,0.08426161183468328,-0.03635967690431385,sub-14
-0.008187280601789415,0.058442976752027365,0.03239783590928239,-0.12837927472610858,0.0938017042956097,0.06830211524012968,-0.12549401079802613,sub-15
-0.011942646360280418,0.05268337401543174,0.007172037383504952,-0.16085240601552836,0.09473072246958818,0.02829515754665231,-0.16315901057027715,sub-17
-0.018713425131863914,0.07488157085996743,0.03871510382547664,-0.14963986937194326,0.08868430686319091,0.03241376125758203,-0.1612290769505004,sub-18
0.08200326590149687,-0.19285861508111765,-0.18445488694829462,-0.2572897334413771,0.016722103590239772,-0.02413443798632035,-0.16389801824521832,sub-19
-0.1069349809213257,0.10771026698512072,0.01894481292120361,-0.04952071209509786,0.20302911081062605,-0.0213945239721548,-0.1482265058585762,sub-21
-0.07762865751443902,0.11108765104536418,0.03873286098083619,-0.02863178423936073,0.24806504221257378,0.048140957117112325,-0.09641378623633123,sub-23
