basis,fold,participant,projection_error,sample,session,task
POP,0,sub-03,0.823026180267334,0,ses-04,SSVEP
MATCH,0,sub-03,0.3110748827457428,0,ses-04,SSVEP
WRONG,0,sub-03,0.4716973602771759,0,ses-04,SSVEP
QUERY_ORACLE,0,sub-03,0.26146259903907776,0,ses-04,SSVEP
POP,0,sub-05,0.3547772169113159,1,ses-02,ERP
MATCH,0,sub-05,0.2916319668292999,1,ses-02,ERP
WRONG,0,sub-05,0.27978602051734924,1,ses-02,ERP
QUERY_ORACLE,0,sub-05,0.2855146527290344,1,ses-02,ERP
POP,0,sub-02,0.4552135467529297,2,ses-03,ERP
MATCH,0,sub-02,0.31553900241851807,2,ses-03,ERP
WRONG,0,sub-02,0.3892974257469177,2,ses-03,ERP
QUERY_ORACLE,0,sub-02,0.26735997200012207,2,ses-03,ERP
POP,0,sub-05,0.0,3,ses-04,SSVEP
MATCH,0,sub-05,0.0,3,ses-04,SSVEP
WRONG,0,sub-05,0.0,3,ses-04,SSVEP
QUERY_ORACLE,0,sub-05,0.0,3,ses-04,SSVEP
POP,0,sub-02,0.32662510871887207,4,ses-02,ERP
MATCH,0,sub-02,0.30599719285964966,4,ses-02,ERP
WRONG,0,sub-02,0.2893204987049103,4,ses-02,ERP
QUERY_ORACLE,0,sub-02,0.29679563641548157,4,ses-02,ERP
POP,0,sub-05,0.418436199426651,5,ses-03,SSVEP
MATCH,0,sub-05,0.3015829026699066,5,ses-03,SSVEP
WRONG,0,sub-05,0.3439390957355499,5,ses-03,SSVEP
QUERY_ORACLE,0,sub-05,0.2784024477005005,5,ses-03,SSVEP
POP,0,sub-02,0.7453263998031616,6,ses-03,SSVEP
MATCH,0,sub-02,0.1896478235721588,6,ses-03,SSVEP
WRONG,0,sub-02,0.636907160282135,6,ses-03,SSVEP
QUERY_ORACLE,0,sub-02,0.18826989829540253,6,ses-03,SSVEP
POP,0,sub-02,0.3317391872406006,7,ses-03,ERP
MATCH,0,sub-02,0.30441004037857056,7,ses-03,ERP
WRONG,0,sub-02,0.32506850361824036,7,ses-03,ERP
QUERY_ORACLE,0,sub-02,0.3085370361804962,7,ses-03,ERP
POP,0,sub-03,0.4380912482738495,8,ses-02,SSVEP
MATCH,0,sub-03,0.2814807593822479,8,ses-02,SSVEP
WRONG,0,sub-03,0.28127521276474,8,ses-02,SSVEP
QUERY_ORACLE,0,sub-03,0.26088428497314453,8,ses-02,SSVEP
POP,0,sub-05,0.5407079458236694,9,ses-02,SSVEP
MATCH,0,sub-05,0.3699413537979126,9,ses-02,SSVEP
WRONG,0,sub-05,0.4226984977722168,9,ses-02,SSVEP
QUERY_ORACLE,0,sub-05,0.2666133940219879,9,ses-02,SSVEP
POP,0,sub-03,0.8706552982330322,10,ses-04,SSVEP
MATCH,0,sub-03,0.35027429461479187,10,ses-04,SSVEP
WRONG,0,sub-03,0.5095663666725159,10,ses-04,SSVEP
QUERY_ORACLE,0,sub-03,0.26776280999183655,10,ses-04,SSVEP
POP,0,sub-05,0.48181062936782837,11,ses-02,SSVEP
MATCH,0,sub-05,0.3235923647880554,11,ses-02,SSVEP
WRONG,0,sub-05,0.37959203124046326,11,ses-02,SSVEP
QUERY_ORACLE,0,sub-05,0.2541466951370239,11,ses-02,SSVEP
POP,0,sub-03,0.2892799377441406,12,ses-02,ERP
MATCH,0,sub-03,0.23870906233787537,12,ses-02,ERP
WRONG,0,sub-03,0.27331507205963135,12,ses-02,ERP
QUERY_ORACLE,0,sub-03,0.23325328528881073,12,ses-02,ERP
POP,0,sub-05,0.5510799288749695,13,ses-04,ERP
MATCH,0,sub-05,0.31022757291793823,13,ses-04,ERP
WRONG,0,sub-05,0.46242836117744446,13,ses-04,ERP
QUERY_ORACLE,0,sub-05,0.3002336323261261,13,ses-04,ERP
POP,0,sub-03,0.42069360613822937,14,ses-02,SSVEP
MATCH,0,sub-03,0.2724965810775757,14,ses-02,SSVEP
WRONG,0,sub-03,0.31270909309387207,14,ses-02,SSVEP
QUERY_ORACLE,0,sub-03,0.2584640383720398,14,ses-02,SSVEP
POP,0,sub-02,0.823768138885498,15,ses-04,SSVEP
MATCH,0,sub-02,0.32379311323165894,15,ses-04,SSVEP
WRONG,0,sub-02,0.5013919472694397,15,ses-04,SSVEP
QUERY_ORACLE,0,sub-02,0.20113053917884827,15,ses-04,SSVEP
POP,0,sub-02,0.9080895185470581,16,ses-02,SSVEP
MATCH,0,sub-02,0.7738973498344421,16,ses-02,SSVEP
WRONG,0,sub-02,0.7794938683509827,16,ses-02,SSVEP
QUERY_ORACLE,0,sub-02,0.16023825109004974,16,ses-02,SSVEP
POP,0,sub-05,0.7951676845550537,17,ses-04,SSVEP
MATCH,0,sub-05,0.3569626212120056,17,ses-04,SSVEP
WRONG,0,sub-05,0.5491410493850708,17,ses-04,SSVEP
QUERY_ORACLE,0,sub-05,0.24214407801628113,17,ses-04,SSVEP
POP,0,sub-02,0.34620094299316406,18,ses-02,ERP
MATCH,0,sub-02,0.3105109930038452,18,ses-02,ERP
WRONG,0,sub-02,0.29875877499580383,18,ses-02,ERP
QUERY_ORACLE,0,sub-02,0.2970239222049713,18,ses-02,ERP
POP,0,sub-05,0.36944952607154846,19,ses-03,SSVEP
MATCH,0,sub-05,0.30285170674324036,19,ses-03,SSVEP
WRONG,0,sub-05,0.28079676628112793,19,ses-03,SSVEP
QUERY_ORACLE,0,sub-05,0.2883836328983307,19,ses-03,SSVEP
POP,0,sub-02,0.3138669729232788,20,ses-02,ERP
MATCH,0,sub-02,0.28438830375671387,20,ses-02,ERP
WRONG,0,sub-02,0.27601978182792664,20,ses-02,ERP
QUERY_ORACLE,0,sub-02,0.2786041498184204,20,ses-02,ERP
POP,0,sub-05,0.0,21,ses-02,ERP
MATCH,0,sub-05,0.0,21,ses-02,ERP
WRONG,0,sub-05,0.0,21,ses-02,ERP
QUERY_ORACLE,0,sub-05,0.0,21,ses-02,ERP
POP,0,sub-03,0.3927856683731079,22,ses-03,ERP
MATCH,0,sub-03,0.3245721161365509,22,ses-03,ERP
WRONG,0,sub-03,0.3784611225128174,22,ses-03,ERP
QUERY_ORACLE,0,sub-03,0.2993833124637604,22,ses-03,ERP
POP,0,sub-02,0.5681160092353821,23,ses-04,ERP
MATCH,0,sub-02,0.3391343057155609,23,ses-04,ERP
WRONG,0,sub-02,0.506420373916626,23,ses-04,ERP
QUERY_ORACLE,0,sub-02,0.24463552236557007,23,ses-04,ERP
POP,0,sub-03,0.0,24,ses-03,ERP
MATCH,0,sub-03,0.0,24,ses-03,ERP
WRONG,0,sub-03,0.0,24,ses-03,ERP
QUERY_ORACLE,0,sub-03,0.0,24,ses-03,ERP
POP,0,sub-05,0.0,25,ses-02,SSVEP
MATCH,0,sub-05,0.0,25,ses-02,SSVEP
WRONG,0,sub-05,0.0,25,ses-02,SSVEP
QUERY_ORACLE,0,sub-05,0.0,25,ses-02,SSVEP
POP,0,sub-02,0.7520482540130615,26,ses-03,SSVEP
MATCH,0,sub-02,0.18294964730739594,26,ses-03,SSVEP
WRONG,0,sub-02,0.3355185389518738,26,ses-03,SSVEP
QUERY_ORACLE,0,sub-02,0.18270036578178406,26,ses-03,SSVEP
POP,0,sub-05,0.47702425718307495,27,ses-03,SSVEP
MATCH,0,sub-05,0.3018400967121124,27,ses-03,SSVEP
WRONG,0,sub-05,0.3910742402076721,27,ses-03,SSVEP
QUERY_ORACLE,0,sub-05,0.26045697927474976,27,ses-03,SSVEP
POP,0,sub-03,0.5569687485694885,28,ses-04,ERP
MATCH,0,sub-03,0.3346450924873352,28,ses-04,ERP
WRONG,0,sub-03,0.48840442299842834,28,ses-04,ERP
QUERY_ORACLE,0,sub-03,0.2593408524990082,28,ses-04,ERP
POP,0,sub-03,0.38790959119796753,29,ses-02,ERP
