absolute_path,accepted,best_criterion,config,fold,model,parameters,seed,sha256,size_bytes,training_job,updates
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_0/seed_20260808/best_artifact.pt,yes,best_artifact,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,0,of_det,329720,20260808,de892024c9a45d04652d2cf3ebb97d44488356fc3180f3e8d96cf0e2c86214d7,2677299,935676,20000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_0/seed_20260808/best_coefficient.pt,yes,best_coefficient,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,0,of_det,329720,20260808,b8b4b18e504240daf3d786505a7790698687661242f1656f6c7c9c89bab89f78,2677665,935676,20000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_0/seed_20260808/last.pt,yes,last,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,0,of_det,329720,20260808,65b89739e08730317985c2f63ac61c34e1273934b09b306f833118924274ac97,5360067,935676,20000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_0/seed_20260810/best_artifact.pt,yes,best_artifact,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,0,of_det,329720,20260810,7289e2b1d1401d328dd193100e11f6b96152ca32264d515901e4519d4e19130d,2677299,936280,5000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_0/seed_20260810/best_coefficient.pt,yes,best_coefficient,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,0,of_det,329720,20260810,2435e5594eab18887e06845f5640a560e61404fe94ab7a7f633c6447720cb709,2677665,936280,5000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_0/seed_20260810/last.pt,yes,last,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,0,of_det,329720,20260810,7d37f9ee91d4a29eaae871b25ac113b0f96df605a800819e998c04d8d19757c9,5351491,936280,5000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_0/seed_20260811/best_artifact.pt,yes,best_artifact,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,0,of_det,329720,20260811,c4ce77117e9b82a97a827a11f31b85e6b732d725417a30c5da5696257d73079a,2677299,936280,20000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_0/seed_20260811/best_coefficient.pt,yes,best_coefficient,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,0,of_det,329720,20260811,5020cb65a9aae21ac5177b4f09bf97d8966168ea19a01b270f979d3fa92749dc,2677665,936280,20000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_0/seed_20260811/last.pt,yes,last,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,0,of_det,329720,20260811,a57dd0fe1de49437fdf72967900e8533824d950b2d8206ac32887b0d51a9b572,5360067,936280,20000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_1/seed_20260808/best_artifact.pt,yes,best_artifact,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,1,of_det,329720,20260808,893a751fbc4c16697948e58e6dc0308038748c5d3136df8a3553f000625a4bcc,2677299,935676,10000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_1/seed_20260808/best_coefficient.pt,yes,best_coefficient,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,1,of_det,329720,20260808,b77e33d87d98732b349a67f5597d3abedd748fcc773799188dea82d93ee7de60,2677665,935676,10000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_1/seed_20260808/last.pt,yes,last,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,1,of_det,329720,20260808,369982358d126180211282d1de0572be434f1d45d9e7acfa2f3401afe6c18892,5354307,935676,10000
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_1/seed_20260810/best_artifact.pt,yes,best_artifact,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,1,of_det,329720,20260810,d7106fcd21a2343b0345ef912f847ae07c60a41533a97c67b222ee8a3cb9db71,2677299,936280,12500
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_1/seed_20260810/best_coefficient.pt,yes,best_coefficient,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,1,of_det,329720,20260810,ab71292ff634958cb4e146e0d411e529a9c21f8e3d54abc6c292197633542c81,2677665,936280,12500
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_1/seed_20260810/last.pt,yes,last,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,1,of_det,329720,20260810,46c55ca27e472530e31530ce5413cf9476e3099671024335e9a7049067b3ab2c,5355779,936280,12500
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/checkpoints/of_det/fold_1/seed_20260811/best_artifact.pt,yes,best_artifact,/home/infres/yinwang/denoiseNet_of_scad_v23/configs/of_scad_v23/of_det.yaml,1,of_det,329720,20260811,f2ec0c26cb34679a6b0730df921e4d0056d6820706b26618bcb0fdf6a51c9cb0,2677299,936280,5250
