method,participant,rrmse_temporal,severity
OF_SCAD_K1_WRONG_SWAP,sub-03,1.1917095991872972,severe
POP_MARGINAL_SCAD_K1,sub-03,0.43379374262359405,medium
POP_MARGINAL_SCAD_K1,sub-05,0.1612826263669214,mild
POP_MARGINAL_SCAD_K1,sub-02,0.44405422384540244,medium
POP_MARGINAL_SCAD_K1,sub-02,5.139637514140255,severe
POP_MARGINAL_SCAD_K1,sub-05,1.0927750664251343,severe
POP_MARGINAL_SCAD_K1,sub-03,0.16418858619268845,mild
POP_MARGINAL_SCAD_K1,sub-05,0.40795273445118435,medium
POP_MARGINAL_SCAD_K1,sub-02,0.16331734140583534,mild
POP_MARGINAL_SCAD_K1,sub-03,1.1040695335275383,severe
RAW,sub-03,0.6919780737823911,medium
RAW,sub-05,0.15923932783825454,mild
RAW,sub-02,0.7247706919908522,medium
RAW,sub-02,5.919698277185129,severe
RAW,sub-05,1.9275810557442743,severe
RAW,sub-03,0.16794272313860278,mild
RAW,sub-05,0.700919025930865,medium
RAW,sub-02,0.16161706220642055,mild
RAW,sub-03,2.0504391770209036,severe
STANDARD,sub-03,0.6919780737823911,medium
STANDARD,sub-05,0.15923932783825454,mild
STANDARD,sub-02,0.7247706919908522,medium
STANDARD,sub-02,5.919698277185129,severe
STANDARD,sub-05,1.9275810557442743,severe
STANDARD,sub-03,0.16794272313860278,mild
STANDARD,sub-05,0.700919025930865,medium
STANDARD,sub-02,0.16161706220642055,mild
STANDARD,sub-03,2.0504391770209036,severe
V22_FIX_MATCH,sub-07,0.5838697059401149,medium
V22_FIX_MATCH,sub-07,1.115805157770713,severe
V22_FIX_MATCH,sub-06,1.7901569935240484,severe
V22_FIX_MATCH,sub-07,0.18298841843273392,mild
V22_FIX_MATCH,sub-06,0.15909591117485736,mild
V22_FIX_MATCH,sub-06,0.4969252245766776,medium
V22_FIX_MATCH,sub-09,6.9030629819892475,severe
V22_FIX_MATCH,sub-09,0.1266615842283447,mild
V22_FIX_MATCH,sub-09,0.7872068462548433,medium
V22_FIX_POP,sub-07,0.6199009678829676,medium
V22_FIX_POP,sub-07,1.2175314494719107,severe
V22_FIX_POP,sub-06,1.974349203959916,severe
V22_FIX_POP,sub-07,0.1905341724138524,mild
V22_FIX_POP,sub-06,0.16310449794167653,mild
V22_FIX_POP,sub-06,0.5256046180214201,medium
V22_FIX_POP,sub-09,6.795695293832708,severe
V22_FIX_POP,sub-09,0.11729161521129687,mild
V22_FIX_POP,sub-09,0.7967901406464754,medium
V22_FIX_WRONG,sub-07,0.6180785322326353,medium
V22_FIX_WRONG,sub-07,1.1583542171865702,severe
V22_FIX_WRONG,sub-06,1.9023955743904262,severe
V22_FIX_WRONG,sub-07,0.19371667172853949,mild
V22_FIX_WRONG,sub-06,0.16717405028641222,mild
V22_FIX_WRONG,sub-06,0.5149548171531587,medium
V22_FIX_WRONG,sub-09,6.781492276223822,severe
V22_FIX_WRONG,sub-09,0.13301659328188153,mild
V22_FIX_WRONG,sub-09,0.7933171965457775,medium
OF_DET_MATCH,sub-07,0.5613105019618726,medium
OF_DET_MATCH,sub-07,1.176531784857313,severe
OF_DET_MATCH,sub-06,1.5814056923223097,severe
OF_DET_MATCH,sub-07,0.21142171707339166,mild
OF_DET_MATCH,sub-06,0.1852741547425588,mild
OF_DET_MATCH,sub-06,0.47010532873017447,medium
