fold,method,milliseconds_per_window,nfe,seed
0,OF_DET_MATCH,8.072409900368829,1,20260808
0,OF_DET_POP_SWAP,7.756256416743984,1,20260808
0,OF_DET_WRONG_SWAP,7.910384997591825,1,20260808
0,POP_MARGINAL_DET,7.67376664589392,1,20260808
0,OF_SCAD_K1_MATCH,9.984713937565513,25,20260808
0,OF_SCAD_K1_POP_SWAP,9.829514458370223,25,20260808
0,OF_SCAD_K1_WRONG_SWAP,10.010115277880148,25,20260808
0,POP_MARGINAL_SCAD_K1,9.822839317267709,25,20260808
0,OF_DET_MATCH,8.079806400389687,1,20260810
0,OF_DET_POP_SWAP,7.797993391351257,1,20260810
0,OF_DET_WRONG_SWAP,7.93362506697627,1,20260810
0,POP_MARGINAL_DET,7.679373319357789,1,20260810
0,OF_SCAD_K1_MATCH,10.113026641192846,25,20260810
0,OF_SCAD_K1_POP_SWAP,9.978587002142039,25,20260810
0,OF_SCAD_K1_WRONG_SWAP,10.141728011485949,25,20260810
0,POP_MARGINAL_SCAD_K1,9.946658840312416,25,20260810
0,OF_DET_MATCH,7.04506313411036,1,20260811
0,OF_DET_POP_SWAP,6.555986717608499,1,20260811
0,OF_DET_WRONG_SWAP,6.658002680557763,1,20260811
0,POP_MARGINAL_DET,6.457560655016331,1,20260811
0,OF_SCAD_K1_MATCH,8.537317877064062,25,20260811
0,OF_SCAD_K1_POP_SWAP,8.407213439770405,25,20260811
0,OF_SCAD_K1_WRONG_SWAP,8.55009399782392,25,20260811
0,POP_MARGINAL_SCAD_K1,8.356489046289223,25,20260811
1,OF_DET_MATCH,6.711076962852126,1,20260808
1,OF_DET_POP_SWAP,6.585819666657631,1,20260808
1,OF_DET_WRONG_SWAP,6.585301518498454,1,20260808
1,POP_MARGINAL_DET,6.377426863494933,1,20260808
1,OF_SCAD_K1_MATCH,8.532951685117075,25,20260808
1,OF_SCAD_K1_POP_SWAP,8.376783817193765,25,20260808
1,OF_SCAD_K1_WRONG_SWAP,8.532769236168221,25,20260808
1,POP_MARGINAL_SCAD_K1,8.341813625183594,25,20260808
1,OF_DET_MATCH,5.814682111155923,1,20260810
1,OF_DET_POP_SWAP,5.595142231565357,1,20260810
1,OF_DET_WRONG_SWAP,5.666360212975026,1,20260810
1,POP_MARGINAL_DET,5.51671128010235,1,20260810
1,OF_SCAD_K1_MATCH,7.2667092824337525,25,20260810
1,OF_SCAD_K1_POP_SWAP,7.151140969923559,25,20260810
