basis,column_norm_max,column_norm_min,deviation_energy_ratio,effective_rank,fold,gram_condition,minimum_singular_value,participant,population_projector_distance,sample
POP,1.0000000218963878,0.0,0.0,4,0,inf,0.0,sub-03,0.0,0
MATCH,1.0000000218963878,0.9999999843847721,1.1402613383503588,8,0,182.6606537891457,0.13987399203236697,sub-03,1.9999999999999996,0
WRONG,1.0000000218963878,0.9999999905416309,1.5854476929260595,8,0,78.18807045648619,0.1921801680113339,sub-03,2.0000000000000004,0
POP,1.0000000049555406,0.0,0.0,4,0,inf,0.0,sub-05,0.0,1
MATCH,1.0000000049555406,0.9999999912684012,0.43204937857596,8,0,368.38533632079316,0.1004678512695645,sub-05,2.0,1
WRONG,1.0000000049555406,0.9999999912684012,0.39879290442162363,8,0,146.4493734462549,0.14310559087151858,sub-05,2.0000000000000013,1
POP,1.0000000162873848,0.0,0.0,4,0,inf,0.0,sub-02,0.0,2
MATCH,1.0000000162873848,0.9999999915080833,0.5462669285954422,8,0,122.12345637697273,0.16764973786647636,sub-02,1.9999999999999996,2
WRONG,1.0000000162873848,0.9999999921651362,0.5407524178038324,8,0,103.3779207680251,0.17561161370221798,sub-02,1.9999999999999996,2
POP,1.0000000218963878,0.0,0.0,4,0,inf,0.0,sub-05,0.0,3
MATCH,1.0000000218963878,0.9999999844225683,0.9950924502289801,8,0,62.38821858557844,0.22278538197621195,sub-05,1.9999999999999991,3
WRONG,1.0000000218963878,0.9999999916463927,1.08839094419335,8,0,36.11899045543135,0.28730191274012656,sub-05,1.9999999999999993,3
POP,1.0000000049555406,0.0,0.0,4,0,inf,0.0,sub-02,0.0,4
MATCH,1.0000000051839955,0.9999999912684012,0.6608396485261291,8,0,1010.4638776612076,0.055792772870079145,sub-02,2.0000000000000013,4
WRONG,1.0000000072076154,0.9999999912684012,1.6818203299162333,8,0,308.2788262789046,0.11196755393148064,sub-02,2.0,4
POP,1.0000000056676233,0.0,0.0,4,0,inf,0.0,sub-05,0.0,5
MATCH,1.000000007154422,0.9999999904477422,0.5465113375948416,8,0,52.81155793181407,0.2241927090951616,sub-05,2.0,5
WRONG,1.0000000056676233,0.9999999856169465,0.6174502333907748,8,0,93.06699837994206,0.16933765873712275,sub-05,1.9999999999999993,5
POP,1.0000000056676233,0.0,0.0,4,0,inf,0.0,sub-02,0.0,6
MATCH,1.0000000056676233,0.9999999764177279,23.119023493954927,8,0,42613.59562349442,0.009957933870278199,sub-02,2.0,6
WRONG,1.0000000101926856,0.9999999914078469,0.560500344848308,8,0,319.7094876139476,0.09311668276420734,sub-02,2.0,6
POP,1.0000000162873848,0.0,0.0,4,0,inf,0.0,sub-02,0.0,7
MATCH,1.0000000162873848,0.9999999915080833,0.5462669285954422,8,0,122.12345637697273,0.16764973786647636,sub-02,1.9999999999999996,7
WRONG,1.0000000162873848,0.9999999753741167,0.49169022631929504,8,0,182.94664917151957,0.13406380601851678,sub-02,2.0000000000000004,7
POP,1.0000000033140626,0.0,0.0,4,0,inf,0.0,sub-03,0.0,8
MATCH,1.00000001758342,0.9999999913113515,0.773266948533059,8,0,125.97005967820935,0.15216162515988652,sub-03,2.0000000000000004,8
WRONG,1.0000000092553059,0.9999999901646374,0.6685733089426836,8,0,166.07250946040685,0.15197649827662527,sub-03,1.9999999999999996,8
POP,1.0000000033140626,0.0,0.0,4,0,inf,0.0,sub-05,0.0,9
MATCH,1.0000000092553059,0.9999999901646374,0.6685733089426836,8,0,166.07250946040685,0.15197649827662527,sub-05,1.9999999999999996,9
WRONG,1.0000000033140626,0.9999999894532442,1.2047993702054256,8,0,190.78923810140327,0.12637401404977772,sub-05,2.0,9
POP,1.0000000218963878,0.0,0.0,4,0,inf,0.0,sub-03,0.0,10
MATCH,1.0000000218963878,0.9999999843847721,1.1402613383503588,8,0,182.6606537891457,0.13987399203236697,sub-03,1.9999999999999996,10
WRONG,1.0000000233639161,0.9999999761087436,5.773636804927116,8,0,1450.9024536408288,0.05319568562763217,sub-03,2.0,10
POP,1.0000000033140626,0.0,0.0,4,0,inf,0.0,sub-05,0.0,11
MATCH,1.0000000092553059,0.9999999901646374,0.6685733089426836,8,0,166.07250946040685,0.15197649827662527,sub-05,1.9999999999999996,11
WRONG,1.000000007938381,0.9999999909090919,2.0885078244184876,8,0,830.476513297075,0.06037201526803587,sub-05,2.0,11
POP,1.0000000049555406,0.0,0.0,4,0,inf,0.0,sub-03,0.0,12
MATCH,1.0000000049555406,0.9999999912684012,0.6477426192031057,8,0,162.51375760737344,0.13992556207171053,sub-03,2.0,12
WRONG,1.0000000049555406,0.9999999842562199,0.777418268918034,8,0,205.89221401707618,0.15481598417202344,sub-03,2.0,12
POP,1.0000000139642775,0.0,0.0,4,0,inf,0.0,sub-05,0.0,13
MATCH,1.0000000163930096,0.9999999936089646,1.4701843654926738,8,0,201.22277852746967,0.128553916121917,sub-05,1.9999999999999984,13
WRONG,1.0000000139642775,0.9999999936089646,0.9053686012921878,8,0,128.83085594050212,0.15881970982573254,sub-05,1.9999999999999996,13
POP,1.0000000033140626,0.0,0.0,4,0,inf,0.0,sub-03,0.0,14
MATCH,1.00000001758342,0.9999999913113515,0.773266948533059,8,0,125.97005967820935,0.15216162515988652,sub-03,2.0000000000000004,14
