method,parameters,updates,NFE,mean_seconds,peak_gpu_memory_mb
DET-CLEAN,943683,8000,1,0.012008487396532663,150.44524926933454
DIFF-CLEAN-K8,943683,8000,200,0.8827461046148921,150.44524926933454
