method,participants,rrmse,correlation,delta_snr,paired_spectral_utility
DET-CLEAN-MATCH,9,0.4327853040562735,0.8991520347065628,0.46373338459266544,-0.0714996666819961
DET-CLEAN-POP,9,0.4351048739971938,0.8975160453140367,0.42524862427402427,-0.07084837528290572
DET-CLEAN-WRONG-1,8,0.4310450181365013,0.8981357702781712,0.16617023688741028,-0.07227920927107334
DET-CLEAN-WRONG-2,8,0.4459890232731899,0.890502050449208,0.23191641829907894,-0.062067206017673016
DET-CLEAN-WRONG-3,8,0.4514142852276564,0.8895662117338462,0.28170813061296945,-0.0748875013863047
DET-CLEAN-WRONG-4,8,0.4414463297774394,0.8945394569908423,0.5050792427112658,-0.06728661557038626
DET-CLEAN-WRONG-5,8,0.41459839915235835,0.9086373555921514,0.42033232065538567,-0.05697851348668337
DET-CLEAN-WRONG-6,8,0.4229138847440481,0.9032470724815373,0.7755766256401936,-0.053599157370626926
DET-CLEAN-WRONG-7,8,0.43369339096049464,0.8983013094497354,0.5055661536753178,-0.0772231686860323
DET-CLEAN-WRONG-8,8,0.4496351145207882,0.8914981106101665,-0.21542653907090423,-0.08784667061020932
DET-CLEAN-WRONG-9,8,0.43479706533253193,0.8980002071937151,0.5056905324260393,-0.09845869150012732
DET-CLEAN-WRONG-op,9,0.4351048739971938,0.8975160453140367,0.42524862427402427,-0.07084837528290572
DIFF-CLEAN-MATCH-K1,9,0.49750333417344983,0.866376260435592,-0.7672576793917903,-0.07476132694217892
DIFF-CLEAN-MATCH-K8,9,0.40079946650399095,0.9139600886087869,1.2002763494642243,-0.04107259131140179
DIFF-CLEAN-POP-K1,9,0.5045289904982955,0.8612783348806686,-0.893036264512274,-0.0802677599368272
DIFF-CLEAN-POP-K8,9,0.4046202180562196,0.9117522184767708,1.1165603235088013,-0.047076312756096875
DIFF-CLEAN-WRONG-1-K1,8,0.49221580661833286,0.8673050140739063,-1.0386972439519013,-0.07930724695324898
DIFF-CLEAN-WRONG-1-K8,8,0.39646640699356794,0.9144302115852565,0.9413498754729517,-0.047335694544017315
DIFF-CLEAN-WRONG-2-K1,8,0.5223361390332382,0.8523661992278244,-1.203370401635766,-0.0727624719341596
DIFF-CLEAN-WRONG-2-K8,8,0.42402251188953716,0.9005357340885372,0.7105832422773043,-0.034126597456634045
DIFF-CLEAN-WRONG-3-K1,8,0.5544740209976833,0.83349308357602,-1.537229417512814,-0.09116681665182114
DIFF-CLEAN-WRONG-3-K8,8,0.44556629471480846,0.8921252996929296,0.45439566113054747,-0.05562063803275426
DIFF-CLEAN-WRONG-4-K1,8,0.4930965683112542,0.8679567247045019,-0.4842144480595987,-0.0737595840667685
DIFF-CLEAN-WRONG-4-K8,8,0.40355300965408486,0.9123179049855137,1.33404784820353,-0.04032922970751921
DIFF-CLEAN-WRONG-5-K1,8,0.46937787036101025,0.8850575536206109,-0.6904096092718343,-0.06190835280964772
DIFF-CLEAN-WRONG-5-K8,8,0.3649145122617483,0.9306033485248443,1.5403718762099743,-0.01950271738072236
DIFF-CLEAN-WRONG-6-K1,8,0.5035374574363232,0.8659912821279605,-0.7548952251672745,-0.06062074750661851
DIFF-CLEAN-WRONG-6-K8,8,0.3873008576532205,0.918563197471278,1.5913505794039033,-0.011464551712075867
DIFF-CLEAN-WRONG-7-K1,8,0.49920694902539253,0.8634293827518862,-0.7795350415011247,-0.0770368923743566
DIFF-CLEAN-WRONG-7-K8,8,0.41828779752055806,0.9068894980544917,0.8445170509318511,-0.05800382327288389
DIFF-CLEAN-WRONG-8-K1,8,0.5260193720459938,0.8496856417800263,-1.6130578008790812,-0.10487582472463448
DIFF-CLEAN-WRONG-8-K8,8,0.4245413802564144,0.9045976412392823,0.3108717548505713,-0.07592686793456475
DIFF-CLEAN-WRONG-9-K1,8,0.5054394192993641,0.8592282691387272,-0.8487067104627689,-0.1154209633047382
DIFF-CLEAN-WRONG-9-K8,8,0.4101718620707592,0.9107490938034919,1.0485698864019164,-0.09273384480426708
DIFF-CLEAN-WRONG-op-K1,9,0.5045289904982955,0.8612783348806686,-0.893036264512274,-0.0802677599368272
DIFF-CLEAN-WRONG-op-K8,9,0.4046202180562196,0.9117522184767708,1.1165603235088013,-0.047076312756096875
RAW,9,0.4913322555798071,0.8963183225497198,0.0,0.0
