# M8 EEGdenoiseNet — EOG (overall mean over SNR −7..2 dB)
method,RRMSE_temporal,RRMSE_spectral,CC
Noisy,2.1931,14.4064,0.5004
SDEdit,2.2309,12.9319,0.4487
CondDiff,0.5437,0.5406,0.8425
FCNN,0.4957,0.5019,0.8572
SimpleCNN,0.3720,0.3833,0.9125
ComplexCNN,0.3686,0.3610,0.9094
RNN_LSTM,0.6059,0.5738,0.7842
NovelCNN,0.4107,0.4087,0.8775
