# M8 EEGdenoiseNet — EMG (overall mean over SNR −7..2 dB)
method,RRMSE_temporal,RRMSE_spectral,CC
Noisy,2.1931,4.1151,0.5064
SDEdit,1.5047,3.2351,0.5794
CondDiff,0.8371,0.7275,0.6227
FCNN,0.5781,0.5811,0.7928
SimpleCNN,0.7394,0.8227,0.7400
ComplexCNN,0.9484,1.3715,0.6913
RNN_LSTM,0.6302,0.6117,0.7594
NovelCNN,0.4880,0.5101,0.8312
