attenuation,participant,preservation
-0.7858932999718707,sub-02,-0.19671065814500951
-0.13416284521777774,sub-03,-0.12981652219412512
-0.057317358072940396,sub-05,-0.18217487676220437
0.014907471169910536,sub-06,-0.24209839650148637
-0.07862092432137142,sub-07,-0.1795744887452997
-0.2718074093166754,sub-09,-0.29654508991322576
-0.12432028014141168,sub-11,-0.08093829907160244
-0.0809533939978954,sub-12,-0.26511678079986895
-1.103826590495991,sub-14,-0.23188095862136962
-0.3329626233846516,sub-15,-0.2906511391737529
-0.34110866400203155,sub-17,-0.3985427646541313
-0.3111580599570638,sub-18,-0.3063862433634426
-2.1930107090057818,sub-19,-0.2723686396219757
-0.08740002343042914,sub-21,-0.14429132327255287
-0.42979216582104457,sub-23,-0.1909104125843665
