artifact_attenuation_db,covariance_distortion,eeg_eog_coherence_reduction,erp_proxy,heldout_eog_remaining_ratio,method,observation_change_ratio,output_input_rms_ratio,participant,preservation,psd_distortion,seed,ssvep_proxy
-2.158326491919312,0.2611897201264629,0.03365455238970152,0.7843194439796085,1.8697935127994347,OF_DET_MATCH,0.20193394555308367,0.9756931878703425,sub-02,0.7843194439796085,0.427738688035945,20260808,0.7843194439796085
0.16160508907444293,0.1422958353869714,0.04721487007858154,0.8509524738438793,0.9862364144185367,OF_DET_MATCH,0.13824940531471885,0.9823441421487749,sub-03,0.8509524738438793,0.23388687083868107,20260808,0.8509524738438793
0.06660875623719233,0.1605532604318647,0.02924862480121417,0.8247515069474836,0.9976106084557301,OF_DET_MATCH,0.13039140538254887,0.9913706721917818,sub-05,0.8247515069474836,0.26638732958335304,20260808,0.8247515069474836
-0.7318978192439918,0.10904966039893495,0.01597678924572732,0.8906120468760949,1.1834119946214583,OF_DET_WRONG,0.10004473143696274,0.9927565206927884,sub-02,0.8906120468760949,0.30657056049342796,20260808,0.8906120468760949
-0.7615327585525273,0.23720716973684008,0.027169491270917622,0.7642545156695579,1.115530591578019,OF_DET_WRONG,0.21656926695352016,1.0061578724094329,sub-03,0.7642545156695579,0.2873810489049284,20260808,0.7642545156695579
-0.32820252328183425,0.36113789865240253,0.012044374421139476,0.6929401604186815,1.0532256650559835,OF_DET_WRONG,0.22725204808767988,1.0252439889086513,sub-05,0.6929401604186815,0.32405410035594545,20260808,0.6929401604186815
-0.6984054473262202,0.0933638644200726,0.016377382904072008,0.910543857655941,1.236404739371191,POP_MARGINAL_DET,0.0842068404237956,0.9926887773657093,sub-02,0.910543857655941,0.2299613737230279,20260808,0.910543857655941
0.34226408062016045,0.09023229547257584,0.03645826253568729,0.9021813684494399,0.9629347222636083,POP_MARGINAL_DET,0.09380439000920554,0.9827935045939729,sub-03,0.9021813684494399,0.1583630881613359,20260808,0.9021813684494399
0.0688864927510955,0.09432609201170485,0.01928964692746377,0.9003005119920834,0.9943501131042898,POP_MARGINAL_DET,0.080076391164829,0.9870484228618991,sub-05,0.9003005119920834,0.1780653530542302,20260808,0.9003005119920834
-2.442408029744405,0.2884630570529318,0.03593271266385197,0.7318353485823391,2.0134935833134406,OF_SCAD_K1_MATCH,0.2504993135240844,0.9861440811442485,sub-02,0.7318353485823391,0.5300896287887595,20260808,0.7318353485823391
