path,query_eog_reads,query_operator_reads,sealed_reads,sha256,size
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_0_seed_20260808.npz,0,0,0,64bb20a3d05eb7ccfec80bd1e1137dd8843b6b52562132a1559155344a041a19,75725131
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_0_seed_20260810.npz,0,0,0,cd13a545380b48802db89f3a00e0d00bf4a800e6707b2f8e0c27212fbbf195cb,75764385
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_0_seed_20260811.npz,0,0,0,5275001b1c66705391b7728a79202a1bee59ae2aaeaa11267d851e27abbb0ede,75702866
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_1_seed_20260808.npz,0,0,0,4631b3a773a026ba709b93ba746d6d07c336f6609220a057db562f622f0a0f66,75814234
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_1_seed_20260810.npz,0,0,0,52b104323a1fcf889e2dbeee18ecfe50db7bdf6312176fc302eb9ff0a8480ab9,75787512
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_1_seed_20260811.npz,0,0,0,63b37948a245d8b8e8b20b1959001183e7c5639329892d9cdeefaa8151c1b269,75816636
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_2_seed_20260808.npz,0,0,0,3a73ed538c46c9157564ee5f5013337d4f42d6f2035170f63cc8dd424a25bde2,75827833
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_2_seed_20260810.npz,0,0,0,a32cafa7efabbedc2e84a67d1876468a9b1925ef121a999cc21f8d945e323540,75826345
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_2_seed_20260811.npz,0,0,0,0d28c859bd845307799717d56a33440eaa3a037c2ed76ea71864844b90a48f94,75849532
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_3_seed_20260808.npz,0,0,0,278ac3ca8f1d3e2c07b527777f4cae1961cf9c80dfb3c6c11ae5ccac3f943240,75796351
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_3_seed_20260810.npz,0,0,0,4f575e8b291d0b0196a3913c10161f62686fa96c6110bd6d14e358ba47fdef61,75781645
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_3_seed_20260811.npz,0,0,0,ab9434ad505f52c640d4112bc6964e519c7cd2215cb9e383d8873176a1df3e95,75759841
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_4_seed_20260808.npz,0,0,0,6e3aa5b5f21a8469375e798550418816856fa500b9b2c4ba9a7aca7df1b3b846,75817921
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_4_seed_20260810.npz,0,0,0,f136efb46e7216dc76129332bb4fe94f204090fc0126f76bca40b2d0a88b663e,75846726
/projects/EEG-foundation-model/derived/denoiseNet/of_scad_v23/predictions/natural/fold_4_seed_20260811.npz,0,0,0,a68a80bd3a1fe78984229931da374b808238de6ff561680e592b87b13f8cef32,75829359
