package,seed,participant,method,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
CURRENT,20260808,1,DET-MATCH,0.0637629877192169,0.8038675586382548,0.046714797060227735,0.10127360297068204,0.33055555555555555,0.966109231813478
CURRENT,20260808,1,DIFF-MATCH,0.06470517896382823,0.8098514502247175,0.04439447110673559,0.10197251100532125,0.3541666666666667,0.9682372064523895
CURRENT,20260808,1,DIFF-POP,0.0664087514276391,0.7687386125326157,0.051219068642949776,0.10918648933873605,0.2972222222222222,0.9651705546502671
CURRENT,20260808,1,LINEAR-MATCH,0.05699522734403484,0.8093478679656982,0.04197873553614134,0.07742412103720676,0.375,0.9719587015266448
CURRENT,20260808,1,RAW,0.0,1.0,0.0,0.0,0.3361111111111111,1.0
CURRENT,20260808,2,DET-MATCH,0.10740316071061475,0.7776477734247843,0.09592761562641916,0.16089028420075246,0.12222222222222219,0.9256402868810141
CURRENT,20260808,2,DIFF-MATCH,0.10761527363082395,0.7899433076381683,0.09184382352199914,0.15478507904863548,0.1763888888888889,0.9295464402231528
CURRENT,20260808,2,DIFF-POP,0.10333402484819194,0.8068969945112864,0.0812586698808542,0.13788472900971646,0.20138888888888892,0.9402745490863916
CURRENT,20260808,2,LINEAR-MATCH,0.10354248100156326,0.8045034408569336,0.08917050129699355,0.1008305489768452,0.15,0.9300134388815358
CURRENT,20260808,2,RAW,0.0,1.0,0.0,0.0,0.11111111111111109,1.0
CURRENT,20260808,3,DET-MATCH,0.1200864145090191,0.814273938536644,0.07579845711672797,0.12683034501976823,0.013888888888888876,0.9352767669843939
CURRENT,20260808,3,DIFF-MATCH,0.12162142410072775,0.813147097826004,0.07091736625853763,0.12525016182163143,-0.00416666666666667,0.9428909153145321
CURRENT,20260808,3,DIFF-POP,0.1168815209572271,0.820086382329464,0.07058450161763122,0.12041885862544384,-0.06666666666666671,0.9463625211947982
CURRENT,20260808,3,LINEAR-MATCH,0.1115480086829667,0.8382201194763184,0.060981869648424634,0.08797210533271065,-0.036111111111111094,0.9514448307306785
CURRENT,20260808,3,RAW,0.0,1.0,0.0,0.0,-0.05000000000000001,1.0
CURRENT,20260808,4,DET-MATCH,0.11965426330353264,0.7977224538723627,0.06317479726910143,0.10296461468254277,0.7290528233151184,0.9436179759848179
CURRENT,20260808,4,DIFF-MATCH,0.11938690069738835,0.7999315485358238,0.05960859592110567,0.09682931793073164,0.7332194899817851,0.9491635259519876
CURRENT,20260808,4,DIFF-POP,0.10424725537524937,0.782603308558464,0.06402431869077549,0.10183806123820734,0.7082194899817851,0.9479602713602251
CURRENT,20260808,4,LINEAR-MATCH,0.11432153127406754,0.807539184888204,0.06398455840033153,0.08629142575318809,0.7373861566484518,0.9419854205882178
CURRENT,20260808,4,RAW,0.0,1.0,0.0,0.0,0.7746718621821165,1.0
CURRENT,20260808,5,DET-MATCH,0.10734299340009641,0.8118306497732798,0.0880144059198295,0.11814630864704134,0.5482102298537295,0.9171325330973877
CURRENT,20260808,5,DIFF-MATCH,0.10791868479766381,0.8097426518797874,0.0895862786205013,0.12078289760072834,0.5482102298537295,0.9167494803074602
CURRENT,20260808,5,DIFF-POP,0.10281452848427852,0.7984564999739329,0.09384345063614526,0.12600912409534648,0.5745991187426184,0.9145349678666103
CURRENT,20260808,5,LINEAR-MATCH,0.10247088158371113,0.8348292956749598,0.0792286061333549,0.09665038935384777,0.5370991187426184,0.9333551411413664
CURRENT,20260808,5,RAW,0.0,1.0,0.0,0.0,0.6120755229557185,1.0
CURRENT,20260808,6,DET-MATCH,0.11875510629199149,0.8129649112621943,0.07789374551352224,0.18549850160977532,0.3666666666666667,0.9309212835253357
CURRENT,20260808,6,DIFF-MATCH,0.11787998516133176,0.8165704881151518,0.07045451590257348,0.1764254326698731,0.3361111111111111,0.9398964378899363
CURRENT,20260808,6,DIFF-POP,0.10853336422467463,0.8280098040898641,0.06531587768327078,0.1744804075543973,0.3541666666666667,0.9435755733449439
CURRENT,20260808,6,LINEAR-MATCH,0.10595785323664193,0.8548542310794195,0.05910239588742408,0.10366534280261054,0.4083333333333334,0.9505361946620782
CURRENT,20260808,6,RAW,0.0,1.0,0.0,0.0,0.3361111111111111,1.0
CURRENT,20260808,7,DET-MATCH,0.11434251837321661,0.7595209529002508,0.07937125790958142,0.12162307148498765,0.1805555555555555,0.9338625479919559
CURRENT,20260808,7,DIFF-MATCH,0.11463358784760129,0.7616862058639526,0.07539459949097703,0.12141320057453615,0.1972222222222222,0.9400051451138117
CURRENT,20260808,7,DIFF-POP,0.104952424069247,0.7561806018153826,0.07682510266119165,0.12296425742971123,0.20972222222222223,0.9372382283874563
