package,method,participants,seeds,rrmse,correlation,delta_snr,paired_spectral_utility
CURRENT,DET-MATCH,9,3,0.11286684712050138,0.9930971591542246,12.474756823645698,0.17250951486467211
CURRENT,DIFF-MATCH,9,3,0.11350596847909468,0.9928711342929363,12.401777642744559,0.16747165302297584
CURRENT,DIFF-POP,9,3,0.14868935156199667,0.9881528825577455,9.87909166238926,0.14378934270805782
CURRENT,LINEAR-MATCH,9,3,0.08759881297333373,0.9930368389180553,18.06538368154455,0.19234419803790473
CURRENT,RAW,9,3,0.48850793419060884,0.8971713112480465,0.0,0.0
OPPOST,OPPOST-MATCH,9,3,0.2042607150879907,0.9721573673060796,8.327860043372636,0.1415732181918474
OPPOST,OPPOST-POP,9,3,0.15984646948399367,0.9853815310221883,9.57384831228374,0.148138888778142
OPPOST,OPPOST-WRONG-1,8,3,0.2519853621100386,0.9630728440109991,6.473112212287055,0.13743969979178575
OPPOST,OPPOST-WRONG-2,8,3,0.28006836699528825,0.9529926965477488,5.655426073508958,0.13369013850266734
OPPOST,OPPOST-WRONG-3,8,3,0.2765481512372692,0.9554370969669215,5.706416827885227,0.14239472145628598
OPPOST,OPPOST-WRONG-4,8,3,0.211018195686241,0.975590236964436,7.34523622194926,0.15121178986090753
OPPOST,OPPOST-WRONG-5,8,3,0.350261134819852,0.9356481665590667,3.2172395192707577,0.11524955374706122
OPPOST,OPPOST-WRONG-6,8,3,0.5774894809971253,0.8735499428873582,0.018037357471055455,0.052377304113987416
OPPOST,OPPOST-WRONG-7,8,3,0.243227852611906,0.9657253190984293,6.353057894441816,0.14004637171617812
OPPOST,OPPOST-WRONG-8,8,3,0.20253277176784146,0.9771204864658591,7.23086812823183,0.13811155144746104
OPPOST,OPPOST-WRONG-9,8,3,0.23128630686551332,0.9707760608876873,6.523009442620808,0.13863968792267972
