participant,U_P_OP,U_W_OP,match_rrmse,pop_rrmse,wrong_rrmse
1,0.05884312589963276,0.1378736952319741,0.17177106357283065,0.23061418947246337,0.30964475880480474
2,0.004687908622953633,0.10336720550225842,0.16917267441749573,0.17386058304044938,0.27253987991975415
3,0.02213546550936168,0.10912834087179767,0.1183934940232171,0.1405289595325788,0.22752183489501476
4,0.04039677480856577,0.17857834417372942,0.10441266579760446,0.1448094406061702,0.2829910099713339
5,-0.13973737011353174,0.12209971621632576,0.26561135550340015,0.1258739853898684,0.3877110717197259
6,-0.29336054623126984,-0.24087402804030314,0.43559347838163376,0.14223293215036392,0.19471945034133062
7,-0.01579941064119339,0.055821311556630664,0.17820984373490015,0.16241043309370676,0.23403115529153082
8,-0.037103156248728425,0.29647352536105454,0.2180095116297404,0.18090635538101196,0.514483036990795
9,-0.03979100204176373,0.023603076425691455,0.17717234873109391,0.1373813466893302,0.2007754251567854
