fold,participant,role,support_session,query_session
0,19,train,ses_0,ses_1
0,20,train,ses_0,ses_1
0,21,train,ses_0,ses_1
0,22,train,ses_0,ses_1
0,23,train,ses_0,ses_1
0,24,train,ses_0,ses_1
0,25,train,ses_0,ses_1
0,26,train,ses_0,ses_1
0,27,train,ses_0,ses_1
0,28,train,ses_0,ses_1
0,29,train,ses_0,ses_1
0,30,train,ses_0,ses_1
0,31,train,ses_0,ses_1
0,32,train,ses_0,ses_1
0,33,train,ses_0,ses_1
0,34,train,ses_0,ses_1
0,35,train,ses_0,ses_1
0,36,train,ses_0,ses_1
0,37,train,ses_0,ses_1
0,38,train,ses_0,ses_1
0,39,train,ses_0,ses_1
0,40,train,ses_0,ses_1
0,41,train,ses_0,ses_1
0,42,train,ses_0,ses_1
0,43,train,ses_0,ses_1
0,44,train,ses_0,ses_1
0,45,train,ses_0,ses_1
0,46,train,ses_0,ses_1
0,47,train,ses_0,ses_1
0,48,train,ses_0,ses_1
0,49,train,ses_0,ses_1
0,50,train,ses_0,ses_1
0,51,train,ses_0,ses_1
0,52,train,ses_0,ses_1
0,53,train,ses_0,ses_1
0,54,train,ses_0,ses_1
0,10,validation,ses_0,ses_1
0,11,validation,ses_0,ses_1
0,12,validation,ses_0,ses_1
0,13,validation,ses_0,ses_1
0,14,validation,ses_0,ses_1
0,15,validation,ses_0,ses_1
0,16,validation,ses_0,ses_1
0,17,validation,ses_0,ses_1
0,18,validation,ses_0,ses_1
0,1,test,ses_0,ses_1
0,2,test,ses_0,ses_1
0,3,test,ses_0,ses_1
0,4,test,ses_0,ses_1
0,5,test,ses_0,ses_1
0,6,test,ses_0,ses_1
0,7,test,ses_0,ses_1
0,8,test,ses_0,ses_1
0,9,test,ses_0,ses_1
1,1,train,ses_0,ses_1
1,2,train,ses_0,ses_1
1,3,train,ses_0,ses_1
1,4,train,ses_0,ses_1
1,5,train,ses_0,ses_1
1,6,train,ses_0,ses_1
1,7,train,ses_0,ses_1
1,8,train,ses_0,ses_1
1,9,train,ses_0,ses_1
1,28,train,ses_0,ses_1
1,29,train,ses_0,ses_1
1,30,train,ses_0,ses_1
1,31,train,ses_0,ses_1
1,32,train,ses_0,ses_1
1,33,train,ses_0,ses_1
1,34,train,ses_0,ses_1
1,35,train,ses_0,ses_1
1,36,train,ses_0,ses_1
1,37,train,ses_0,ses_1
1,38,train,ses_0,ses_1
1,39,train,ses_0,ses_1
1,40,train,ses_0,ses_1
1,41,train,ses_0,ses_1
1,42,train,ses_0,ses_1
1,43,train,ses_0,ses_1
1,44,train,ses_0,ses_1
1,45,train,ses_0,ses_1
1,46,train,ses_0,ses_1
1,47,train,ses_0,ses_1
1,48,train,ses_0,ses_1
1,49,train,ses_0,ses_1
1,50,train,ses_0,ses_1
1,51,train,ses_0,ses_1
1,52,train,ses_0,ses_1
1,53,train,ses_0,ses_1
1,54,train,ses_0,ses_1
1,19,validation,ses_0,ses_1
1,20,validation,ses_0,ses_1
1,21,validation,ses_0,ses_1
1,22,validation,ses_0,ses_1
1,23,validation,ses_0,ses_1
1,24,validation,ses_0,ses_1
1,25,validation,ses_0,ses_1
1,26,validation,ses_0,ses_1
1,27,validation,ses_0,ses_1
1,10,test,ses_0,ses_1
1,11,test,ses_0,ses_1
1,12,test,ses_0,ses_1
1,13,test,ses_0,ses_1
1,14,test,ses_0,ses_1
1,15,test,ses_0,ses_1
1,16,test,ses_0,ses_1
1,17,test,ses_0,ses_1
1,18,test,ses_0,ses_1
2,1,train,ses_0,ses_1
2,2,train,ses_0,ses_1
2,3,train,ses_0,ses_1
2,4,train,ses_0,ses_1
2,5,train,ses_0,ses_1
2,6,train,ses_0,ses_1
2,7,train,ses_0,ses_1
2,8,train,ses_0,ses_1
2,9,train,ses_0,ses_1
2,10,train,ses_0,ses_1
2,11,train,ses_0,ses_1
2,12,train,ses_0,ses_1
2,13,train,ses_0,ses_1
2,14,train,ses_0,ses_1
2,15,train,ses_0,ses_1
2,16,train,ses_0,ses_1
2,17,train,ses_0,ses_1
2,18,train,ses_0,ses_1
