method,comparator,metric,positive_utility_direction,participant_mean_utility,participant_median_utility,positive_count,participants,bootstrap_ci_low,bootstrap_ci_high
SARD-Bridge,RAW,fixed_head_balanced_accuracy,SARD higher,-0.0004629629629629675,0.0,8,54,-0.0018518518518518556,0.0007407407407407393
SARD-Bridge,RAW,adaptive_subject_attack_recall,SARD lower,-0.16879629629629628,-0.15999999999999998,0,54,-0.18796296296296294,-0.1504606481481482
SARD-Bridge,RAW,cross_session_same_different_auroc,SARD lower,-0.012917476970596283,-0.013074688036509574,12,54,-0.017232571448135545,-0.008684746163304582
SARD-Bridge,LEACE,fixed_head_balanced_accuracy,SARD higher,0.04203703703703703,0.04249999999999998,46,54,0.03166666666666666,0.05213194444444443
SARD-Bridge,LEACE,adaptive_subject_attack_recall,SARD lower,-0.2881481481481481,-0.29000000000000004,0,54,-0.31953935185185184,-0.2582407407407407
SARD-Bridge,LEACE,cross_session_same_different_auroc,SARD lower,-0.03984742373299609,-0.03593188464445651,2,54,-0.048020700842834226,-0.032165208933654266
SARD-Bridge,OneStep-Bridge,fixed_head_balanced_accuracy,SARD higher,-0.00018518518518518534,0.0,9,54,-0.0013888888888888922,0.0009259259259259247
SARD-Bridge,OneStep-Bridge,adaptive_subject_attack_recall,SARD lower,-0.1472222222222222,-0.15,0,54,-0.16407407407407407,-0.13120138888888888
SARD-Bridge,OneStep-Bridge,cross_session_same_different_auroc,SARD lower,-0.014254774395599634,-0.013174262148829441,9,54,-0.01781620693182222,-0.010741482668564869
SARD-Bridge,Gaussian-Bridge,fixed_head_balanced_accuracy,SARD higher,0.007222222222222217,0.00500000000000006,33,54,0.0028703703703703586,0.01194444444444444
SARD-Bridge,Gaussian-Bridge,adaptive_subject_attack_recall,SARD lower,-0.3454629629629629,-0.3350000000000001,0,54,-0.3814814814814814,-0.3089791666666667
SARD-Bridge,Gaussian-Bridge,cross_session_same_different_auroc,SARD lower,-0.04449454732477765,-0.03742641230815563,0,54,-0.05248062592534035,-0.03722547749232118
SARD-Bridge,Stratified-Resample,fixed_head_balanced_accuracy,SARD higher,-0.0004629629629629675,0.0,8,54,-0.0018518518518518556,0.0007407407407407393
SARD-Bridge,Stratified-Resample,adaptive_subject_attack_recall,SARD lower,-0.3665740740740741,-0.365,0,54,-0.4007430555555555,-0.3312939814814816
SARD-Bridge,Stratified-Resample,cross_session_same_different_auroc,SARD lower,-0.046562531258740054,-0.04301985094581501,1,54,-0.05520007808805106,-0.03855432982810727
