fold,participant,role,session,selection,support_trials,class_0_trials,class_1_trials,gallery_trials,query_trials,support_query_overlap
0,19,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,20,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,21,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,22,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,23,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,24,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,25,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,26,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,27,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,28,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,29,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,30,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,31,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,32,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,33,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,34,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,35,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,36,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,37,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,38,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,39,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,40,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,41,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,42,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,43,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,44,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,45,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,46,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,47,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,48,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,49,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,50,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,51,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,52,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,53,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,54,train,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,10,validation,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,11,validation,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,12,validation,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,13,validation,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
0,14,validation,ses_0,chronological first 10 trials per true MI class,20,10,10,80,100,0
