dataset,processed_cache_id,subject,original_subject,session,original_session,run,recording_id,channels,samples,trials,left_trials,right_trials,filepath
MOABB Lee2019_MI (OpenBMI),4704743c,0,2,ses_0,1,run_0,0,62,286960,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_0_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,0,2,ses_1,2,run_0,1,62,274784,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_0_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,1,8,ses_0,1,run_0,2,62,284224,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_1_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,1,8,ses_1,2,run_0,3,62,269784,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_1_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,2,4,ses_0,1,run_0,4,62,276944,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_2_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,2,4,ses_1,2,run_0,5,62,275208,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_2_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,3,6,ses_0,1,run_0,6,62,292912,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_3_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,3,6,ses_1,2,run_0,7,62,278904,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_3_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,4,7,ses_0,1,run_0,8,62,284032,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_4_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,4,7,ses_1,2,run_0,9,62,277328,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_4_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,5,3,ses_0,1,run_0,10,62,268240,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_5_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,5,3,ses_1,2,run_0,11,62,274200,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_5_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,6,1,ses_0,1,run_0,12,62,283608,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_6_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,6,1,ses_1,2,run_0,13,62,303832,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_6_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,7,5,ses_0,1,run_0,14,62,284936,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_7_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,7,5,ses_1,2,run_0,15,62,286008,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_7_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,8,10,ses_0,1,run_0,16,62,304376,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_8_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,8,10,ses_1,2,run_0,17,62,294856,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_8_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,9,9,ses_0,1,run_0,18,62,324904,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_9_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,9,9,ses_1,2,run_0,19,62,272576,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_9_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,10,11,ses_0,1,run_0,20,62,330680,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_10_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,10,11,ses_1,2,run_0,21,62,270672,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_10_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,11,13,ses_0,1,run_0,22,62,293856,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_11_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,11,13,ses_1,2,run_0,23,62,300704,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_11_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,12,12,ses_0,1,run_0,24,62,278456,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_12_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,12,12,ses_1,2,run_0,25,62,275328,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_12_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,13,15,ses_0,1,run_0,26,62,308280,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_13_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,13,15,ses_1,2,run_0,27,62,290112,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_13_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,14,18,ses_0,1,run_0,28,62,324624,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_14_ses_0_run_0.npy
