fold,seed,method,selected_strength,variant
0,20260940,Gaussian-Bridge,medium,canonical
0,20260940,LEACE,strong,canonical
0,20260940,OneStep-Bridge,weak,canonical
0,20260940,RAW,strong,canonical
0,20260940,SARD-Bridge,weak,canonical
0,20260940,Stratified-Resample,strong,canonical
0,20260941,Gaussian-Bridge,medium,canonical
0,20260941,LEACE,strong,canonical
0,20260941,OneStep-Bridge,weak,canonical
0,20260941,RAW,strong,canonical
0,20260941,SARD-Bridge,weak,canonical
0,20260941,Stratified-Resample,medium,canonical
1,20260940,Gaussian-Bridge,strong,canonical
1,20260940,LEACE,strong,canonical
1,20260940,OneStep-Bridge,weak,canonical
1,20260940,RAW,strong,canonical
1,20260940,SARD-Bridge,weak,canonical
1,20260940,Stratified-Resample,medium,canonical
1,20260941,Gaussian-Bridge,medium,canonical
1,20260941,LEACE,strong,canonical
1,20260941,OneStep-Bridge,weak,canonical
1,20260941,RAW,strong,canonical
1,20260941,SARD-Bridge,weak,canonical
1,20260941,Stratified-Resample,medium,canonical
2,20260940,Gaussian-Bridge,strong,canonical
2,20260940,LEACE,strong,canonical
2,20260940,OneStep-Bridge,weak,canonical
2,20260940,RAW,strong,canonical
2,20260940,SARD-Bridge,weak,canonical
2,20260940,Stratified-Resample,strong,canonical
2,20260941,Gaussian-Bridge,strong,canonical
2,20260941,LEACE,strong,canonical
2,20260941,OneStep-Bridge,weak,canonical
2,20260941,RAW,strong,canonical
2,20260941,SARD-Bridge,weak,canonical
2,20260941,Stratified-Resample,strong,canonical
3,20260940,Gaussian-Bridge,medium,canonical
3,20260940,LEACE,strong,canonical
3,20260940,OneStep-Bridge,weak,canonical
3,20260940,RAW,strong,canonical
3,20260940,SARD-Bridge,weak,canonical
3,20260940,Stratified-Resample,strong,canonical
3,20260941,Gaussian-Bridge,medium,canonical
3,20260941,LEACE,strong,canonical
3,20260941,OneStep-Bridge,weak,canonical
3,20260941,RAW,strong,canonical
3,20260941,SARD-Bridge,weak,canonical
3,20260941,Stratified-Resample,medium,canonical
4,20260940,Gaussian-Bridge,medium,canonical
4,20260940,LEACE,strong,canonical
4,20260940,OneStep-Bridge,weak,canonical
4,20260940,RAW,strong,canonical
4,20260940,SARD-Bridge,weak,canonical
4,20260940,Stratified-Resample,medium,canonical
4,20260941,Gaussian-Bridge,strong,canonical
4,20260941,LEACE,strong,canonical
4,20260941,OneStep-Bridge,weak,canonical
4,20260941,RAW,strong,canonical
4,20260941,SARD-Bridge,weak,canonical
4,20260941,Stratified-Resample,medium,canonical
5,20260940,Gaussian-Bridge,medium,canonical
5,20260940,LEACE,strong,canonical
5,20260940,OneStep-Bridge,weak,canonical
5,20260940,RAW,strong,canonical
5,20260940,SARD-Bridge,weak,canonical
5,20260940,Stratified-Resample,medium,canonical
5,20260941,Gaussian-Bridge,medium,canonical
5,20260941,LEACE,strong,canonical
5,20260941,OneStep-Bridge,weak,canonical
5,20260941,RAW,strong,canonical
5,20260941,SARD-Bridge,weak,canonical
5,20260941,Stratified-Resample,strong,canonical
0,20260940,SARD-Bridge,weak,source_adversary_repair
0,20260941,SARD-Bridge,weak,source_adversary_repair
1,20260940,SARD-Bridge,weak,source_adversary_repair
1,20260941,SARD-Bridge,weak,source_adversary_repair
2,20260940,SARD-Bridge,weak,source_adversary_repair
2,20260941,SARD-Bridge,weak,source_adversary_repair
3,20260940,SARD-Bridge,weak,source_adversary_repair
3,20260941,SARD-Bridge,weak,source_adversary_repair
4,20260940,SARD-Bridge,weak,source_adversary_repair
4,20260941,SARD-Bridge,weak,source_adversary_repair
5,20260940,SARD-Bridge,weak,source_adversary_repair
5,20260941,SARD-Bridge,weak,source_adversary_repair
