adaptive_subject_attack_recall,cross_session_same_different_auroc,cross_session_verification_recall,fixed_head_balanced_accuracy,fold,linear_subject_probe_recall,method,participant,seed,strength
0.43,0.533377298563983,0.25,0.72,0,0.3,RAW,1,20260940,strong
0.31,0.5149300067182582,0.11,0.74,0,0.34,RAW,2,20260940,strong
0.11,0.48561164186130334,0.1,0.77,0,0.31,RAW,3,20260940,strong
0.35,0.5318291464632928,0.09,0.9099999999999999,0,0.39,RAW,4,20260940,strong
0.3,0.5584045758403163,0.25,0.76,0,0.41,RAW,5,20260940,strong
0.34,0.5830034109729559,0.47,0.8400000000000001,0,0.46,RAW,6,20260940,strong
0.26,0.5500359866310395,0.4,0.69,0,0.3,RAW,7,20260940,strong
0.42,0.6111476510067114,0.45,0.6,0,0.4,RAW,8,20260940,strong
0.64,0.652388890281503,0.43,0.61,0,0.68,RAW,9,20260940,strong
0.31,0.5160413533061096,0.18,0.68,0,0.18,LEACE,1,20260940,strong
0.13,0.5115718569618195,0.12,0.69,0,0.21,LEACE,2,20260940,strong
0.08,0.5003372925404677,0.02,0.72,0,0.15,LEACE,3,20260940,strong
0.28,0.5137886503740162,0.09,0.87,0,0.26,LEACE,4,20260940,strong
0.21,0.4959853121175031,0.13,0.63,0,0.26,LEACE,5,20260940,strong
0.32,0.5665941288804015,0.45,0.81,0,0.38,LEACE,6,20260940,strong
0.18,0.5170671818437005,0.37,0.63,0,0.25,LEACE,7,20260940,strong
0.29,0.5629769894534996,0.27,0.64,0,0.25,LEACE,8,20260940,strong
0.11,0.5032461835409721,0.08,0.63,0,0.3,LEACE,9,20260940,strong
0.43,0.5469242206188268,0.32,0.72,0,0.36,OneStep-Bridge,1,20260940,weak
0.34,0.5170052237885101,0.09,0.74,0,0.48,OneStep-Bridge,2,20260940,weak
0.09,0.4874492707095158,0.12,0.77,0,0.26,OneStep-Bridge,3,20260940,weak
0.38,0.5245510586974002,0.09,0.9099999999999999,0,0.41,OneStep-Bridge,4,20260940,weak
0.35,0.5391733358440824,0.15,0.76,0,0.42,OneStep-Bridge,5,20260940,weak
0.44,0.5823220829357114,0.4,0.8400000000000001,0,0.44,OneStep-Bridge,6,20260940,weak
0.37,0.5601646934725788,0.45,0.6799999999999999,0,0.4,OneStep-Bridge,7,20260940,weak
0.5,0.6072655800575264,0.41,0.6,0,0.42,OneStep-Bridge,8,20260940,weak
0.69,0.637436392349535,0.41,0.61,0,0.7,OneStep-Bridge,9,20260940,weak
0.15,0.5035524122942379,0.12,0.71,0,0.07,Gaussian-Bridge,1,20260940,medium
0.11,0.5082998889430789,0.09,0.75,0,0.22,Gaussian-Bridge,2,20260940,medium
0.04,0.48641621997973294,0.14,0.77,0,0.17,Gaussian-Bridge,3,20260940,medium
0.07,0.49482030164957,0.07,0.9199999999999999,0,0.24,Gaussian-Bridge,4,20260940,medium
0.23,0.5395188776951323,0.22,0.76,0,0.3,Gaussian-Bridge,5,20260940,medium
0.13,0.533743068922451,0.26,0.8799999999999999,0,0.24,Gaussian-Bridge,6,20260940,medium
0.29,0.5149526637391713,0.3,0.6399999999999999,0,0.26,Gaussian-Bridge,7,20260940,medium
0.21,0.5241188878235858,0.22,0.5900000000000001,0,0.17,Gaussian-Bridge,8,20260940,medium
0.16,0.5209936580352442,0.16,0.55,0,0.24,Gaussian-Bridge,9,20260940,medium
0.29,0.5037581609105785,0.05,0.72,0,0.06,Stratified-Resample,1,20260940,strong
0.08,0.4758759688100456,0.02,0.74,0,0.11,Stratified-Resample,2,20260940,strong
0.15,0.5071973796554987,0.27,0.77,0,0.18,Stratified-Resample,3,20260940,strong
0.09,0.48029336517141397,0.04,0.9099999999999999,0,0.14,Stratified-Resample,4,20260940,strong
0.03,0.5097740325769702,0.14,0.76,0,0.11,Stratified-Resample,5,20260940,strong
0.09,0.5134684146503943,0.26,0.8400000000000001,0,0.11,Stratified-Resample,6,20260940,strong
0.08,0.4938881005177996,0.1,0.69,0,0.12,Stratified-Resample,7,20260940,strong
0.1,0.49425119846596355,0.06,0.6,0,0.08,Stratified-Resample,8,20260940,strong
0.03,0.47525881733637476,0.06,0.61,0,0.06,Stratified-Resample,9,20260940,strong
0.67,0.5543138446078161,0.36,0.72,0,0.65,SARD-Bridge,1,20260940,weak
0.5,0.5438537730952366,0.26,0.74,0,0.66,SARD-Bridge,2,20260940,weak
0.44,0.538584789435899,0.28,0.77,0,0.66,SARD-Bridge,3,20260940,weak
0.49,0.5295173119563363,0.08,0.9099999999999999,0,0.66,SARD-Bridge,4,20260940,weak
0.57,0.5984841352038415,0.46,0.77,0,0.76,SARD-Bridge,5,20260940,weak
