fold,model,path,seed,sha256,selected_epoch
0,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_0_seed_20260940/eegnet_full_pool.pt,20260940,a2c3fcf950daf48a281d2495f04e0e8e72e4f38fc6f68c60f83e0cfe3b0bff05,
0,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_0_seed_20260940/one_step_bridge.pt,20260940,3882ff7961acfa0111ea35cc32a2f496eae59abde0c318adfcbfe199ee2b7d85,25.0
0,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_0_seed_20260940/sard_bridge.pt,20260940,81f70a9698c520ec2fb28fb98d382a4be8516cb399fea840a2d2409f6b67e706,30.0
0,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_0_seed_20260941/eegnet_full_pool.pt,20260941,7c93f246eebfd39beaf7e9adf15f06b013f80f7c2beac7d6afbbc2944d354f38,
0,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_0_seed_20260941/one_step_bridge.pt,20260941,980bbda0ec569c4f449e21bfaf377a9afc4878ac68168820d94c303b28a3820c,15.0
0,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_0_seed_20260941/sard_bridge.pt,20260941,137506bd8974a409851fcb432f9b1f513d521a2064c262148b22eb2785f9a221,30.0
1,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_1_seed_20260940/eegnet_full_pool.pt,20260940,1ae56b463507538ee8d7823dc2f4f84d3ca1eb2957a757ecc7940c47791cfe0b,
1,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_1_seed_20260940/one_step_bridge.pt,20260940,7254133a8a3ed47e5b810761944ef9e7fa7ed03c24dc98efecf1f9ed4cde5296,15.0
1,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_1_seed_20260940/sard_bridge.pt,20260940,80ea4213670335b754dc60c1551a6738c1e241ab3e2a159dbf4acf8b6d98120a,5.0
1,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_1_seed_20260941/eegnet_full_pool.pt,20260941,2f51775ebf02af5c6e3889119ebfdb33189807e35ec66b9081b2bd0d6214eec1,
