augmentation_retrained_head_balanced_accuracy,ensemble_frozen_head_balanced_accuracy,fold,method,release_count,seed
0.741111111111111,0.7366666666666667,0,OneStep-Bridge,8,20260940
0.7333333333333334,0.7311111111111112,0,Gaussian-Bridge,8,20260940
0.7377777777777779,0.7377777777777779,0,Stratified-Resample,8,20260940
0.7433333333333334,0.7366666666666667,0,SARD-Bridge,8,20260940
0.7555555555555555,0.7433333333333333,0,OneStep-Bridge,8,20260941
0.741111111111111,0.7355555555555555,0,Gaussian-Bridge,8,20260941
0.7444444444444445,0.7433333333333333,0,Stratified-Resample,8,20260941
0.76,0.741111111111111,0,SARD-Bridge,8,20260941
0.6922222222222222,0.7133333333333334,1,OneStep-Bridge,8,20260940
0.6977777777777778,0.71,1,Gaussian-Bridge,8,20260940
0.7122222222222223,0.7133333333333334,1,Stratified-Resample,8,20260940
0.6911111111111111,0.711111111111111,1,SARD-Bridge,8,20260940
0.6977777777777778,0.6911111111111111,1,OneStep-Bridge,8,20260941
0.6911111111111111,0.69,1,Gaussian-Bridge,8,20260941
0.6922222222222223,0.6922222222222223,1,Stratified-Resample,8,20260941
0.6944444444444444,0.6888888888888889,1,SARD-Bridge,8,20260941
0.7511111111111111,0.75,2,OneStep-Bridge,8,20260940
0.7466666666666667,0.75,2,Gaussian-Bridge,8,20260940
0.7511111111111111,0.7511111111111111,2,Stratified-Resample,8,20260940
0.7522222222222222,0.7522222222222221,2,SARD-Bridge,8,20260940
0.7544444444444445,0.7611111111111111,2,OneStep-Bridge,8,20260941
0.7611111111111111,0.7622222222222222,2,Gaussian-Bridge,8,20260941
0.7577777777777778,0.7577777777777778,2,Stratified-Resample,8,20260941
0.7555555555555555,0.7611111111111111,2,SARD-Bridge,8,20260941
0.7666666666666667,0.7611111111111111,3,OneStep-Bridge,8,20260940
0.7677777777777778,0.7655555555555555,3,Gaussian-Bridge,8,20260940
0.7622222222222221,0.7622222222222221,3,Stratified-Resample,8,20260940
0.7644444444444445,0.7633333333333333,3,SARD-Bridge,8,20260940
0.7777777777777777,0.7711111111111111,3,OneStep-Bridge,8,20260941
0.7777777777777778,0.77,3,Gaussian-Bridge,8,20260941
0.7722222222222221,0.77,3,Stratified-Resample,8,20260941
0.7811111111111111,0.7722222222222221,3,SARD-Bridge,8,20260941
0.7466666666666667,0.721111111111111,4,OneStep-Bridge,8,20260940
0.73,0.7266666666666667,4,Gaussian-Bridge,8,20260940
0.721111111111111,0.721111111111111,4,Stratified-Resample,8,20260940
0.7444444444444445,0.7233333333333334,4,SARD-Bridge,8,20260940
0.7022222222222223,0.7122222222222222,4,OneStep-Bridge,8,20260941
0.7077777777777778,0.7077777777777778,4,Gaussian-Bridge,8,20260941
0.7133333333333334,0.7133333333333334,4,Stratified-Resample,8,20260941
0.7055555555555555,0.7133333333333334,4,SARD-Bridge,8,20260941
0.731111111111111,0.7344444444444445,5,OneStep-Bridge,8,20260940
0.7355555555555555,0.7266666666666666,5,Gaussian-Bridge,8,20260940
0.7333333333333333,0.7344444444444445,5,Stratified-Resample,8,20260940
0.7344444444444445,0.7322222222222222,5,SARD-Bridge,8,20260940
0.7277777777777779,0.7155555555555555,5,OneStep-Bridge,8,20260941
0.721111111111111,0.7188888888888889,5,Gaussian-Bridge,8,20260941
0.7177777777777778,0.7177777777777778,5,Stratified-Resample,8,20260941
0.7277777777777779,0.7177777777777778,5,SARD-Bridge,8,20260941
