method,metric,participant_mean,participant_median,bootstrap_ci_low,bootstrap_ci_high,participants
Gaussian-Bridge,fixed_head_balanced_accuracy,0.7268518518518519,0.72,0.7013888888888887,0.7520370370370371,54
LEACE,fixed_head_balanced_accuracy,0.6920370370370371,0.6775,0.6697199074074073,0.7146319444444446,54
OneStep-Bridge,fixed_head_balanced_accuracy,0.7342592592592593,0.73,0.7095370370370371,0.7587986111111111,54
RAW,fixed_head_balanced_accuracy,0.7345370370370371,0.73,0.7099050925925925,0.759076388888889,54
SARD-Bridge,fixed_head_balanced_accuracy,0.734074074074074,0.7275,0.7092592592592594,0.7587060185185186,54
Stratified-Resample,fixed_head_balanced_accuracy,0.7345370370370371,0.73,0.7099050925925925,0.759076388888889,54
Gaussian-Bridge,adaptive_subject_attack_recall,0.15657407407407403,0.14750000000000002,0.14175925925925928,0.1722222222222222,54
LEACE,adaptive_subject_attack_recall,0.21388888888888888,0.21000000000000002,0.19175925925925927,0.2362037037037037,54
OneStep-Bridge,adaptive_subject_attack_recall,0.3548148148148148,0.3675,0.31731250000000005,0.39083333333333325,54
RAW,adaptive_subject_attack_recall,0.3332407407407408,0.32999999999999996,0.2959259259259259,0.36999999999999994,54
SARD-Bridge,adaptive_subject_attack_recall,0.5020370370370371,0.5025,0.46573611111111096,0.5372245370370371,54
Stratified-Resample,adaptive_subject_attack_recall,0.13546296296296295,0.125,0.12166666666666666,0.14935185185185185,54
Gaussian-Bridge,cross_session_same_different_auroc,0.508432684167668,0.5059196892755786,0.5050145121502404,0.5118170324818491,54
LEACE,cross_session_same_different_auroc,0.5130798077594496,0.5123382077537145,0.5090948856655659,0.5171495021815496,54
OneStep-Bridge,cross_session_same_different_auroc,0.538672457096846,0.5345086339685957,0.530187552037788,0.5474957476029546,54
RAW,cross_session_same_different_auroc,0.5400097545218492,0.535977806717529,0.5306126885635419,0.5502203348099943,54
SARD-Bridge,cross_session_same_different_auroc,0.5529272314924456,0.5475472965063117,0.5446975605526715,0.5615080721294601,54
Stratified-Resample,cross_session_same_different_auroc,0.5063647002337055,0.5031903515733197,0.5029645099715403,0.510096469766948,54
