between_query_variation,duplicate_rate,fold,method,releases_per_query,within_query_diversity
57.83393478393555,1.0,0,OneStep-Bridge,8,2.7637516841066967e-13
21.426719665527344,0.0,0,Gaussian-Bridge,8,37.55080795288086
18.086082458496094,0.0011111111111111111,0,Stratified-Resample,8,86.21055603027344
44.80120086669922,0.0,0,SARD-Bridge,8,1.4135193824768066
55.517799377441406,1.0,0,OneStep-Bridge,8,2.577371638595033e-13
21.788393020629883,0.0,0,Gaussian-Bridge,8,34.37630081176758
21.90201187133789,0.0006349206349206349,0,Stratified-Resample,8,34.391422271728516
41.81269073486328,0.0,0,SARD-Bridge,8,2.0070106983184814
43.622459411621094,1.0,1,OneStep-Bridge,8,2.0647386252993505e-13
17.55051040649414,0.0,1,Gaussian-Bridge,8,61.610504150390625
20.455516815185547,0.0011111111111111111,1,Stratified-Resample,8,27.191299438476562
35.91450119018555,0.0,1,SARD-Bridge,8,1.794761300086975
50.612945556640625,1.0,1,OneStep-Bridge,8,2.4297615785692783e-13
19.511062622070312,0.0,1,Gaussian-Bridge,8,34.4235725402832
19.695253372192383,0.0006349206349206349,1,Stratified-Resample,8,34.020992279052734
40.314205169677734,0.0,1,SARD-Bridge,8,1.563810110092163
46.66576385498047,1.0,2,OneStep-Bridge,8,2.2120783124083415e-13
20.068811416625977,0.0,2,Gaussian-Bridge,8,60.774295806884766
18.864038467407227,0.0009523809523809524,2,Stratified-Resample,8,60.49773406982422
37.797142028808594,0.0,2,SARD-Bridge,8,1.7196693420410156
50.141456604003906,1.0,2,OneStep-Bridge,8,2.326618173294215e-13
19.22726821899414,0.0,2,Gaussian-Bridge,8,62.85655212402344
18.41146469116211,0.0011111111111111111,2,Stratified-Resample,8,63.06221008300781
37.979652404785156,0.0,2,SARD-Bridge,8,1.567260503768921
48.79153060913086,1.0,3,OneStep-Bridge,8,2.2239034344530978e-13
22.87799644470215,0.0,3,Gaussian-Bridge,8,24.93921661376953
19.97498321533203,0.0009523809523809524,3,Stratified-Resample,8,57.2405891418457
38.80868148803711,0.0,3,SARD-Bridge,8,1.4437756538391113
48.70558547973633,1.0,3,OneStep-Bridge,8,2.3547616222370504e-13
22.221635818481445,0.0,3,Gaussian-Bridge,8,25.514949798583984
22.077152252197266,0.0007936507936507937,3,Stratified-Resample,8,25.229101181030273
37.95094680786133,0.0,3,SARD-Bridge,8,1.4455498456954956
51.198631286621094,1.0,4,OneStep-Bridge,8,2.4879707669067663e-13
19.76006317138672,0.0,4,Gaussian-Bridge,8,35.23638153076172
19.741615295410156,0.0014285714285714286,4,Stratified-Resample,8,35.29372787475586
41.142704010009766,0.0,4,SARD-Bridge,8,1.7332948446273804
54.80400085449219,1.0,4,OneStep-Bridge,8,2.580272692558061e-13
17.249500274658203,0.0,4,Gaussian-Bridge,8,67.38339233398438
21.34143829345703,0.0007936507936507937,4,Stratified-Resample,8,29.2275333404541
39.99082946777344,0.0,4,SARD-Bridge,8,1.3919621706008911
47.298187255859375,1.0,5,OneStep-Bridge,8,2.2297310211302074e-13
22.288654327392578,0.0,5,Gaussian-Bridge,8,25.642860412597656
23.115901947021484,0.0007936507936507937,5,Stratified-Resample,8,25.622451782226562
37.197044372558594,0.0,5,SARD-Bridge,8,1.491076946258545
42.90156173706055,1.0,5,OneStep-Bridge,8,2.09416238148262e-13
19.77187728881836,0.0,5,Gaussian-Bridge,8,26.325119018554688
18.28945541381836,0.0007936507936507937,5,Stratified-Resample,8,60.40981674194336
33.18029022216797,0.0,5,SARD-Bridge,8,1.4589916467666626
