fold,panel,identity_fraction,session_fraction,condition_fraction,artifact_fraction
0,physiological,0.07761246711015701,0.003748047398403287,0.03354411572217941,0.0127114187926054
0,phase_locked_erp,0.382117360830307,0.016188761219382286,0.14907380938529968,0.055843036621809006
0,induced_residual,0.0006017310079187155,5.059784962213598e-05,3.790419577853754e-05,0.0004169170279055834
0,artifact_acquisition_only,0.05330848693847656,0.002704383572563529,0.001018534996546805,0.007759890053421259
0,amplitude_only,0.09099800884723663,0.0017521945992484689,0.004069546237587929,0.0157126747071743
0,topography_only,0.09099800884723663,0.0017521945992484689,0.004069546703249216,0.0157126747071743
0,latency_morphology_only,0.07761246711015701,0.0037480478640645742,0.03354411572217941,0.0127114187926054
0,band_0.5_4,0.06349533796310425,0.004085403401404619,0.06257756054401398,0.011494532227516174
0,band_4_8,0.051339082419872284,0.0008907065493986011,0.06852027028799057,0.0050054388120770454
0,band_8_13,0.18781884014606476,0.0021396575029939413,0.0030486141331493855,0.023295313119888306
0,band_13_30,0.023025142028927803,0.000973203219473362,0.0016745897009968758,0.003900568699464202
0,band_30_45,0.019469041377305984,0.0009724155534058809,0.0012477851705625653,0.002907893853262067
0,band_45_100,0.014252214692533016,0.0009837831603363156,0.0011652846587821841,0.0022035627625882626
